Report Date:,04/08/2023 18:24,,,,
Report User Name:,s0678844,,,,
Report Computer Name:,SCE-CHEM-C01553,,,,
Application:,WinSitu.exe,,,,
Application Version:,5.7.8.0,,,,
,,,,,
,,,,,
Log File Properties,,,,,
File Name,Braemore_NN_2_2023-08-04_18-24-42-273.wsl,,,,
Create Date,04/08/2023 18:24,,,,
,,,,,
Device Properties,,,,,
Device,Rugged TROLL 100,,,,
Site,Langwell,,,,
Device Name, ,,,,
Serial Number,922295,,,,
Firmware Version,1.06,,,,
Hardware Version,0,,,,
Device Address,1,,,,
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0,,,,
Used Battery,0,,,,
,,,,,
Log Configuration,,,,,
,Log Name,Braemore_NN_2,,,
,Created By,s0678844,,,
,Computer Name,SCE-CHEM-C01300,,,
,Application,WinSitu.exe,,,
,Application Version,5.7.6.1,,,
,Create Date,02/08/2022 23:34:47 GMT Daylight Time,,,
,Log Setup Time Zone,GMT Daylight Time,,,
,Notes Size(bytes),4096,,,
,Overwrite when full,Disabled,,,
,Scheduled Start Time,03/08/2022 22:00:00 GMT Daylight Time,,,
,Scheduled Stop Time,No Stop Time,,,
,Type,Linear,,,
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00,,,
,,,,,
,,,,,
,,,,,
Level Reference Settings At Log Creation,,,,,
,        Level Measurement Mode,Level Depth To Water,,,
,              Specific Gravity,0.999,,,
,                Level Reminder:,Enabled,,,
,          Level Reference Mode:,Unknown,,,
,         Level Reference Value:,3.40282e+38 (mm),,,
, Level Reference Head Pressure,0 (mmHg),,,
,,,,,
,,,,,
Other Log Settings,,,,,
,Depth of Probe:,9994.15 (mm),,,
,Head Pressure:,734.393 (mmHg),,,
,Temperature:,25.8956 (C),,,
,,,,,
,,,,,
,,,,,
Log Notes:,,,,,
Date and Time,Note,,,,
02/08/2022 23:34,Used Battery: 0% Used Memory: 3%   User Name: s0678844,,,,
03/08/2022 17:35,Sensor SN: 922295 Level calibration.,,,,
,Set new reference: 196,,,,
,Depth: 9914.76(mm),,,,
,Level Reference Head Pressure: 728.56(mmHg),,,,
,Pressure Offset: 0(mmHg),,,,
,Temperature: 19.3992(C),,,,
,User Name: s0678844,,,,
04/08/2023 18:24,Log Download - Used Battery: 7% Used Memory: 9%   User Name: s0678844,,,,
,,,,,
,,,,,
Log Data:,,,,,
Record Count,8781,,,,
,,,,,
Sensors,1,,,,
,,,,,
 ,1,922295,Pressure/Temp PSIA (9m/30ft),,
,,,,,
Time Zone: GMT Daylight Time,,,,,
,,,,,
,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 922295                             ,SN#: 922295                             ,SN#: 922295                             ,
Date and Time,Seconds     ,Pressure (mmHg)                         ,Temperature (C)                         ,Level Depth To Water (mm)               ,
03/08/2022 22:00,0,788.73,9.49,-622.843,
03/08/2022 23:00,3600,789.36,9.594,-631.413,
04/08/2022 00:00,7200,789.439,9.542,-632.489,
04/08/2022 01:00,10800,790.183,9.542,-642.619,
04/08/2022 02:00,14400,789.877,9.542,-638.449,
04/08/2022 03:00,18000,790.315,9.542,-644.403,
04/08/2022 04:00,21600,790.664,9.542,-649.164,
04/08/2022 05:00,25200,790.708,9.542,-649.761,
04/08/2022 06:00,28800,790.883,9.542,-652.145,
04/08/2022 07:00,32400,791.496,9.542,-660.486,
04/08/2022 08:00,36000,791.934,9.542,-666.441,
04/08/2022 09:00,39600,792.459,9.542,-673.592,
04/08/2022 10:00,43200,792.985,9.542,-680.745,
