"Location Properties"
"Location Name = Default Site"
"Location ID = fc83a1ba-b00f-5867-b63b-bb05a2432e6c"
"Latitude = 0 °"
"Longitude = 0 °"
"Elevation = 0 m"
""
"Report Properties"
"Start Time = 2019-06-11 12:00:00.057"
"Duration = 1272.23:00:01"
"Readings = 30552"
"Time Offset = 00:00:00"
""
"Instrument Properties"
"Device Model = Rugged TROLL 100"
"Device SN = 645232"
"Device Firmware = 1.04"
""
"Log Properties"
"Log Name = DAM-A-Crocach"
"Log Type = Linear"
"Log File Number = 1"
"Log ID = 5e40b4d0-d7d7-5cfd-9e4a-bf9680c7be80"
"Log Wrapping Enabled = True"
"Interval = 01:00:00"
""
""
"Date Time","Pressure (mm Hg) (645232)","Temperature (°C) (645232)","Depth to Water (mm) (645232)"
"2019-06-11 12:00:00.057","755.6123","20.48636","-10282.92"
"2019-06-11 13:00:00.057","758.6567","19.73549","-10324.35"
"2019-06-11 14:00:00.057","809.31","9.958679","-11013.67"
"2019-06-11 15:00:00.057","808.5792","7.646698","-11003.73"
"2019-06-11 16:00:00.057","808.2633","7.593872","-10999.43"
"2019-06-11 17:00:00.057","808.6451","7.593872","-11004.62"
"2019-06-11 18:00:00.057","808.7115","7.541046","-11005.53"
"2019-06-11 19:00:00.057","808.8362","7.593872","-11007.22"
"2019-06-11 20:00:00.057","809.1798","7.593872","-11011.9"
"2019-06-11 21:00:00.057","809.5236","7.593872","-11016.58"
"2019-06-11 22:00:00.057","809.4472","7.593872","-11015.54"
"2019-06-11 23:00:00.057","809.9055","7.593872","-11021.78"
"2019-06-12 00:00:00.057","809.7146","7.593872","-11019.18"
"2019-06-12 01:00:00.057","809.5618","7.593872","-11017.1"
"2019-06-12 02:00:00.057","808.9889","7.593872","-11009.3"
"2019-06-12 03:00:00.057","808.798","7.593872","-11006.7"
"2019-06-12 04:00:00.057","808.4925","7.593872","-11002.55"
"2019-06-12 05:00:00.057","808.3676","7.541046","-11000.85"
"2019-06-12 06:00:00.057","808.2531","7.541046","-10999.29"
"2019-06-12 07:00:00.057","808.3295","7.541046","-11000.33"
"2019-06-12 08:00:00.057","808.0341","7.593872","-10996.31"
"2019-06-12 09:00:00.057","807.5759","7.593872","-10990.07"
"2019-06-12 10:00:00.057","807.3851","7.593872","-10987.48"
"2019-06-12 11:00:00.057","807.3087","7.593872","-10986.44"
"2019-06-12 12:00:00.057","807.2985","7.541046","-10986.3"
"2019-06-12 13:00:00.057","806.8121","7.593872","-10979.68"
"2019-06-12 14:00:00.057","806.6594","7.593872","-10977.6"
"2019-06-12 15:00:00.057","806.1629","7.593872","-10970.84"
"2019-06-12 16:00:00.057","805.9338","7.593872","-10967.73"
"2019-06-12 17:00:00.057","806.2776","7.593872","-10972.4"
"2019-06-12 18:00:00.057","806.0484","7.593872","-10969.29"
"2019-06-12 19:00:00.057","805.5902","7.593872","-10963.05"
"2019-06-12 20:00:00.057","805.4756","7.593872","-10961.49"
"2019-06-12 21:00:00.057","805.3611","7.593872","-10959.93"
"2019-06-12 22:00:00.057","804.8264","7.593872","-10952.66"
"2019-06-12 23:00:00.057","803.6808","7.593872","-10937.07"
"2019-06-13 00:00:00.057","803.3753","7.593872","-10932.91"
"2019-06-13 01:00:00.057","802.5455","7.646698","-10921.62"
"2019-06-13 02:00:00.057","801.438","7.646698","-10906.54"
"2019-06-13 03:00:00.057","800.7788","7.593872","-10897.57"
"2019-06-13 04:00:00.057","799.9769","7.593872","-10886.66"
"2019-06-13 05:00:00.057","799.2999","7.646698","-10877.45"
"2019-06-13 06:00:00.057","798.689","7.646698","-10869.13"
"2019-06-13 07:00:00.057","798.0399","7.646698","-10860.3"
"2019-06-13 08:00:00.057","797.1135","7.593872","-10847.69"
"2019-06-13 09:00:00.057","797.1235","7.646698","-10847.83"
"2019-06-13 10:00:00.057","795.94","7.646698","-10831.72"
"2019-06-13 11:00:00.057","795.2527","7.646698","-10822.37"
"2019-06-13 12:00:00.057","794.7946","7.646698","-10816.14"
"2019-06-13 13:00:00.057","794.2601","7.646698","-10808.86"
"2019-06-13 14:00:00.057","793.4484","7.593872","-10797.82"
"2019-06-13 15:00:00.057","793.153","7.646698","-10793.8"
"2019-06-13 16:00:00.057","792.8094","7.646698","-10789.12"
"2019-06-13 17:00:00.057","792.6949","7.646698","-10787.56"
"2019-06-13 18:00:00.057","792.5042","7.646698","-10784.97"
"2019-06-13 19:00:00.057","792.3895","7.646698","-10783.41"
"2019-06-13 20:00:00.057","792.275","7.646698","-10781.85"
"2019-06-13 21:00:00.057","792.1605","7.646698","-10780.29"
"2019-06-13 22:00:00.057","792.275","7.646698","-10781.85"
"2019-06-13 23:00:00.057","792.0459","7.646698","-10778.73"
"2019-06-14 00:00:00.057","792.1985","7.646698","-10780.81"
"2019-06-14 01:00:00.057","792.4277","7.646698","-10783.92"
"2019-06-14 02:00:00.057","792.2369","7.646698","-10781.33"
"2019-06-14 03:00:00.057","792.5804","7.646698","-10786"
"2019-06-14 04:00:00.057","793.153","7.646698","-10793.8"
"2019-06-14 05:00:00.057","793.7638","7.646698","-10802.11"
"2019-06-14 06:00:00.057","793.9929","7.646698","-10805.23"
"2019-06-14 07:00:00.057","794.423","7.699493","-10811.08"
"2019-06-14 08:00:00.057","794.6419","7.646698","-10814.06"
"2019-06-14 09:00:00.057","794.9092","7.646698","-10817.69"
"2019-06-14 10:00:00.057","795.1483","7.699493","-10820.95"
"2019-06-14 11:00:00.057","795.2247","7.699493","-10821.99"
"2019-06-14 12:00:00.057","795.3392","7.699493","-10823.55"
"2019-06-14 13:00:00.057","795.072","7.699493","-10819.91"
"2019-06-14 14:00:00.057","795.4156","7.699493","-10824.59"
"2019-06-14 15:00:00.057","795.7975","7.699493","-10829.78"
"2019-06-14 16:00:00.057","796.0545","7.646698","-10833.28"
"2019-06-14 17:00:00.057","796.5227","7.699493","-10839.65"
"2019-06-14 18:00:00.057","796.9709","7.646698","-10845.75"
"2019-06-14 19:00:00.057","796.8664","7.699493","-10844.33"
"2019-06-14 20:00:00.057","797.5919","7.699493","-10854.2"
"2019-06-14 21:00:00.057","797.7828","7.699493","-10856.8"
"2019-06-14 22:00:00.057","798.3173","7.699493","-10864.08"
"2019-06-14 23:00:00.057","798.6227","7.699493","-10868.23"
"2019-06-15 00:00:00.057","799.1955","7.699493","-10876.03"
"2019-06-15 01:00:00.057","798.9664","7.699493","-10872.91"
"2019-06-15 02:00:00.057","798.89","7.699493","-10871.87"
"2019-06-15 03:00:00.057","798.9282","7.699493","-10872.39"
"2019-06-15 04:00:00.057","799.2336","7.699493","-10876.55"
"2019-06-15 05:00:00.057","799.3863","7.699493","-10878.62"
"2019-06-15 06:00:00.057","799.2336","7.699493","-10876.55"
"2019-06-15 07:00:00.057","799.73","7.699493","-10883.3"
"2019-06-15 08:00:00.057","799.5773","7.699493","-10881.22"
"2019-06-15 09:00:00.057","799.6155","7.699493","-10881.74"
"2019-06-15 10:00:00.057","799.3863","7.699493","-10878.62"
"2019-06-15 11:00:00.057","799.0046","7.699493","-10873.43"
"2019-06-15 12:00:00.057","799.0809","7.699493","-10874.47"
"2019-06-15 13:00:00.057","799.1089","7.646698","-10874.85"
"2019-06-15 14:00:00.057","798.5846","7.699493","-10867.71"
"2019-06-15 15:00:00.057","798.89","7.699493","-10871.87"
"2019-06-15 16:00:00.057","798.671","7.752289","-10868.89"
"2019-06-15 17:00:00.057","797.9736","7.699493","-10859.4"
"2019-06-15 18:00:00.057","797.7064","7.699493","-10855.76"
"2019-06-15 19:00:00.057","797.8209","7.699493","-10857.32"
"2019-06-15 20:00:00.057","797.5537","7.699493","-10853.68"
"2019-06-15 21:00:00.057","797.6682","7.699493","-10855.24"
"2019-06-15 22:00:00.057","797.6301","7.699493","-10854.72"
"2019-06-15 23:00:00.057","797.21","7.699493","-10849.01"
"2019-06-16 00:00:00.057","797.2483","7.699493","-10849.53"
"2019-06-16 01:00:00.057","796.9911","7.752289","-10846.03"
"2019-06-16 02:00:00.057","796.0646","7.699493","-10833.42"
"2019-06-16 03:00:00.057","795.8839","7.752289","-10830.96"
"2019-06-16 04:00:00.057","795.6829","7.699493","-10828.22"
"2019-06-16 05:00:00.057","795.4257","7.752289","-10824.72"
"2019-06-16 06:00:00.057","795.4539","7.699493","-10825.11"
"2019-06-16 07:00:00.057","795.464","7.752289","-10825.25"
"2019-06-16 08:00:00.057","795.6166","7.752289","-10827.32"
"2019-06-16 09:00:00.057","795.5021","7.752289","-10825.76"
"2019-06-16 10:00:00.057","795.6448","7.699493","-10827.71"
"2019-06-16 11:00:00.057","795.8839","7.752289","-10830.96"
"2019-06-16 12:00:00.057","796.3318","7.699493","-10837.06"
"2019-06-16 13:00:00.057","795.9985","7.752289","-10832.52"
"2019-06-16 14:00:00.057","796.2275","7.752289","-10835.64"
"2019-06-16 15:00:00.057","796.0366","7.752289","-10833.04"
"2019-06-16 16:00:00.057","796.4947","7.752289","-10839.27"
"2019-06-16 17:00:00.057","795.9221","7.752289","-10831.48"
"2019-06-16 18:00:00.057","796.4183","7.752289","-10838.23"
"2019-06-16 19:00:00.057","796.3701","7.699493","-10837.58"
"2019-06-16 20:00:00.057","800.3892","7.752289","-10892.27"
"2019-06-16 21:00:00.057","799.6257","7.752289","-10881.88"
"2019-06-16 22:00:00.057","798.9384","7.752289","-10872.53"
"2019-06-16 23:00:00.057","798.5566","7.752289","-10867.33"
"2019-06-17 00:00:00.057","797.6019","7.752289","-10854.34"
"2019-06-17 01:00:00.057","797.2966","7.752289","-10850.18"
"2019-06-17 02:00:00.057","796.6857","7.752289","-10841.87"
"2019-06-17 03:00:00.057","796.0366","7.752289","-10833.04"
"2019-06-17 04:00:00.057","795.5021","7.752289","-10825.76"
"2019-06-17 05:00:00.057","795.1584","7.752289","-10821.09"
"2019-06-17 06:00:00.057","794.9294","7.752289","-10817.97"
"2019-06-17 07:00:00.057","795.1584","7.752289","-10821.09"
"2019-06-17 08:00:00.057","795.5786","7.752289","-10826.8"
"2019-06-17 09:00:00.057","795.9985","7.752289","-10832.52"
"2019-06-17 10:00:00.057","796.0366","7.752289","-10833.04"
"2019-06-17 11:00:00.057","795.9602","7.752289","-10832"
"2019-06-17 12:00:00.057","796.113","7.752289","-10834.08"
"2019-06-17 13:00:00.057","795.7693","7.752289","-10829.4"
"2019-06-17 14:00:00.057","796.7339","7.805069","-10842.53"
"2019-06-17 15:00:00.057","797.3348","7.752289","-10850.71"
"2019-06-17 16:00:00.057","797.4493","7.752289","-10852.26"
"2019-06-17 17:00:00.057","797.9075","7.752289","-10858.5"
"2019-06-17 18:00:00.057","797.8311","7.752289","-10857.46"
"2019-06-17 19:00:00.057","798.5947","7.752289","-10867.85"
"2019-06-17 20:00:00.057","798.442","7.752289","-10865.77"
"2019-06-17 21:00:00.057","798.5184","7.752289","-10866.81"
"2019-06-17 22:00:00.057","798.4802","7.752289","-10866.29"
"2019-06-17 23:00:00.057","798.022","7.752289","-10860.06"
"2019-06-18 00:00:00.057","797.9839","7.752289","-10859.54"
"2019-06-18 01:00:00.057","797.3729","7.752289","-10851.22"
"2019-06-18 02:00:00.057","797.1438","7.752289","-10848.11"
"2019-06-18 03:00:00.057","796.3904","7.805069","-10837.85"
"2019-06-18 04:00:00.057","795.7693","7.752289","-10829.4"
"2019-06-18 05:00:00.057","795.5021","7.752289","-10825.76"
"2019-06-18 06:00:00.057","795.5886","7.805069","-10826.94"
"2019-06-18 07:00:00.057","795.2349","7.752289","-10822.13"
"2019-06-18 08:00:00.057","795.245","7.805069","-10822.27"
"2019-06-18 09:00:00.057","795.5123","7.805069","-10825.9"
"2019-06-18 10:00:00.057","795.4741","7.805069","-10825.38"
"2019-06-18 11:00:00.057","795.8559","7.805069","-10830.58"
"2019-06-18 12:00:00.057","795.8559","7.805069","-10830.58"
"2019-06-18 13:00:00.057","796.4183","7.752289","-10838.23"
"2019-06-18 14:00:00.057","796.5814","7.805069","-10840.45"
"2019-06-18 15:00:00.057","796.5814","7.805069","-10840.45"
"2019-06-18 16:00:00.057","796.7339","7.805069","-10842.53"
"2019-06-18 17:00:00.057","796.7339","7.805069","-10842.53"
"2019-06-18 18:00:00.057","796.8103","7.805069","-10843.57"
