"Location Properties"
"Location Name = Default Site"
"Location ID = fc83a1ba-b00f-5867-b63b-bb05a2432e6c"
"Latitude = 0 °"
"Longitude = 0 °"
"Elevation = 0 m"
""
"Report Properties"
"Start Time = 2019-06-11 12:00:00.057"
"Duration = 1273.00:37:26"
"Readings = 30554"
"Time Offset = 00:00:00"
""
"Instrument Properties"
"Device Model = Rugged TROLL 100"
"Device SN = 645417"
"Device Firmware = 1.04"
""
"Log Properties"
"Log Name = DAM-C Crocach"
"Log Type = Linear"
"Log File Number = 1"
"Log ID = 7547ac00-7ac1-5ee0-aec4-6a808b574409"
"Log Wrapping Enabled = True"
"Interval = 01:00:00"
""
""
"Date Time","Pressure (mm Hg) (645417)","Temperature (°C) (645417)","Depth to Water (mm) (645417)"
"2019-06-11 12:00:00.057","756.0726","20.76244","-10289.18"
"2019-06-11 13:00:00.057","759.0578","20.15509","-10329.8"
"2019-06-11 14:00:00.057","751.7393","16.6853","-10230.21"
"2019-06-11 15:00:00.057","809.1188","7.524673","-11011.07"
"2019-06-11 16:00:00.057","809.0114","7.471329","-11009.61"
"2019-06-11 17:00:00.057","809.2946","7.417984","-11013.46"
"2019-06-11 18:00:00.057","809.8157","7.417984","-11020.55"
"2019-06-11 19:00:00.057","809.4249","7.417984","-11015.24"
"2019-06-11 20:00:00.057","809.9133","7.417984","-11021.88"
"2019-06-11 21:00:00.057","810.3693","7.417984","-11028.09"
"2019-06-11 22:00:00.057","810.4994","7.417984","-11029.86"
"2019-06-11 23:00:00.057","810.7274","7.417984","-11032.96"
"2019-06-12 00:00:00.057","810.6298","7.417984","-11031.63"
"2019-06-12 01:00:00.057","810.3693","7.417984","-11028.09"
"2019-06-12 02:00:00.057","810.0762","7.417984","-11024.1"
"2019-06-12 03:00:00.057","810.0109","7.417984","-11023.21"
"2019-06-12 04:00:00.057","809.1644","7.417984","-11011.69"
"2019-06-12 05:00:00.057","809.5778","7.364624","-11017.32"
"2019-06-12 06:00:00.057","809.4899","7.417984","-11016.12"
"2019-06-12 07:00:00.057","809.262","7.417984","-11013.02"
"2019-06-12 08:00:00.057","809.1644","7.417984","-11011.69"
"2019-06-12 09:00:00.057","808.6759","7.417984","-11005.04"
"2019-06-12 10:00:00.057","808.4804","7.417984","-11002.38"
"2019-06-12 11:00:00.057","808.7085","7.417984","-11005.49"
"2019-06-12 12:00:00.057","808.4804","7.417984","-11002.38"
"2019-06-12 13:00:00.057","808.2199","7.417984","-10998.84"
"2019-06-12 14:00:00.057","807.8391","7.471329","-10993.65"
"2019-06-12 15:00:00.057","807.3832","7.471329","-10987.45"
"2019-06-12 16:00:00.057","807.4159","7.471329","-10987.89"
"2019-06-12 17:00:00.057","807.5134","7.471329","-10989.22"
"2019-06-12 18:00:00.057","807.3084","7.417984","-10986.43"
"2019-06-12 19:00:00.057","807.0804","7.417984","-10983.33"
"2019-06-12 20:00:00.057","806.8524","7.417984","-10980.23"
"2019-06-12 21:00:00.057","806.6897","7.417984","-10978.01"
"2019-06-12 22:00:00.057","805.9832","7.471329","-10968.4"
"2019-06-12 23:00:00.057","805.4297","7.471329","-10960.87"
"2019-06-13 00:00:00.057","804.6159","7.471329","-10949.79"
"2019-06-13 01:00:00.057","803.89","7.417984","-10939.91"
"2019-06-13 02:00:00.057","802.7508","7.417984","-10924.41"
"2019-06-13 03:00:00.057","801.8492","7.471329","-10912.14"
"2019-06-13 04:00:00.057","801.068","7.471329","-10901.51"
"2019-06-13 05:00:00.057","800.6352","7.417984","-10895.62"
"2019-06-13 06:00:00.057","799.7662","7.471329","-10883.79"
"2019-06-13 07:00:00.057","799.3106","7.471329","-10877.59"
"2019-06-13 08:00:00.057","798.2368","7.471329","-10862.98"
"2019-06-13 09:00:00.057","797.7813","7.471329","-10856.78"
"2019-06-13 10:00:00.057","796.7955","7.417984","-10843.37"
"2019-06-13 11:00:00.057","796.2521","7.471329","-10835.97"
"2019-06-13 12:00:00.057","796.0243","7.471329","-10832.87"
"2019-06-13 13:00:00.057","795.4616","7.417984","-10825.21"
"2019-06-13 14:00:00.057","794.6255","7.471329","-10813.83"
"2019-06-13 15:00:00.057","794.2024","7.471329","-10808.08"
"2019-06-13 16:00:00.057","794.235","7.471329","-10808.52"
"2019-06-13 17:00:00.057","793.552","7.471329","-10799.23"
"2019-06-13 18:00:00.057","793.3472","7.417984","-10796.44"
"2019-06-13 19:00:00.057","793.064","7.471329","-10792.58"
"2019-06-13 20:00:00.057","792.846","7.524673","-10789.62"
"2019-06-13 21:00:00.057","792.7714","7.471329","-10788.6"
"2019-06-13 22:00:00.057","792.999","7.471329","-10791.7"
"2019-06-13 23:00:00.057","793.5195","7.471329","-10798.78"
"2019-06-14 00:00:00.057","793.3243","7.471329","-10796.13"
"2019-06-14 01:00:00.057","793.4219","7.471329","-10797.46"
"2019-06-14 02:00:00.057","793.4219","7.471329","-10797.46"
"2019-06-14 03:00:00.057","794.2448","7.524673","-10808.65"
"2019-06-14 04:00:00.057","794.2024","7.471329","-10808.08"
"2019-06-14 05:00:00.057","795.0158","7.471329","-10819.15"
"2019-06-14 06:00:00.057","794.8629","7.524673","-10817.07"
"2019-06-14 07:00:00.057","794.7882","7.471329","-10816.05"
"2019-06-14 08:00:00.057","795.123","7.524673","-10820.6"
"2019-06-14 09:00:00.057","795.2761","7.471329","-10822.69"
"2019-06-14 10:00:00.057","795.7087","7.524673","-10828.58"
"2019-06-14 11:00:00.057","795.6111","7.524673","-10827.25"
"2019-06-14 12:00:00.057","795.2111","7.471329","-10821.8"
"2019-06-14 13:00:00.057","795.6111","7.524673","-10827.25"
"2019-06-14 14:00:00.057","795.2856","7.524673","-10822.82"
"2019-06-14 15:00:00.057","795.9365","7.524673","-10831.68"
"2019-06-14 16:00:00.057","795.9365","7.524673","-10831.68"
"2019-06-14 17:00:00.057","796.0243","7.471329","-10832.87"
"2019-06-14 18:00:00.057","796.8149","7.524673","-10843.63"
"2019-06-14 19:00:00.057","796.8801","7.524673","-10844.52"
"2019-06-14 20:00:00.057","797.4005","7.524673","-10851.6"
"2019-06-14 21:00:00.057","797.8561","7.524673","-10857.8"
"2019-06-14 22:00:00.057","798.0513","7.524673","-10860.46"
"2019-06-14 23:00:00.057","798.4321","7.471329","-10865.64"
"2019-06-15 00:00:00.057","798.7672","7.524673","-10870.2"
"2019-06-15 01:00:00.057","798.9951","7.524673","-10873.3"
"2019-06-15 02:00:00.057","798.8973","7.524673","-10871.97"
"2019-06-15 03:00:00.057","798.9623","7.524673","-10872.85"
"2019-06-15 04:00:00.057","798.9951","7.524673","-10873.3"
"2019-06-15 05:00:00.057","799.1577","7.524673","-10875.51"
"2019-06-15 06:00:00.057","798.6371","7.524673","-10868.43"
"2019-06-15 07:00:00.057","798.9951","7.524673","-10873.3"
"2019-06-15 08:00:00.057","799.3855","7.524673","-10878.61"
"2019-06-15 09:00:00.057","799.2878","7.524673","-10877.28"
"2019-06-15 10:00:00.057","798.8649","7.524673","-10871.53"
