"Location Properties"
"Location Name = Default Site"
"Location ID = fc83a1ba-b00f-5867-b63b-bb05a2432e6c"
"Latitude = 0 °"
"Longitude = 0 °"
"Elevation = 0 m"
""
"Report Properties"
"Start Time = 2019-06-11 12:00:00.057"
"Duration = 1254.00:00:01"
"Readings = 30097"
"Time Offset = 00:00:00"
""
"Instrument Properties"
"Device Model = Rugged TROLL 100"
"Device SN = 645419"
"Device Firmware = 1.04"
""
"Log Properties"
"Log Name = NAT-D Crocach"
"Log Type = Linear"
"Log File Number = 1"
"Log ID = e1fd921a-661c-5713-949f-b931e0531a49"
"Log Wrapping Enabled = True"
"Interval = 01:00:00"
""
""
"Date Time","Pressure (mm Hg) (645419)","Temperature (°C) (645419)","Depth to Water (mm) (645419)"
"2019-06-11 12:00:00.057","755.778","20.83243","-10285.17"
"2019-06-11 13:00:00.057","758.9141","20.83243","-10327.85"
"2019-06-11 14:00:00.057","751.5182","17.08179","-10227.2"
"2019-06-11 15:00:00.057","807.2637","9.386459","-10985.82"
"2019-06-11 16:00:00.057","808.8007","8.287048","-11006.74"
"2019-06-11 17:00:00.057","810.2861","8.339523","-11026.96"
"2019-06-11 18:00:00.057","811.5652","8.287048","-11044.36"
"2019-06-11 19:00:00.057","812.5864","8.234543","-11058.26"
"2019-06-11 20:00:00.057","813.3975","8.234543","-11069.3"
"2019-06-11 21:00:00.057","814.2671","8.339523","-11081.13"
"2019-06-11 22:00:00.057","814.4037","8.287048","-11082.99"
"2019-06-11 23:00:00.057","814.8829","8.287048","-11089.51"
"2019-06-12 00:00:00.057","814.7834","8.339523","-11088.16"
"2019-06-12 01:00:00.057","814.6838","8.391983","-11086.8"
"2019-06-12 02:00:00.057","814.4666","8.234543","-11083.85"
"2019-06-12 03:00:00.057","814.0611","8.234543","-11078.33"
"2019-06-12 04:00:00.057","813.7032","8.287048","-11073.46"
"2019-06-12 05:00:00.057","814.2045","8.391983","-11080.28"
"2019-06-12 06:00:00.057","813.9723","8.339523","-11077.12"
"2019-06-12 07:00:00.057","813.8359","8.391983","-11075.26"
"2019-06-12 08:00:00.057","813.5409","8.391983","-11071.25"
"2019-06-12 09:00:00.057","813.261","8.287048","-11067.44"
"2019-06-12 10:00:00.057","813.0507","8.339523","-11064.58"
"2019-06-12 11:00:00.057","812.9879","8.391983","-11063.72"
"2019-06-12 12:00:00.057","812.8405","8.391983","-11061.72"
"2019-06-12 13:00:00.057","812.2028","8.339523","-11053.04"
"2019-06-12 14:00:00.057","812.129","8.339523","-11052.04"
"2019-06-12 15:00:00.057","811.5762","8.339523","-11044.51"
"2019-06-12 16:00:00.057","811.2703","8.287048","-11040.35"
"2019-06-12 17:00:00.057","811.3182","8.339523","-11041"
"2019-06-12 18:00:00.057","811.2703","8.287048","-11040.35"
"2019-06-12 19:00:00.057","810.9864","8.339523","-11036.48"
"2019-06-12 20:00:00.057","810.9127","8.339523","-11035.48"
"2019-06-12 21:00:00.057","810.6547","8.339523","-11031.97"
"2019-06-12 22:00:00.057","810.0389","8.391983","-11023.59"
"2019-06-12 23:00:00.057","809.2281","8.391983","-11012.56"
"2019-06-13 00:00:00.057","808.4909","8.391983","-11002.53"
"2019-06-13 01:00:00.057","807.938","8.391983","-10995"
"2019-06-13 02:00:00.057","806.8583","8.339523","-10980.31"
"2019-06-13 03:00:00.057","805.8633","8.339523","-10966.77"
"2019-06-13 04:00:00.057","805.2954","8.444458","-10959.04"
"2019-06-13 05:00:00.057","804.5844","8.391983","-10949.36"
"2019-06-13 06:00:00.057","804.0316","8.391983","-10941.84"
"2019-06-13 07:00:00.057","803.2947","8.391983","-10931.81"
"2019-06-13 08:00:00.057","802.4362","8.339523","-10920.13"
"2019-06-13 09:00:00.057","801.9422","8.444458","-10913.41"
"2019-06-13 10:00:00.057","801.2789","8.444458","-10904.38"
"2019-06-13 11:00:00.057","800.4314","8.444458","-10892.84"
"2019-06-13 12:00:00.057","799.9048","8.391983","-10885.68"
"2019-06-13 13:00:00.057","799.6728","8.339523","-10882.52"
"2019-06-13 14:00:00.057","798.9576","8.444458","-10872.79"
"2019-06-13 15:00:00.057","798.3313","8.444458","-10864.27"
"2019-06-13 16:00:00.057","797.7678","8.391983","-10856.6"
"2019-06-13 17:00:00.057","797.4839","8.444458","-10852.74"
"2019-06-13 18:00:00.057","797.3627","8.391983","-10851.08"
"2019-06-13 19:00:00.057","796.8099","8.391983","-10843.56"
"2019-06-13 20:00:00.057","796.6886","8.339523","-10841.91"
"2019-06-13 21:00:00.057","796.6844","8.496887","-10841.85"
"2019-06-13 22:00:00.057","796.3788","8.444458","-10837.7"
"2019-06-13 23:00:00.057","796.4156","8.444458","-10838.2"
"2019-06-14 00:00:00.057","796.5369","8.496887","-10839.85"
"2019-06-14 01:00:00.057","796.6995","8.391983","-10842.06"
"2019-06-14 02:00:00.057","796.8315","8.496887","-10843.86"
"2019-06-14 03:00:00.057","797.2","8.496887","-10848.87"
"2019-06-14 04:00:00.057","797.731","8.391983","-10856.1"
"2019-06-14 05:00:00.057","798.2316","8.496887","-10862.91"
"2019-06-14 06:00:00.057","798.5783","8.391983","-10867.63"
"2019-06-14 07:00:00.057","799.0572","8.391983","-10874.14"
"2019-06-14 08:00:00.057","799.4476","8.496887","-10879.46"
"2019-06-14 09:00:00.057","799.805","8.444458","-10884.32"
"2019-06-14 10:00:00.057","799.9742","8.549316","-10886.62"
"2019-06-14 11:00:00.057","800.1627","8.391983","-10889.19"
"2019-06-14 12:00:00.057","800.1995","8.391983","-10889.69"
"2019-06-14 13:00:00.057","800.3946","8.444458","-10892.34"
"2019-06-14 14:00:00.057","800.8107","8.496887","-10898.01"
"2019-06-14 15:00:00.057","801.1056","8.496887","-10902.02"
"2019-06-14 16:00:00.057","801.2269","8.549316","-10903.67"
"2019-06-14 17:00:00.057","801.4741","8.496887","-10907.04"
"2019-06-14 18:00:00.057","802.0157","8.444458","-10914.41"
"2019-06-14 19:00:00.057","802.3583","8.496887","-10919.07"
"2019-06-14 20:00:00.057","802.7527","8.444458","-10924.44"
