"Location Properties"
"Location Name = Default Site"
"Location ID = fc83a1ba-b00f-5867-b63b-bb05a2432e6c"
"Latitude = 0 °"
"Longitude = 0 °"
"Elevation = 0 m"
""
"Report Properties"
"Start Time = 2019-06-11 12:00:00.057"
"Duration = 1254.01:00:01"
"Readings = 30098"
"Time Offset = 00:00:00"
""
"Instrument Properties"
"Device Model = Rugged TROLL 100"
"Device SN = 645432"
"Device Firmware = 1.04"
""
"Log Properties"
"Log Name = NAT-E Crocach"
"Log Type = Linear"
"Log File Number = 1"
"Log ID = 81489acc-62b2-53ab-aa6e-1d72889642ba"
"Log Wrapping Enabled = True"
"Interval = 01:00:00"
""
""
"Date Time","Pressure (mm Hg) (645432)","Temperature (°C) (645432)","Depth to Water (mm) (645432)"
"2019-06-11 12:00:00.057","755.4748","20.74248","-10281.04"
"2019-06-11 13:00:00.057","758.7897","20.49266","-10326.16"
"2019-06-11 14:00:00.057","751.2877","16.86531","-10224.06"
"2019-06-11 15:00:00.057","791.7368","12.56059","-10774.52"
"2019-06-11 16:00:00.057","793.2689","8.173279","-10795.37"
"2019-06-11 17:00:00.057","794.5325","8.067795","-10812.57"
"2019-06-11 18:00:00.057","795.4036","8.067795","-10824.42"
"2019-06-11 19:00:00.057","796.4261","8.067795","-10838.34"
"2019-06-11 20:00:00.057","797.2971","8.067795","-10850.19"
"2019-06-11 21:00:00.057","798.5089","8.067795","-10866.68"
"2019-06-11 22:00:00.057","799.3043","8.067795","-10877.51"
"2019-06-11 23:00:00.057","799.8844","8.120544","-10885.4"
"2019-06-12 00:00:00.057","800.592","8.067795","-10895.03"
"2019-06-12 01:00:00.057","801.0585","8.120544","-10901.38"
"2019-06-12 02:00:00.057","801.4628","8.067795","-10906.88"
"2019-06-12 03:00:00.057","801.3992","8.120544","-10906.02"
"2019-06-12 04:00:00.057","801.4249","8.067795","-10906.37"
"2019-06-12 05:00:00.057","802.0809","8.120544","-10915.29"
"2019-06-12 06:00:00.057","802.4974","8.120544","-10920.96"
"2019-06-12 07:00:00.057","802.8262","8.067795","-10925.44"
"2019-06-12 08:00:00.057","802.9777","8.067795","-10927.5"
"2019-06-12 09:00:00.057","803.1671","8.067795","-10930.07"
"2019-06-12 10:00:00.057","803.0278","8.120544","-10928.18"
"2019-06-12 11:00:00.057","803.3307","8.120544","-10932.3"
"2019-06-12 12:00:00.057","803.5458","8.067795","-10935.23"
"2019-06-12 13:00:00.057","803.5201","8.120544","-10934.88"
"2019-06-12 14:00:00.057","803.4822","8.120544","-10934.36"
"2019-06-12 15:00:00.057","803.5579","8.120544","-10935.39"
"2019-06-12 16:00:00.057","803.4822","8.120544","-10934.36"
"2019-06-12 17:00:00.057","803.6973","8.067795","-10937.29"
"2019-06-12 18:00:00.057","803.9366","8.120544","-10940.55"
"2019-06-12 19:00:00.057","803.861","8.120544","-10939.52"
"2019-06-12 20:00:00.057","803.8231","8.120544","-10939"
"2019-06-12 21:00:00.057","804.0123","8.120544","-10941.58"
"2019-06-12 22:00:00.057","803.5958","8.120544","-10935.91"
"2019-06-12 23:00:00.057","803.1791","8.120544","-10930.24"
"2019-06-13 00:00:00.057","802.5991","8.067795","-10922.35"
"2019-06-13 01:00:00.057","802.0432","8.120544","-10914.78"
"2019-06-13 02:00:00.057","801.5507","8.120544","-10908.08"
"2019-06-13 03:00:00.057","800.5782","8.173279","-10894.84"
"2019-06-13 04:00:00.057","800.1494","8.120544","-10889.01"
"2019-06-13 05:00:00.057","799.6691","8.173279","-10882.47"
"2019-06-13 06:00:00.057","799.2406","8.120544","-10876.64"
"2019-06-13 07:00:00.057","798.9497","8.173279","-10872.68"
"2019-06-13 08:00:00.057","798.1045","8.120544","-10861.18"
"2019-06-13 09:00:00.057","797.8514","8.173279","-10857.74"
"2019-06-13 10:00:00.057","797.2455","8.173279","-10849.49"
"2019-06-13 11:00:00.057","796.6396","8.173279","-10841.25"
"2019-06-13 12:00:00.057","796.3745","8.173279","-10837.64"
"2019-06-13 13:00:00.057","796.223","8.173279","-10835.58"
"2019-06-13 14:00:00.057","795.5791","8.173279","-10826.81"
"2019-06-13 15:00:00.057","795.049","8.173279","-10819.6"
"2019-06-13 16:00:00.057","794.7082","8.173279","-10814.96"
"2019-06-13 17:00:00.057","794.7461","8.173279","-10815.48"
"2019-06-13 18:00:00.057","794.7838","8.173279","-10815.99"
"2019-06-13 19:00:00.057","794.6324","8.173279","-10813.93"
"2019-06-13 20:00:00.057","794.7082","8.173279","-10814.96"
"2019-06-13 21:00:00.057","795.0869","8.173279","-10820.11"
"2019-06-13 22:00:00.057","795.3898","8.173279","-10824.24"
"2019-06-13 23:00:00.057","795.2383","8.173279","-10822.17"
"2019-06-14 00:00:00.057","795.2761","8.173279","-10822.69"
"2019-06-14 01:00:00.057","794.9732","8.173279","-10818.57"
"2019-06-14 02:00:00.057","794.9473","8.226013","-10818.21"
"2019-06-14 03:00:00.057","795.2383","8.173279","-10822.17"
"2019-06-14 04:00:00.057","795.4656","8.173279","-10825.27"
"2019-06-14 05:00:00.057","795.9958","8.173279","-10832.48"
"2019-06-14 06:00:00.057","796.5638","8.173279","-10840.21"
"2019-06-14 07:00:00.057","796.8032","8.226013","-10843.47"
"2019-06-14 08:00:00.057","797.2834","8.173279","-10850"
"2019-06-14 09:00:00.057","797.7756","8.173279","-10856.71"
"2019-06-14 10:00:00.057","798.0786","8.173279","-10860.83"
"2019-06-14 11:00:00.057","798.0408","8.173279","-10860.31"
"2019-06-14 12:00:00.057","798.0906","8.226013","-10860.99"
"2019-06-14 13:00:00.057","798.5331","8.173279","-10867.01"
"2019-06-14 14:00:00.057","798.6208","8.226013","-10868.21"
"2019-06-14 15:00:00.057","799.0754","8.226013","-10874.39"
"2019-06-14 16:00:00.057","799.3662","8.173279","-10878.35"
"2019-06-14 17:00:00.057","799.5677","8.226013","-10881.09"
"2019-06-14 18:00:00.057","799.8965","8.173279","-10885.57"
"2019-06-14 19:00:00.057","800.0858","8.173279","-10888.14"
"2019-06-14 20:00:00.057","800.7039","8.226013","-10896.55"
"2019-06-14 21:00:00.057","801.1963","8.226013","-10903.25"
"2019-06-14 22:00:00.057","801.6506","8.226013","-10909.44"
"2019-06-14 23:00:00.057","802.0673","8.226013","-10915.11"
"2019-06-15 00:00:00.057","802.2186","8.226013","-10917.17"
"2019-06-15 01:00:00.057","802.1809","8.226013","-10916.65"
"2019-06-15 02:00:00.057","802.1051","8.226013","-10915.62"
"2019-06-15 03:00:00.057","802.3702","8.226013","-10919.23"
"2019-06-15 04:00:00.057","802.7869","8.226013","-10924.9"
"2019-06-15 05:00:00.057","802.6355","8.226013","-10922.84"
"2019-06-15 06:00:00.057","802.5596","8.226013","-10921.81"
"2019-06-15 07:00:00.057","803.052","8.226013","-10928.51"
"2019-06-15 08:00:00.057","802.711","8.226013","-10923.87"
"2019-06-15 09:00:00.057","802.6732","8.226013","-10923.35"
"2019-06-15 10:00:00.057","802.749","8.226013","-10924.38"
"2019-06-15 11:00:00.057","802.8247","8.226013","-10925.42"
