"Location Properties"
"Location Name = Default Site"
"Location ID = fc83a1ba-b00f-5867-b63b-bb05a2432e6c"
"Latitude = 0 °"
"Longitude = 0 °"
"Elevation = 0 m"
""
"Report Properties"
"Start Time = 2019-06-11 12:00:00.057"
"Duration = 1254.00:00:01"
"Readings = 30097"
"Time Offset = 00:00:00"
""
"Instrument Properties"
"Device Model = Rugged TROLL 100"
"Device SN = 645388"
"Device Firmware = 1.04"
""
"Log Properties"
"Log Name = NAT-F Crocach"
"Log Type = Linear"
"Log File Number = 1"
"Log ID = b9079f97-8f8e-5ceb-87f1-8cba7fb7e35a"
"Log Wrapping Enabled = True"
"Interval = 01:00:00"
""
""
"Date Time","Pressure (mm Hg) (645388)","Temperature (°C) (645388)","Depth to Water (mm) (645388)"
"2019-06-11 12:00:00.057","755.1953","20.83157","-10277.24"
"2019-06-11 13:00:00.058","758.2293","20.58221","-10318.53"
"2019-06-11 14:00:00.058","751.07","17.31712","-10221.1"
"2019-06-11 15:00:00.058","751.5282","13.85378","-10227.34"
"2019-06-11 16:00:00.058","819.184","8.196487","-11148.04"
"2019-06-11 17:00:00.058","819.3644","8.143951","-11150.5"
"2019-06-11 18:00:00.058","819.7133","8.143951","-11155.25"
"2019-06-11 19:00:00.058","819.7909","8.143951","-11156.3"
"2019-06-11 20:00:00.058","819.9326","8.091415","-11158.23"
"2019-06-11 21:00:00.058","820.1652","8.091415","-11161.4"
"2019-06-11 22:00:00.058","820.204","8.091415","-11161.93"
"2019-06-11 23:00:00.058","820.4755","8.091415","-11165.62"
"2019-06-12 00:00:00.058","820.1263","8.091415","-11160.87"
"2019-06-12 01:00:00.058","820.2427","8.091415","-11162.45"
"2019-06-12 02:00:00.058","819.946","8.143951","-11158.41"
"2019-06-12 03:00:00.058","819.4419","8.143951","-11151.55"
"2019-06-12 04:00:00.058","819.093","8.143951","-11146.81"
"2019-06-12 05:00:00.058","819.2481","8.143951","-11148.92"
"2019-06-12 06:00:00.058","819.0542","8.143951","-11146.28"
"2019-06-12 07:00:00.058","819.2094","8.143951","-11148.39"
"2019-06-12 08:00:00.058","818.7441","8.143951","-11142.06"
"2019-06-12 09:00:00.058","818.4981","8.091415","-11138.71"
"2019-06-12 10:00:00.058","818.3043","8.091415","-11136.07"
"2019-06-12 11:00:00.058","818.3176","8.143951","-11136.25"
"2019-06-12 12:00:00.058","818.0461","8.143951","-11132.56"
"2019-06-12 13:00:00.058","817.6198","8.143951","-11126.76"
"2019-06-12 14:00:00.058","817.2067","8.196487","-11121.14"
"2019-06-12 15:00:00.058","817.077","8.143951","-11119.37"
"2019-06-12 16:00:00.058","816.7668","8.143951","-11115.15"
"2019-06-12 17:00:00.058","816.5341","8.143951","-11111.98"
"2019-06-12 18:00:00.058","816.4566","8.143951","-11110.93"
"2019-06-12 19:00:00.058","816.3405","8.143951","-11109.35"
"2019-06-12 20:00:00.058","816.1853","8.143951","-11107.24"
"2019-06-12 21:00:00.058","816.0303","8.143951","-11105.13"
"2019-06-12 22:00:00.058","815.3713","8.143951","-11096.16"
"2019-06-12 23:00:00.058","814.3633","8.143951","-11082.44"
"2019-06-13 00:00:00.058","814.0144","8.143951","-11077.69"
"2019-06-13 01:00:00.058","813.1617","8.143951","-11066.09"
"2019-06-13 02:00:00.058","811.9601","8.143951","-11049.74"
"2019-06-13 03:00:00.058","811.0684","8.143951","-11037.6"
"2019-06-13 04:00:00.058","810.5649","8.143951","-11030.75"
"2019-06-13 05:00:00.058","809.9968","8.196487","-11023.02"
"2019-06-13 06:00:00.058","809.454","8.196487","-11015.63"
"2019-06-13 07:00:00.058","808.6656","8.143951","-11004.9"
"2019-06-13 08:00:00.058","807.8262","8.196487","-10993.48"
"2019-06-13 09:00:00.058","807.2837","8.196487","-10986.1"
"2019-06-13 10:00:00.058","806.5861","8.196487","-10976.6"
"2019-06-13 11:00:00.058","805.9916","8.143951","-10968.51"
"2019-06-13 12:00:00.058","805.5398","8.196487","-10962.37"
"2019-06-13 13:00:00.058","804.9973","8.196487","-10954.98"
"2019-06-13 14:00:00.058","804.3384","8.196487","-10946.02"
"2019-06-13 15:00:00.058","803.8735","8.196487","-10939.69"
"2019-06-13 16:00:00.058","803.2667","8.248993","-10931.43"
"2019-06-13 17:00:00.058","802.8659","8.196487","-10925.98"
"2019-06-13 18:00:00.058","802.4785","8.196487","-10920.7"
"2019-06-13 19:00:00.058","802.0134","8.196487","-10914.37"
"2019-06-13 20:00:00.058","801.6261","8.196487","-10909.1"
"2019-06-13 21:00:00.058","801.5873","8.196487","-10908.58"
"2019-06-13 22:00:00.058","801.1997","8.196487","-10903.3"
"2019-06-13 23:00:00.058","801.2772","8.196487","-10904.36"
"2019-06-14 00:00:00.058","801.161","8.196487","-10902.77"
"2019-06-14 01:00:00.058","801.4711","8.196487","-10907"
"2019-06-14 02:00:00.058","801.6261","8.196487","-10909.1"
"2019-06-14 03:00:00.058","802.0911","8.196487","-10915.43"
"2019-06-14 04:00:00.058","802.3235","8.196487","-10918.59"
"2019-06-14 05:00:00.058","803.0596","8.196487","-10928.61"
"2019-06-14 06:00:00.058","803.1372","8.196487","-10929.67"
"2019-06-14 07:00:00.058","803.4603","8.248993","-10934.07"
"2019-06-14 08:00:00.058","803.9509","8.196487","-10940.74"
"2019-06-14 09:00:00.058","804.468","8.248993","-10947.78"
"2019-06-14 10:00:00.058","804.5321","8.196487","-10948.65"
"2019-06-14 11:00:00.058","804.8422","8.196487","-10952.87"
"2019-06-14 12:00:00.058","804.778","8.248993","-10952"
"2019-06-14 13:00:00.058","805.2429","8.248993","-10958.32"
"2019-06-14 14:00:00.058","805.4368","8.248993","-10960.96"
"2019-06-14 15:00:00.058","805.6172","8.196487","-10963.42"
"2019-06-14 16:00:00.058","805.863","8.248993","-10966.76"
"2019-06-14 17:00:00.058","805.9016","8.248993","-10967.29"
"2019-06-14 18:00:00.058","806.4831","8.248993","-10975.2"
"2019-06-14 19:00:00.058","807.0257","8.248993","-10982.59"
"2019-06-14 20:00:00.058","807.4521","8.248993","-10988.39"
"2019-06-14 21:00:00.058","807.7232","8.248993","-10992.08"
"2019-06-14 22:00:00.058","808.3433","8.248993","-11000.52"
"2019-06-14 23:00:00.058","808.7697","8.248993","-11006.32"
"2019-06-15 00:00:00.058","808.9247","8.248993","-11008.43"
