"Location Properties"
"Location Name = Default Site"
"Location ID = fc83a1ba-b00f-5867-b63b-bb05a2432e6c"
"Latitude = 0 °"
"Longitude = 0 °"
"Elevation = 0 m"
""
"Report Properties"
"Start Time = 2019-06-11 12:00:00.057"
"Duration = 1254.02:00:01"
"Readings = 30099"
"Time Offset = 00:00:00"
""
"Instrument Properties"
"Device Model = Rugged TROLL 100"
"Device SN = 645373"
"Device Firmware = 1.04"
""
"Log Properties"
"Log Name = REST-G Crocach"
"Log Type = Linear"
"Log File Number = 1"
"Log ID = 4e54d721-2663-529c-957e-c3e5ea755f5b"
"Log Wrapping Enabled = True"
"Interval = 01:00:00"
""
""
"Date Time","Pressure (mm Hg) (645373)","Temperature (°C) (645373)","Depth to Water (mm) (645373)"
"2019-06-11 12:00:00.057","755.7291","20.93561","-10284.5"
"2019-06-11 13:00:00.057","758.5401","19.97679","-10322.76"
"2019-06-11 14:00:00.057","751.0914","16.35764","-10221.39"
"2019-06-11 15:00:00.057","751.8099","13.7729","-10231.17"
"2019-06-11 16:00:00.057","769.9214","8.614471","-10477.64"
"2019-06-11 17:00:00.057","771.4823","8.507874","-10498.89"
"2019-06-11 18:00:00.057","772.4004","8.507874","-10511.38"
"2019-06-11 19:00:00.057","773.1625","8.454559","-10521.75"
"2019-06-11 20:00:00.057","774.053","8.507874","-10533.87"
"2019-06-11 21:00:00.057","775.5587","8.507874","-10554.36"
"2019-06-11 22:00:00.057","776.2565","8.507874","-10563.86"
"2019-06-11 23:00:00.057","777.1014","8.507874","-10575.35"
"2019-06-12 00:00:00.057","777.8361","8.507874","-10585.35"
"2019-06-12 01:00:00.057","778.415","8.454559","-10593.23"
"2019-06-12 02:00:00.057","778.8281","8.507874","-10598.85"
"2019-06-12 03:00:00.057","779.3055","8.507874","-10605.35"
"2019-06-12 04:00:00.057","779.6362","8.507874","-10609.85"
"2019-06-12 05:00:00.057","780.4904","8.561172","-10621.47"
"2019-06-12 06:00:00.057","781.0325","8.507874","-10628.85"
"2019-06-12 07:00:00.057","781.6573","8.507874","-10637.35"
"2019-06-12 08:00:00.057","781.9144","8.507874","-10640.85"
"2019-06-12 09:00:00.057","782.392","8.507874","-10647.35"
"2019-06-12 10:00:00.057","782.6583","8.561172","-10650.98"
"2019-06-12 11:00:00.057","782.9524","8.561172","-10654.98"
"2019-06-12 12:00:00.057","783.4578","8.507874","-10661.86"
"2019-06-12 13:00:00.057","783.6047","8.507874","-10663.86"
"2019-06-12 14:00:00.057","783.7609","8.561172","-10665.98"
"2019-06-12 15:00:00.057","784.0917","8.561172","-10670.48"
"2019-06-12 16:00:00.057","784.3765","8.507874","-10674.36"
"2019-06-12 17:00:00.057","784.9277","8.507874","-10681.86"
"2019-06-12 18:00:00.057","785.3046","8.561172","-10686.99"
"2019-06-12 19:00:00.057","785.4515","8.561172","-10688.99"
"2019-06-12 20:00:00.057","785.6998","8.507874","-10692.37"
"2019-06-12 21:00:00.057","785.8466","8.507874","-10694.37"
"2019-06-12 22:00:00.057","785.8925","8.561172","-10694.99"
"2019-06-12 23:00:00.057","785.2676","8.561172","-10686.48"
"2019-06-13 00:00:00.057","785.3689","8.507874","-10687.86"
"2019-06-13 01:00:00.057","784.8267","8.561172","-10680.49"
"2019-06-13 02:00:00.057","784.3031","8.507874","-10673.36"
"2019-06-13 03:00:00.057","783.7332","8.614471","-10665.6"
"2019-06-13 04:00:00.057","783.2464","8.561172","-10658.98"
"2019-06-13 05:00:00.057","783.1086","8.614471","-10657.1"
"2019-06-13 06:00:00.057","782.6216","8.561172","-10650.48"
"2019-06-13 07:00:00.057","782.2999","8.614471","-10646.1"
"2019-06-13 08:00:00.057","781.8408","8.507874","-10639.85"
"2019-06-13 09:00:00.057","781.7489","8.614471","-10638.6"
"2019-06-13 10:00:00.057","781.5192","8.561172","-10635.48"
"2019-06-13 11:00:00.057","780.7842","8.561172","-10625.47"
"2019-06-13 12:00:00.057","780.8301","8.614471","-10626.1"
"2019-06-13 13:00:00.057","780.4904","8.561172","-10621.47"
"2019-06-13 14:00:00.057","780.0217","8.614471","-10615.1"
"2019-06-13 15:00:00.057","779.8289","8.561172","-10612.47"
"2019-06-13 16:00:00.057","780.0585","8.614471","-10615.6"
"2019-06-13 17:00:00.057","780.3068","8.561172","-10618.97"
"2019-06-13 18:00:00.057","781.1608","8.614471","-10630.6"
"2019-06-13 19:00:00.057","781.9326","8.614471","-10641.1"
"2019-06-13 20:00:00.057","783.2556","8.614471","-10659.1"
"2019-06-13 21:00:00.057","784.459","8.561172","-10675.48"
"2019-06-13 22:00:00.057","785.525","8.561172","-10689.99"
"2019-06-13 23:00:00.057","786.306","8.614471","-10700.62"
"2019-06-14 00:00:00.057","786.4073","8.561172","-10702"
"2019-06-14 01:00:00.057","786.2325","8.614471","-10699.62"
"2019-06-14 02:00:00.057","786.306","8.614471","-10700.62"
"2019-06-14 03:00:00.057","786.2693","8.614471","-10700.12"
"2019-06-14 04:00:00.057","786.6368","8.614471","-10705.12"
"2019-06-14 05:00:00.057","786.7838","8.614471","-10707.12"
"2019-06-14 06:00:00.057","786.747","8.614471","-10706.62"
"2019-06-14 07:00:00.057","787.0779","8.614471","-10711.12"
"2019-06-14 08:00:00.057","787.2894","8.561172","-10714"
"2019-06-14 09:00:00.057","787.4456","8.614471","-10716.13"
"2019-06-14 10:00:00.057","787.5284","8.66777","-10717.25"
"2019-06-14 11:00:00.057","787.5927","8.614471","-10718.13"
"2019-06-14 12:00:00.057","787.5558","8.614471","-10717.63"
"2019-06-14 13:00:00.057","787.4089","8.614471","-10715.63"
"2019-06-14 14:00:00.057","787.8499","8.614471","-10721.63"
"2019-06-14 15:00:00.057","788.2452","8.561172","-10727.01"
"2019-06-14 16:00:00.057","788.3738","8.66777","-10728.76"
"2019-06-14 17:00:00.057","788.7783","8.66777","-10734.26"
"2019-06-14 18:00:00.057","789.2838","8.614471","-10741.14"
"2019-06-14 19:00:00.057","789.3205","8.614471","-10741.64"
"2019-06-14 20:00:00.057","789.9731","8.561172","-10750.52"
"2019-06-14 21:00:00.057","790.2856","8.66777","-10754.78"
"2019-06-14 22:00:00.057","790.7177","8.614471","-10760.65"
