"Location Properties"
"Location Name = Default Site"
"Location ID = fc83a1ba-b00f-5867-b63b-bb05a2432e6c"
"Latitude = 0 °"
"Longitude = 0 °"
"Elevation = 0 m"
""
"Report Properties"
"Start Time = 2019-06-11 12:00:00.057"
"Duration = 1254.01:00:01"
"Readings = 30098"
"Time Offset = 00:00:00"
""
"Instrument Properties"
"Device Model = Rugged TROLL 100"
"Device SN = 645370"
"Device Firmware = 1.04"
""
"Log Properties"
"Log Name = REST-H Crocach"
"Log Type = Linear"
"Log File Number = 1"
"Log ID = 2078d0a3-fabc-5c82-9d05-6b303fa5e92a"
"Log Wrapping Enabled = True"
"Interval = 01:00:00"
""
""
"Date Time","Pressure (mm Hg) (645370)","Temperature (°C) (645370)","Depth to Water (mm) (645370)"
"2019-06-11 12:00:00.057","755.1726","20.38953","-10276.93"
"2019-06-11 13:00:00.057","758.4422","19.93814","-10321.43"
"2019-06-11 14:00:00.057","751.0335","16.49814","-10220.6"
"2019-06-11 15:00:00.057","751.287","12.43311","-10224.05"
"2019-06-11 16:00:00.057","784.3525","8.342026","-10674.03"
"2019-06-11 17:00:00.057","786.2372","8.236053","-10699.68"
"2019-06-11 18:00:00.057","788.8187","8.183075","-10734.81"
"2019-06-11 19:00:00.057","790.7214","8.183075","-10760.7"
"2019-06-11 20:00:00.057","793.1681","8.289063","-10794"
"2019-06-11 21:00:00.057","795.6294","8.236053","-10827.5"
"2019-06-11 22:00:00.057","797.7986","8.130066","-10857.02"
"2019-06-11 23:00:00.057","800.062","8.342026","-10887.82"
"2019-06-12 00:00:00.057","801.6152","8.183075","-10908.96"
"2019-06-12 01:00:00.057","803.1411","8.342026","-10929.72"
"2019-06-12 02:00:00.057","803.9741","8.236053","-10941.06"
"2019-06-12 03:00:00.057","804.7844","8.236053","-10952.09"
"2019-06-12 04:00:00.057","806.0001","8.236053","-10968.63"
"2019-06-12 05:00:00.057","807.1033","8.289063","-10983.64"
"2019-06-12 06:00:00.057","808.1978","8.289063","-10998.54"
"2019-06-12 07:00:00.057","809.0085","8.289063","-11009.57"
"2019-06-12 08:00:00.057","809.7786","8.289063","-11020.05"
"2019-06-12 09:00:00.057","810.3281","8.183075","-11027.53"
"2019-06-12 10:00:00.057","811.1389","8.183075","-11038.56"
"2019-06-12 11:00:00.057","812.5759","8.289063","-11058.12"
"2019-06-12 12:00:00.057","813.5897","8.289063","-11071.92"
"2019-06-12 13:00:00.057","814.0762","8.289063","-11078.54"
"2019-06-12 14:00:00.057","814.5537","8.236053","-11085.03"
"2019-06-12 15:00:00.057","814.6439","8.289063","-11086.26"
"2019-06-12 16:00:00.057","814.4322","8.236053","-11083.38"
"2019-06-12 17:00:00.057","814.5222","8.289063","-11084.6"
"2019-06-12 18:00:00.057","814.351","8.236053","-11082.27"
"2019-06-12 19:00:00.057","813.986","8.236053","-11077.31"
"2019-06-12 20:00:00.057","814.0671","8.236053","-11078.41"
"2019-06-12 21:00:00.057","813.8735","8.289063","-11075.78"
"2019-06-12 22:00:00.057","813.1436","8.289063","-11065.84"
"2019-06-12 23:00:00.057","812.4452","8.236053","-11056.34"
"2019-06-13 00:00:00.057","811.684","8.289063","-11045.98"
"2019-06-13 01:00:00.057","811.0669","8.236053","-11037.58"
"2019-06-13 02:00:00.057","809.9317","8.236053","-11022.13"
"2019-06-13 03:00:00.057","809.0489","8.289063","-11010.12"
"2019-06-13 04:00:00.057","808.6436","8.289063","-11004.6"
"2019-06-13 05:00:00.057","807.914","8.289063","-10994.67"
"2019-06-13 06:00:00.057","807.216","8.236053","-10985.17"
"2019-06-13 07:00:00.057","806.455","8.289063","-10974.82"
"2019-06-13 08:00:00.057","805.6849","8.289063","-10964.34"
"2019-06-13 09:00:00.057","805.1176","8.289063","-10956.62"
"2019-06-13 10:00:00.057","804.6719","8.289063","-10950.55"
"2019-06-13 11:00:00.057","803.6588","8.289063","-10936.77"
"2019-06-13 12:00:00.057","803.2942","8.289063","-10931.8"
"2019-06-13 13:00:00.057","802.8484","8.289063","-10925.74"
"2019-06-13 14:00:00.057","802.2814","8.289063","-10918.02"
"2019-06-13 15:00:00.057","801.9571","8.289063","-10913.61"
"2019-06-13 16:00:00.057","801.3494","8.289063","-10905.34"
"2019-06-13 17:00:00.057","801.1558","8.342026","-10902.7"
"2019-06-13 18:00:00.057","800.7505","8.342026","-10897.19"
"2019-06-13 19:00:00.057","800.386","8.342026","-10892.23"
"2019-06-13 20:00:00.057","800.2239","8.342026","-10890.02"
"2019-06-13 21:00:00.057","799.9719","8.289063","-10886.59"
"2019-06-13 22:00:00.057","800.215","8.289063","-10889.9"
"2019-06-13 23:00:00.057","800.1025","8.342026","-10888.37"
"2019-06-14 00:00:00.057","800.134","8.289063","-10888.8"
"2019-06-14 01:00:00.057","800.0214","8.342026","-10887.27"
"2019-06-14 02:00:00.057","799.6075","8.289063","-10881.63"
"2019-06-14 03:00:00.057","799.9404","8.342026","-10886.16"
"2019-06-14 04:00:00.057","800.0936","8.289063","-10888.25"
"2019-06-14 05:00:00.057","800.7101","8.342026","-10896.64"
"2019-06-14 06:00:00.057","800.8228","8.289063","-10898.17"
"2019-06-14 07:00:00.057","801.1063","8.289063","-10902.03"
"2019-06-14 08:00:00.057","801.6013","8.342026","-10908.77"
"2019-06-14 09:00:00.057","802.0154","8.394974","-10914.4"
"2019-06-14 10:00:00.057","802.1191","8.289063","-10915.81"
"2019-06-14 11:00:00.057","802.2991","8.394974","-10918.26"
"2019-06-14 12:00:00.057","802.5828","8.394974","-10922.12"
"2019-06-14 13:00:00.057","802.5421","8.394974","-10921.57"
"2019-06-14 14:00:00.057","802.9789","8.342026","-10927.51"
"2019-06-14 15:00:00.057","803.15","8.394974","-10929.84"
"2019-06-14 16:00:00.057","803.3841","8.342026","-10933.03"
"2019-06-14 17:00:00.057","803.3841","8.342026","-10933.03"
"2019-06-14 18:00:00.057","804.2035","8.394974","-10944.18"
"2019-06-14 19:00:00.057","804.3251","8.394974","-10945.83"
"2019-06-14 20:00:00.057","804.7303","8.394974","-10951.35"
"2019-06-14 21:00:00.057","805.3293","8.342026","-10959.5"
"2019-06-14 22:00:00.057","805.6219","8.394974","-10963.48"
"2019-06-14 23:00:00.057","805.9776","8.342026","-10968.32"
"2019-06-15 00:00:00.057","806.4324","8.394974","-10974.51"
"2019-06-15 01:00:00.057","806.3918","8.394974","-10973.96"
"2019-06-15 02:00:00.057","806.3109","8.394974","-10972.86"
"2019-06-15 03:00:00.057","806.464","8.342026","-10974.94"
"2019-06-15 04:00:00.057","806.8287","8.342026","-10979.91"
"2019-06-15 05:00:00.057","806.5855","8.342026","-10976.6"
"2019-06-15 06:00:00.057","806.9593","8.394974","-10981.68"
"2019-06-15 07:00:00.057","806.8692","8.342026","-10980.46"
"2019-06-15 08:00:00.057","807.2339","8.342026","-10985.42"
"2019-06-15 09:00:00.057","807.1934","8.342026","-10984.87"
"2019-06-15 10:00:00.057","807.2115","8.447937","-10985.12"
"2019-06-15 11:00:00.057","806.6667","8.342026","-10977.7"
"2019-06-15 12:00:00.057","806.8287","8.342026","-10979.91"
"2019-06-15 13:00:00.057","806.7971","8.394974","-10979.47"
"2019-06-15 14:00:00.057","806.3918","8.394974","-10973.96"
"2019-06-15 15:00:00.057","806.3918","8.394974","-10973.96"
"2019-06-15 16:00:00.057","806.1983","8.447937","-10971.33"
"2019-06-15 17:00:00.057","805.5903","8.447937","-10963.05"
"2019-06-15 18:00:00.057","805.2256","8.447937","-10958.09"
"2019-06-15 19:00:00.057","805.1266","8.342026","-10956.74"
"2019-06-15 20:00:00.057","805.3293","8.342026","-10959.5"
"2019-06-15 21:00:00.057","805.2166","8.394974","-10957.96"
"2019-06-15 22:00:00.057","805.086","8.342026","-10956.19"
"2019-06-15 23:00:00.057","804.6492","8.394974","-10950.25"
"2019-06-16 00:00:00.057","804.5772","8.447937","-10949.26"
"2019-06-16 01:00:00.057","804.6177","8.447937","-10949.82"
"2019-06-16 02:00:00.057","803.7084","8.342026","-10937.44"
"2019-06-16 03:00:00.057","803.8298","8.342026","-10939.09"
"2019-06-16 04:00:00.057","803.3931","8.394974","-10933.15"
