"Location Properties"
"Location Name = Default Site"
"Location ID = fc83a1ba-b00f-5867-b63b-bb05a2432e6c"
"Latitude = 0 °"
"Longitude = 0 °"
"Elevation = 0 m"
""
"Report Properties"
"Start Time = 2019-06-11 12:00:00.057"
"Duration = 1254.02:00:01"
"Readings = 30099"
"Time Offset = 00:00:00"
""
"Instrument Properties"
"Device Model = Rugged TROLL 100"
"Device SN = 645375"
"Device Firmware = 1.04"
""
"Log Properties"
"Log Name = REST-I Crocach"
"Log Type = Linear"
"Log File Number = 1"
"Log ID = 1db66fcd-d5f8-54c6-a290-f8c2d1a6c0c6"
"Log Wrapping Enabled = True"
"Interval = 01:00:00"
""
""
"Date Time","Pressure (mm Hg) (645375)","Temperature (°C) (645375)","Depth to Water (mm) (645375)"
"2019-06-11 12:00:00.057","755.8589","20.97633","-10286.27"
"2019-06-11 13:00:00.057","758.2209","20.02495","-10318.42"
"2019-06-11 14:00:00.057","751.0512","16.02594","-10220.84"
"2019-06-11 15:00:00.057","751.5099","12.73288","-10227.09"
"2019-06-11 16:00:00.057","777.3591","8.967865","-10578.86"
"2019-06-11 17:00:00.057","779.368","8.809555","-10606.2"
"2019-06-11 18:00:00.057","781.4762","8.809555","-10634.89"
"2019-06-11 19:00:00.057","782.7561","8.809555","-10652.31"
"2019-06-11 20:00:00.057","784.1115","8.809555","-10670.75"
"2019-06-11 21:00:00.057","785.8059","8.809555","-10693.81"
"2019-06-11 22:00:00.057","786.9355","8.809555","-10709.18"
"2019-06-11 23:00:00.057","788.2535","8.809555","-10727.12"
"2019-06-12 00:00:00.057","789.0899","8.86235","-10738.5"
"2019-06-12 01:00:00.057","790.1365","8.809555","-10752.75"
"2019-06-12 02:00:00.057","790.5132","8.809555","-10757.87"
"2019-06-12 03:00:00.057","791.4547","8.809555","-10770.68"
"2019-06-12 04:00:00.057","791.4926","8.809555","-10771.2"
"2019-06-12 05:00:00.057","792.3964","8.809555","-10783.5"
"2019-06-12 06:00:00.057","793.0368","8.809555","-10792.21"
"2019-06-12 07:00:00.057","793.6772","8.809555","-10800.93"
"2019-06-12 08:00:00.057","794.0914","8.809555","-10806.57"
"2019-06-12 09:00:00.057","794.4008","8.86235","-10810.78"
"2019-06-12 10:00:00.057","794.9579","8.809555","-10818.36"
"2019-06-12 11:00:00.057","795.5229","8.809555","-10826.05"
"2019-06-12 12:00:00.057","796.1259","8.809555","-10834.25"
"2019-06-12 13:00:00.057","796.209","8.86235","-10835.39"
"2019-06-12 14:00:00.057","796.5482","8.86235","-10840"
"2019-06-12 15:00:00.057","796.3143","8.809555","-10836.82"
"2019-06-12 16:00:00.057","796.2845","8.86235","-10836.41"
"2019-06-12 17:00:00.057","796.5026","8.809555","-10839.38"
"2019-06-12 18:00:00.057","796.5401","8.809555","-10839.89"
"2019-06-12 19:00:00.057","796.4729","8.86235","-10838.97"
"2019-06-12 20:00:00.057","796.465","8.809555","-10838.87"
"2019-06-12 21:00:00.057","796.4729","8.86235","-10838.97"
"2019-06-12 22:00:00.057","795.757","8.86235","-10829.23"
"2019-06-12 23:00:00.057","794.8907","8.86235","-10817.44"
"2019-06-13 00:00:00.057","794.2502","8.86235","-10808.73"
"2019-06-13 01:00:00.057","793.9031","8.809555","-10804"
"2019-06-13 02:00:00.057","792.6304","8.86235","-10786.68"
"2019-06-13 03:00:00.057","791.6135","8.86235","-10772.84"
"2019-06-13 04:00:00.057","791.0108","8.86235","-10764.64"
"2019-06-13 05:00:00.057","790.4457","8.86235","-10756.95"
"2019-06-13 06:00:00.057","789.9263","8.915115","-10749.89"
"2019-06-13 07:00:00.057","789.1652","8.86235","-10739.53"
"2019-06-13 08:00:00.057","787.9977","8.86235","-10723.64"
"2019-06-13 09:00:00.057","787.6965","8.86235","-10719.54"
"2019-06-13 10:00:00.057","786.981","8.86235","-10709.8"
"2019-06-13 11:00:00.057","786.3786","8.86235","-10701.6"
"2019-06-13 12:00:00.057","786.0397","8.86235","-10696.99"
"2019-06-13 13:00:00.057","785.5125","8.86235","-10689.82"
"2019-06-13 14:00:00.057","784.7972","8.86235","-10680.08"
"2019-06-13 15:00:00.057","784.3077","8.86235","-10673.42"
"2019-06-13 16:00:00.057","783.7804","8.86235","-10666.25"
"2019-06-13 17:00:00.057","783.2535","8.86235","-10659.08"
"2019-06-13 18:00:00.057","783.2614","8.915115","-10659.18"
"2019-06-13 19:00:00.057","782.5005","8.86235","-10648.83"
"2019-06-13 20:00:00.057","782.1617","8.86235","-10644.22"
"2019-06-13 21:00:00.057","782.0941","8.915115","-10643.3"
