"Location Properties"
"Location Name = REFAP"
"Location ID = 31c3e90d-f849-52e3-9b9c-b3dfded4e7e8"
"Latitude = 0 °"
"Longitude = 0 °"
"Elevation = 0 m"
""
"Report Properties"
"Start Time = 2020-02-18 12:00:00.056"
"Duration = 1060.01:01:28"
"Readings = 25442"
"Time Offset = 00:00:00"
""
"Instrument Properties"
"Device Model = Rugged Baro TROLL"
"Device SN = 183500"
"Device Firmware = 1.00"
""
"Log Properties"
"Log Name = Air reference logger"
"Log Type = Linear"
"Log File Number = 1"
"Log ID = 736bf349-4cd6-587e-952a-734641a1860e"
"Log Wrapping Enabled = True"
"Interval = 01:00:00"
""
""
"Date Time","Pressure (mm Hg) (183500)","Temperature (°C) (183500)"
"2020-02-18 12:00:00.056","730.8495","3.974258"
"2020-02-18 13:00:00.056","730.9991","4.027908"
"2020-02-18 14:00:00.056","731.0682","3.866959"
"2020-02-18 15:00:00.056","730.9877","2.413467"
"2020-02-18 16:00:00.056","730.9504","2.791153"
"2020-02-18 17:00:00.056","730.8588","0.2433014"
"2020-02-18 18:00:00.056","730.7654","-0.08398438"
"2020-02-18 19:00:00.056","731.0231","0.7333374"
"2020-02-18 20:00:00.056","731.1721","0.787735"
"2020-02-18 21:00:00.056","731.0389","1.168091"
"2020-02-18 22:00:00.056","731.9097","1.330917"
"2020-02-18 23:00:00.056","732.4521","1.81868"
"2020-02-19 00:00:00.056","733.4043","2.521423"
"2020-02-19 01:00:00.056","733.6396","2.521423"
"2020-02-19 02:00:00.056","733.8769","2.845078"
"2020-02-19 03:00:00.056","734.3109","3.222076"
"2020-02-19 04:00:00.056","735.1395","2.791153"
"2020-02-19 05:00:00.056","736.0317","2.467438"
"2020-02-19 06:00:00.056","736.439","2.359436"
"2020-02-19 07:00:00.056","736.5883","2.413467"
"2020-02-19 08:00:00.056","737.2119","1.547821"
"2020-02-19 09:00:00.056","737.1513","2.089233"
"2020-02-19 10:00:00.056","737.3323","4.188736"
"2020-02-19 11:00:00.056","736.8188","6.269562"
"2020-02-19 12:00:00.056","736.4023","5.151413"
"2020-02-19 13:00:00.056","734.8142","5.524704"
"2020-02-19 14:00:00.056","733.5664","4.188736"
"2020-02-19 15:00:00.056","731.7328","3.598465"
"2020-02-19 16:00:00.056","730.3305","2.737244"
"2020-02-19 17:00:00.056","729.0045","2.683304"
"2020-02-19 18:00:00.056","728.1058","3.275894"
"2020-02-19 19:00:00.056","727.8257","3.598465"
"2020-02-19 20:00:00.056","727.4211","4.027908"
"2020-02-19 21:00:00.056","727.5164","4.937836"
"2020-02-19 22:00:00.056","728.1387","4.403015"
"2020-02-19 23:00:00.056","728.0223","3.652206"
"2020-02-20 00:00:00.056","727.7704","3.544754"
"2020-02-20 01:00:00.056","727.3426","2.898956"
"2020-02-20 02:00:00.056","727.2892","3.168259"
"2020-02-20 03:00:00.056","727.6802","2.95285"
"2020-02-20 04:00:00.056","727.2548","2.629364"
"2020-02-20 05:00:00.056","727.3315","2.197357"
"2020-02-20 06:00:00.056","726.5688","1.493607"
"2020-02-20 07:00:00.056","726.843","1.113785"
"2020-02-20 08:00:00.056","726.7881","0.7333374"
"2020-02-20 09:00:00.056","726.514","0.4612427"
"2020-02-20 10:00:00.056","726.2249","2.035141"
"2020-02-20 11:00:00.056","726.1061","3.437241"
"2020-02-20 12:00:00.056","726.1915","4.295898"
"2020-02-20 13:00:00.056","726.5404","3.813293"
"2020-02-20 14:00:00.056","726.311","1.981033"
"2020-02-20 15:00:00.056","726.4274","1.168091"
"2020-02-20 16:00:00.056","726.7416","0.4067688"
"2020-02-20 17:00:00.056","726.6713","0.2433014"
"2020-02-20 18:00:00.056","727.4789","0.2978058"
"2020-02-20 19:00:00.056","728.6393","0.515686"
"2020-02-20 20:00:00.056","729.533","0.8421173"
"2020-02-20 21:00:00.056","730.1918","0.8421173"
"2020-02-20 22:00:00.056","730.5291","0.5701294"
"2020-02-20 23:00:00.056","731.306","1.385162"
"2020-02-21 00:00:00.056","730.9998","1.222382"
"2020-02-21 01:00:00.056","731.4893","2.30542"
"2020-02-21 02:00:00.056","730.7379","2.629364"
"2020-02-21 03:00:00.056","729.5815","3.383469"
"2020-02-21 04:00:00.056","728.2576","3.652206"
"2020-02-21 05:00:00.056","727.4156","4.295898"
"2020-02-21 06:00:00.056","725.7928","4.456543"
"2020-02-21 07:00:00.056","725.2916","4.563583"
"2020-02-21 08:00:00.056","724.8783","5.524704"
"2020-02-21 09:00:00.056","724.5411","7.223724"
"2020-02-21 10:00:00.056","724.5554","7.59375"
"2020-02-21 11:00:00.056","725.4241","7.435242"
"2020-02-21 12:00:00.056","726.2633","7.382355"
"2020-02-21 13:00:00.056","725.6651","8.595139"
"2020-02-21 14:00:00.056","726.7486","7.752151"
"2020-02-21 15:00:00.056","726.7192","7.857697"
"2020-02-21 16:00:00.056","726.7491","6.322647"
"2020-02-21 17:00:00.056","726.9164","5.311478"
"2020-02-21 18:00:00.056","726.4711","3.974258"
"2020-02-21 19:00:00.056","725.8954","3.598465"
"2020-02-21 20:00:00.056","725.3107","4.081528"
"2020-02-21 21:00:00.056","725.3246","3.866959"
