Date and Time,Seconds,Pressure (mmHg),Temperature (C),Level Depth To Water (mm)
17/07/2022 20:00,0,751.214,7.518,46.38
17/07/2022 21:00,3600,751.711,7.518,39.623
17/07/2022 22:00,7200,752.073,7.465,34.688
17/07/2022 23:00,10800,752.197,7.465,32.999
18/07/2022 00:00,14400,752.414,7.518,30.046
18/07/2022 01:00,18000,752.859,7.465,23.988
18/07/2022 02:00,21600,753.066,7.465,21.171
18/07/2022 03:00,25200,752.383,7.571,30.479
18/07/2022 04:00,28800,752.643,7.413,26.934
18/07/2022 05:00,32400,752.684,7.413,26.372
18/07/2022 06:00,36000,752.786,7.518,24.98
18/07/2022 07:00,39600,752.974,7.413,22.43
18/07/2022 08:00,43200,753.035,7.518,21.603
18/07/2022 09:00,46800,753.48,7.465,15.537
18/07/2022 10:00,50400,753.955,7.571,9.074
18/07/2022 11:00,54000,754.069,7.518,7.522
18/07/2022 12:00,57600,754.34,7.413,3.844
18/07/2022 13:00,61200,754.133,7.413,6.66
18/07/2022 14:00,64800,754.328,7.571,4.008
18/07/2022 15:00,68400,754.617,7.571,0.066
18/07/2022 16:00,72000,754.079,7.571,7.39
18/07/2022 17:00,75600,754.018,7.465,8.218
18/07/2022 18:00,79200,753.821,7.518,10.9
18/07/2022 19:00,82800,753.77,7.465,11.595
18/07/2022 20:00,86400,753.583,7.571,14.147
18/07/2022 21:00,90000,753.293,7.571,18.089
18/07/2022 22:00,93600,753.417,7.571,16.397
18/07/2022 23:00,97200,753.366,7.518,17.097
19/07/2022 00:00,100800,753.251,7.571,18.652
19/07/2022 01:00,104400,753.035,7.518,21.603
19/07/2022 02:00,108000,752.446,7.465,29.62
19/07/2022 03:00,111600,752.704,7.518,26.105
19/07/2022 04:00,115200,752.207,7.518,32.867
19/07/2022 05:00,118800,752.207,7.518,32.867
19/07/2022 06:00,122400,751.173,7.518,46.941
19/07/2022 07:00,126000,751.338,7.518,44.69
19/07/2022 08:00,129600,751.65,7.413,40.452
19/07/2022 09:00,133200,751.08,7.465,48.201
19/07/2022 10:00,136800,750.769,7.571,52.44
19/07/2022 11:00,140400,750.335,7.465,58.338
19/07/2022 12:00,144000,750.087,7.465,61.716
19/07/2022 13:00,147600,749.963,7.465,63.406
19/07/2022 14:00,151200,749.673,7.465,67.347
19/07/2022 15:00,154800,748.929,7.465,77.481
19/07/2022 16:00,158400,749.632,7.465,67.91
19/07/2022 17:00,162000,749.218,7.465,73.542
19/07/2022 18:00,165600,748.979,7.518,76.788
19/07/2022 19:00,169200,748.824,7.571,78.91
19/07/2022 20:00,172800,748.7,7.571,80.597
19/07/2022 21:00,176400,748.763,7.465,79.732
19/07/2022 22:00,180000,749.186,7.518,73.973
19/07/2022 23:00,183600,749.527,7.571,69.336
20/07/2022 00:00,187200,749.444,7.571,70.463
20/07/2022 01:00,190800,749.444,7.571,70.463
20/07/2022 02:00,194400,749.569,7.571,68.771
20/07/2022 03:00,198000,749.362,7.571,71.588
20/07/2022 04:00,201600,748.887,7.465,78.046
20/07/2022 05:00,205200,749.113,7.571,74.964
20/07/2022 06:00,208800,749.651,7.571,67.645
20/07/2022 07:00,212400,750.087,7.465,61.716
20/07/2022 08:00,216000,750.479,7.571,56.384
20/07/2022 09:00,219600,750.542,7.465,55.524
20/07/2022 10:00,223200,751.131,7.518,47.505
20/07/2022 11:00,226800,751.131,7.518,47.505
20/07/2022 12:00,230400,751.638,7.571,40.614
20/07/2022 13:00,234000,752.102,7.624,34.289
20/07/2022 14:00,237600,752.29,7.518,31.739
20/07/2022 15:00,241200,752.383,7.571,30.479
20/07/2022 16:00,244800,752.828,7.518,24.417
20/07/2022 17:00,248400,752.993,7.518,22.165
20/07/2022 18:00,252000,753.325,7.518,17.658
20/07/2022 19:00,255600,753.5,7.571,15.273
20/07/2022 20:00,259200,754.079,7.571,7.39
20/07/2022 21:00,262800,754.225,7.465,5.4
20/07/2022 22:00,266400,754.607,7.518,0.2
20/07/2022 23:00,270000,754.793,7.624,-2.322
21/07/2022 00:00,273600,754.751,7.624,-1.76
21/07/2022 01:00,277200,755.073,7.571,-6.131
21/07/2022 02:00,280800,755.187,7.518,-7.687
21/07/2022 03:00,284400,755.228,7.518,-8.25
21/07/2022 04:00,288000,755.569,7.571,-12.89
21/07/2022 05:00,291600,755.486,7.571,-11.76
21/07/2022 06:00,295200,755.776,7.571,-15.705
21/07/2022 07:00,298800,756.222,7.518,-21.77
21/07/2022 08:00,302400,756.531,7.624,-25.979
21/07/2022 09:00,306000,756.635,7.518,-27.398
21/07/2022 10:00,309600,756.801,7.518,-29.654
21/07/2022 11:00,313200,756.852,7.571,-30.351
21/07/2022 12:00,316800,756.884,7.518,-30.781
21/07/2022 13:00,320400,757.193,7.624,-34.99
21/07/2022 14:00,324000,757.069,7.624,-33.299
21/07/2022 15:00,327600,756.986,7.624,-32.174
21/07/2022 16:00,331200,757.203,7.677,-35.124
21/07/2022 17:00,334800,757.11,7.624,-33.862
21/07/2022 18:00,338400,757.11,7.624,-33.862
21/07/2022 19:00,342000,757.174,7.518,-34.724
21/07/2022 20:00,345600,757.174,7.518,-34.724
21/07/2022 21:00,349200,756.935,7.571,-31.479
21/07/2022 22:00,352800,757.008,7.518,-32.471
21/07/2022 23:00,356400,757.11,7.624,-33.862
22/07/2022 00:00,360000,756.955,7.677,-31.746
22/07/2022 01:00,363600,756.862,7.624,-30.484
22/07/2022 02:00,367200,756.531,7.624,-25.979
22/07/2022 03:00,370800,756.231,7.571,-21.9
22/07/2022 04:00,374400,755.983,7.571,-18.521
22/07/2022 05:00,378000,755.952,7.624,-18.094
22/07/2022 06:00,381600,755.754,7.677,-15.408
22/07/2022 07:00,385200,755.776,7.571,-15.705
22/07/2022 08:00,388800,755.818,7.571,-16.269
22/07/2022 09:00,392400,755.547,7.677,-12.591
22/07/2022 10:00,396000,755.652,7.571,-14.016
22/07/2022 11:00,399600,755.776,7.571,-15.705
22/07/2022 12:00,403200,755.569,7.571,-12.89
22/07/2022 13:00,406800,755,7.624,-5.137
22/07/2022 14:00,410400,755.051,7.677,-5.835
22/07/2022 15:00,414000,754.885,7.677,-3.582
22/07/2022 16:00,417600,754.369,7.571,3.444
22/07/2022 17:00,421200,754.172,7.624,6.127
22/07/2022 18:00,424800,754.006,7.624,8.381
22/07/2022 19:00,428400,753.675,7.624,12.886
22/07/2022 20:00,432000,753.872,7.571,10.205
22/07/2022 21:00,435600,753.778,7.729,11.493
22/07/2022 22:00,439200,753.551,7.624,14.576
22/07/2022 23:00,442800,753.634,7.624,13.45
23/07/2022 00:00,446400,753.22,7.624,19.081
23/07/2022 01:00,450000,753.054,7.624,21.333
23/07/2022 02:00,453600,752.743,7.729,25.573
23/07/2022 03:00,457200,752.714,7.571,25.973
23/07/2022 04:00,460800,752.37,7.729,30.646
23/07/2022 05:00,464400,752.434,7.624,29.782
23/07/2022 06:00,468000,752.102,7.624,34.289
23/07/2022 07:00,471600,751.915,7.729,36.837
23/07/2022 08:00,475200,751.947,7.677,36.406
23/07/2022 09:00,478800,751.791,7.729,38.527
23/07/2022 10:00,482400,751.905,7.677,36.972
23/07/2022 11:00,486000,751.657,7.677,40.349
23/07/2022 12:00,489600,751.565,7.624,41.608
23/07/2022 13:00,493200,751.212,7.729,46.41
23/07/2022 14:00,496800,751.109,7.624,47.804
23/07/2022 15:00,500400,750.808,7.782,51.908
23/07/2022 16:00,504000,750.27,7.782,59.228
23/07/2022 17:00,507600,749.588,7.677,68.505
23/07/2022 18:00,511200,749.401,7.782,71.056
23/07/2022 19:00,514800,749.184,7.729,74.004
23/07/2022 20:00,518400,748.729,7.729,80.2
23/07/2022 21:00,522000,748.264,7.677,86.526
23/07/2022 22:00,525600,748.099,7.677,88.775
23/07/2022 23:00,529200,747.602,7.677,95.533
24/07/2022 00:00,532800,747.395,7.677,98.349
24/07/2022 01:00,536400,746.505,7.782,110.471
24/07/2022 02:00,540000,745.667,7.729,121.862
24/07/2022 03:00,543600,745.636,7.782,122.292
24/07/2022 04:00,547200,745.75,7.729,120.736
24/07/2022 05:00,550800,745.728,7.835,121.032
24/07/2022 06:00,554400,746.081,7.729,116.235
24/07/2022 07:00,558000,745.645,7.835,122.162
24/07/2022 08:00,561600,745.957,7.729,117.921
24/07/2022 09:00,565200,746.381,7.782,112.155
24/07/2022 10:00,568800,746.205,7.729,114.542
24/07/2022 11:00,572400,746.619,7.729,108.913
24/07/2022 12:00,576000,746.638,7.835,108.646
24/07/2022 13:00,579600,746.122,7.729,115.669
24/07/2022 14:00,583200,745.677,7.782,121.728
24/07/2022 15:00,586800,745.521,7.835,123.85
24/07/2022 16:00,590400,745.025,7.835,130.605
24/07/2022 17:00,594000,744.395,7.782,139.181
24/07/2022 18:00,597600,744.022,7.782,144.249
24/07/2022 19:00,601200,744.032,7.835,144.115
24/07/2022 20:00,604800,744.064,7.782,143.686
24/07/2022 21:00,608400,743.742,7.835,148.059
24/07/2022 22:00,612000,743.66,7.835,149.183
24/07/2022 23:00,615600,743.061,7.729,157.327
25/07/2022 00:00,619200,743.392,7.729,152.827
25/07/2022 01:00,622800,743.37,7.835,153.125
25/07/2022 02:00,626400,743.319,7.782,153.817
25/07/2022 03:00,630000,743.536,7.835,150.872
25/07/2022 04:00,633600,742.947,7.782,158.885
25/07/2022 05:00,637200,742.864,7.782,160.01
25/07/2022 06:00,640800,742.874,7.835,159.877
25/07/2022 07:00,644400,743.411,7.835,152.563
25/07/2022 08:00,648000,743.774,7.782,147.626
25/07/2022 09:00,651600,744.032,7.835,144.115
25/07/2022 10:00,655200,744.456,7.888,138.354
25/07/2022 11:00,658800,745.273,7.835,127.226
25/07/2022 12:00,662400,745.811,7.835,119.91
25/07/2022 13:00,666000,746.39,7.835,112.023
25/07/2022 14:00,669600,747.135,7.835,101.894
25/07/2022 15:00,673200,747.838,7.835,92.319
25/07/2022 16:00,676800,748.5,7.835,83.311
25/07/2022 17:00,680400,750.27,7.782,59.228
25/07/2022 18:00,684000,751.521,7.835,42.202
25/07/2022 19:00,687600,753.508,7.835,15.167
25/07/2022 20:00,691200,754.874,7.835,-3.422
25/07/2022 21:00,694800,756.157,7.835,-20.882
