Date and Time,Seconds,Pressure (mmHg),Temperature (C),Level Depth To Water (mm)
17/07/2022 20:00,0,763.727,8.031,-356.896
17/07/2022 21:00,3600.001,763.72,7.978,-356.792
17/07/2022 22:00,7200.001,763.687,8.031,-356.342
17/07/2022 23:00,10800.001,763.638,7.978,-355.679
18/07/2022 00:00,14400.001,763.392,7.978,-352.333
18/07/2022 01:00,18000.001,763.024,7.978,-347.319
18/07/2022 02:00,21600.001,763.072,8.031,-347.982
18/07/2022 03:00,25200.001,762.45,7.978,-339.517
18/07/2022 04:00,28800.001,762.205,7.978,-336.174
18/07/2022 05:00,32400.001,761.869,7.925,-331.61
18/07/2022 06:00,36000.001,761.713,7.978,-329.488
18/07/2022 07:00,39600.001,761.936,7.82,-332.513
18/07/2022 08:00,43200.001,761.787,7.925,-330.494
18/07/2022 09:00,46800.001,761.657,7.873,-328.72
18/07/2022 10:00,50400.001,761.926,8.031,-332.38
18/07/2022 11:00,54000.001,761.869,7.925,-331.61
18/07/2022 12:00,57600.001,761.779,7.873,-330.388
18/07/2022 13:00,61200.001,761.427,7.978,-325.586
18/07/2022 14:00,64800.001,761.271,8.031,-323.463
18/07/2022 15:00,68400.001,761.36,8.083,-324.685
18/07/2022 16:00,72000.001,760.779,8.031,-316.775
18/07/2022 17:00,75600.001,760.664,8.083,-315.21
18/07/2022 18:00,79200.001,760.436,7.925,-312.106
18/07/2022 19:00,82800.001,759.878,8.031,-304.516
18/07/2022 20:00,86400.001,759.674,8.031,-301.731
18/07/2022 21:00,90000.001,759.33,7.925,-297.06
18/07/2022 22:00,93600.001,759.241,7.873,-295.841
18/07/2022 23:00,97200.001,759.126,7.925,-294.273
19/07/2022 00:00,100800.001,758.862,8.083,-290.689
19/07/2022 01:00,104400.001,758.545,7.873,-286.365
19/07/2022 02:00,108000.001,757.979,7.925,-278.671
19/07/2022 03:00,111600.001,757.987,7.978,-278.774
19/07/2022 04:00,115200.001,757.693,7.925,-274.77
19/07/2022 05:00,118800.001,757.332,7.978,-269.858
19/07/2022 06:00,122400.001,756.316,8.031,-256.033
19/07/2022 07:00,126000.001,756.897,8.083,-263.939
19/07/2022 08:00,129600.001,756.889,8.031,-263.833
19/07/2022 09:00,133200.001,756.39,7.978,-257.041
19/07/2022 10:00,136800.001,755.742,8.031,-248.229
19/07/2022 11:00,140400.001,755.432,7.873,-244.013
19/07/2022 12:00,144000.001,755.095,8.083,-239.417
19/07/2022 13:00,147600.001,754.923,8.031,-237.082
19/07/2022 14:00,151200.001,754.439,8.083,-230.5
19/07/2022 15:00,154800.001,753.966,7.925,-224.054
19/07/2022 16:00,158400.001,754.539,7.925,-231.856
19/07/2022 17:00,162000.001,754.227,8.031,-227.609
19/07/2022 18:00,165600.001,753.858,8.031,-222.593
19/07/2022 19:00,169200.001,753.334,8.083,-215.453
19/07/2022 20:00,172800.001,753.188,7.925,-213.466
19/07/2022 21:00,176400.001,753.367,8.031,-215.905
19/07/2022 22:00,180000.001,753.597,7.925,-219.039
19/07/2022 23:00,183600.001,753.646,7.978,-219.7
20/07/2022 00:00,187200.001,754.137,7.978,-226.39
20/07/2022 01:00,190800.001,754.186,8.031,-227.051
20/07/2022 02:00,194400.001,754.35,8.031,-229.28
20/07/2022 03:00,198000.001,753.818,8.031,-222.036
20/07/2022 04:00,201600.001,753.375,8.083,-216.008
20/07/2022 05:00,205200.001,753.564,7.978,-218.586
20/07/2022 06:00,208800.001,754.022,8.031,-224.822
20/07/2022 07:00,212400.001,754.317,8.083,-228.828
20/07/2022 08:00,216000.001,754.882,8.031,-236.525
20/07/2022 09:00,219600.001,755.136,8.083,-239.974
20/07/2022 10:00,223200.001,755.627,8.083,-246.663
20/07/2022 11:00,226800.001,755.627,8.083,-246.663
20/07/2022 12:00,230400.001,756.029,8.031,-252.13
20/07/2022 13:00,234000.001,756.423,7.925,-257.493
20/07/2022 14:00,237600.001,756.766,8.031,-262.163
20/07/2022 15:00,241200.001,756.774,8.083,-262.269
20/07/2022 16:00,244800.001,757.209,7.978,-268.188
20/07/2022 17:00,248400.001,757.552,8.083,-272.854
20/07/2022 18:00,252000.001,757.831,8.031,-276.652
20/07/2022 19:00,255600.001,757.879,8.083,-277.314
20/07/2022 20:00,259200.001,758.133,8.136,-280.766
20/07/2022 21:00,262800.001,758.363,8.031,-283.897
20/07/2022 22:00,266400.001,759.167,7.925,-294.83
20/07/2022 23:00,270000.001,759.443,8.136,-298.597
21/07/2022 00:00,273600.001,759.371,7.925,-297.617
21/07/2022 01:00,277200.001,759.346,8.031,-297.271
21/07/2022 02:00,280800.001,759.362,8.136,-297.483
21/07/2022 03:00,284400.001,759.625,7.978,-301.067
21/07/2022 04:00,288000.001,759.853,8.136,-304.172
21/07/2022 05:00,291600.001,759.73,8.136,-302.499
21/07/2022 06:00,295200.001,759.894,8.136,-304.728
21/07/2022 07:00,298800.001,760.303,8.136,-310.301
21/07/2022 08:00,302400.001,760.59,8.136,-314.201
21/07/2022 09:00,306000.001,761.122,8.136,-321.445
21/07/2022 10:00,309600.001,760.762,8.189,-316.539
21/07/2022 11:00,313200.001,761.271,8.031,-323.463
21/07/2022 12:00,316800.001,761.401,8.083,-325.24
21/07/2022 13:00,320400.001,761.245,8.136,-323.119
21/07/2022 14:00,324000.001,761.319,8.083,-324.124
21/07/2022 15:00,327600.001,761.245,8.136,-323.119
21/07/2022 16:00,331200.001,761.409,8.136,-325.347
21/07/2022 17:00,334800.001,761.393,8.031,-325.135
21/07/2022 18:00,338400.001,761.189,8.031,-322.349
21/07/2022 19:00,342000.001,761.532,8.136,-327.02
21/07/2022 20:00,345600.001,761.458,8.189,-326.012
21/07/2022 21:00,349200.001,760.943,8.031,-319.005
21/07/2022 22:00,352800.001,761.286,8.136,-323.675
21/07/2022 23:00,356400.001,761.393,8.031,-325.135
22/07/2022 00:00,360000.001,761.376,8.189,-324.897
22/07/2022 01:00,363600.001,761.025,8.031,-320.12
22/07/2022 02:00,367200.001,760.664,8.083,-315.21
22/07/2022 03:00,370800.001,760.296,8.083,-310.194
22/07/2022 04:00,374400.001,760.147,8.189,-308.178
22/07/2022 05:00,378000.001,760.025,8.189,-306.507
22/07/2022 06:00,381600.001,760.05,8.083,-306.852
22/07/2022 07:00,385200.001,759.968,8.083,-305.734
22/07/2022 08:00,388800.001,760.091,8.083,-307.408
22/07/2022 09:00,392400.001,760.147,8.189,-308.178
22/07/2022 10:00,396000.001,760.114,8.241,-307.728
22/07/2022 11:00,399600.001,760.344,8.136,-310.857
22/07/2022 12:00,403200.001,759.984,8.189,-305.949
22/07/2022 13:00,406800.001,759.95,8.241,-305.497
22/07/2022 14:00,410400.001,759.909,8.241,-304.941
22/07/2022 15:00,414000.001,759.738,8.189,-302.604
22/07/2022 16:00,417600.001,759.41,8.189,-298.147
22/07/2022 17:00,421200.001,759.362,8.136,-297.483
