Date and Time,Seconds,Pressure (mmHg),Temperature (C),Level Depth To Water (mm)
17/07/2022 20:00,0,734.828,7.935,500.419
17/07/2022 21:00,3600,735.166,7.99,495.83
17/07/2022 22:00,7200,735.558,7.881,490.492
17/07/2022 23:00,10800,735.822,7.99,486.895
18/07/2022 00:00,14400,736.511,7.935,477.526
18/07/2022 01:00,18000,736.643,7.99,475.729
18/07/2022 02:00,21600,736.88,7.935,472.501
18/07/2022 03:00,25200,736.839,7.935,473.059
18/07/2022 04:00,28800,737.003,7.935,470.825
18/07/2022 05:00,32400,737.29,7.935,466.917
18/07/2022 06:00,36000,737.66,7.935,461.891
18/07/2022 07:00,39600,737.947,7.935,457.983
18/07/2022 08:00,43200,738.398,7.935,451.842
18/07/2022 09:00,46800,738.817,7.99,446.134
18/07/2022 10:00,50400,739.506,7.935,436.765
18/07/2022 11:00,54000,739.67,7.935,434.53
18/07/2022 12:00,57600,740.245,7.935,426.712
18/07/2022 13:00,61200,740.368,7.935,425.037
18/07/2022 14:00,64800,740.409,7.935,424.479
18/07/2022 15:00,68400,740.819,7.935,418.896
18/07/2022 16:00,72000,740.86,7.935,418.338
18/07/2022 17:00,75600,741.156,7.99,414.305
18/07/2022 18:00,79200,741.024,7.935,416.104
18/07/2022 19:00,82800,740.983,7.935,416.662
18/07/2022 20:00,86400,740.983,7.935,416.662
18/07/2022 21:00,90000,741.27,7.935,412.754
18/07/2022 22:00,93600,741.516,7.935,409.405
18/07/2022 23:00,97200,741.804,7.935,405.496
19/07/2022 00:00,100800,741.681,7.935,407.171
19/07/2022 01:00,104400,742.009,7.935,402.704
19/07/2022 02:00,108000,741.886,7.935,404.378
19/07/2022 03:00,111600,741.854,7.99,404.813
19/07/2022 04:00,115200,741.69,7.99,407.047
19/07/2022 05:00,118800,741.936,7.99,403.698
19/07/2022 06:00,122400,740.869,7.99,418.214
19/07/2022 07:00,126000,741.649,7.99,407.604
19/07/2022 08:00,129600,742.018,7.99,402.579
19/07/2022 09:00,133200,741.516,7.935,409.405
19/07/2022 10:00,136800,741.567,7.99,408.721
19/07/2022 11:00,140400,741.526,7.99,409.281
19/07/2022 12:00,144000,741.32,7.99,412.072
19/07/2022 13:00,147600,741.444,7.99,410.396
19/07/2022 14:00,151200,740.992,7.99,416.538
19/07/2022 15:00,154800,740.828,7.99,418.771
19/07/2022 16:00,158400,741.854,7.99,404.813
19/07/2022 17:00,162000,741.608,7.99,408.164
19/07/2022 18:00,165600,741.485,7.99,409.838
19/07/2022 19:00,169200,741.279,7.99,412.63
19/07/2022 20:00,172800,741.485,7.99,409.838
19/07/2022 21:00,176400,742.018,7.99,402.579
19/07/2022 22:00,180000,742.551,7.99,395.32
19/07/2022 23:00,183600,742.88,7.99,390.853
20/07/2022 00:00,187200,743.249,7.99,385.827
20/07/2022 01:00,190800,743.29,7.99,385.27
20/07/2022 02:00,194400,743.413,7.99,383.595
20/07/2022 03:00,198000,743.331,7.99,384.712
20/07/2022 04:00,201600,743.167,7.99,386.945
20/07/2022 05:00,205200,743.668,8.045,380.119
20/07/2022 06:00,208800,743.947,7.99,376.334
20/07/2022 07:00,212400,744.48,7.99,369.076
20/07/2022 08:00,216000,745.054,7.99,361.257
20/07/2022 09:00,219600,745.72,8.045,352.199
20/07/2022 10:00,223200,745.998,7.99,348.415
20/07/2022 11:00,226800,746.171,8.045,346.057
20/07/2022 12:00,230400,746.992,8.045,334.891
20/07/2022 13:00,234000,747.525,8.045,327.631
20/07/2022 14:00,237600,747.762,7.99,324.407
20/07/2022 15:00,241200,747.731,8.045,324.839
20/07/2022 16:00,244800,748.592,8.045,313.112
20/07/2022 17:00,248400,749.003,8.045,307.528
20/07/2022 18:00,252000,749.208,8.045,304.738
20/07/2022 19:00,255600,749.372,8.045,302.505
20/07/2022 20:00,259200,750.028,8.045,293.569
20/07/2022 21:00,262800,750.274,8.045,290.221
20/07/2022 22:00,266400,750.899,8.099,281.719
20/07/2022 23:00,270000,751.095,8.045,279.053
