Date and Time,Seconds,Pressure (mmHg),Temperature (C),Level Depth To Water (mm)
17/07/2022 20:00,0,751.99,8.449,-47.329
17/07/2022 21:00,3600,752.322,8.501,-51.854
17/07/2022 22:00,7200,752.647,8.501,-56.277
17/07/2022 23:00,10800,752.607,8.501,-55.722
18/07/2022 00:00,14400,752.769,8.501,-57.934
18/07/2022 01:00,18000,752.939,8.553,-60.247
18/07/2022 02:00,21600,753.061,8.553,-61.905
18/07/2022 03:00,25200,752.64,8.449,-56.173
18/07/2022 04:00,28800,752.573,8.553,-55.271
18/07/2022 05:00,32400,752.898,8.553,-59.695
18/07/2022 06:00,36000,753.02,8.553,-61.352
18/07/2022 07:00,39600,753.223,8.553,-64.117
18/07/2022 08:00,43200,753.241,8.396,-64.359
18/07/2022 09:00,46800,753.825,8.501,-72.303
18/07/2022 10:00,50400,753.939,8.449,-73.859
18/07/2022 11:00,54000,753.995,8.553,-74.619
18/07/2022 12:00,57600,754.353,8.501,-79.49
18/07/2022 13:00,61200,754.279,8.553,-78.486
18/07/2022 14:00,64800,754.401,8.553,-80.147
18/07/2022 15:00,68400,754.597,8.501,-82.808
18/07/2022 16:00,72000,754.353,8.501,-79.49
18/07/2022 17:00,75600,754.231,8.501,-77.833
18/07/2022 18:00,79200,754.191,8.501,-77.28
18/07/2022 19:00,82800,754.036,8.553,-75.171
18/07/2022 20:00,86400,754.028,8.501,-75.068
18/07/2022 21:00,90000,753.792,8.553,-71.854
18/07/2022 22:00,93600,753.833,8.553,-72.408
18/07/2022 23:00,97200,753.825,8.501,-72.303
19/07/2022 00:00,100800,753.825,8.501,-72.303
19/07/2022 01:00,104400,753.629,8.553,-69.643
19/07/2022 02:00,108000,753.386,8.553,-66.329
19/07/2022 03:00,111600,753.581,8.501,-68.988
19/07/2022 04:00,115200,753.264,8.553,-64.668
19/07/2022 05:00,118800,753.426,8.553,-66.877
19/07/2022 06:00,122400,752.249,8.553,-50.852
19/07/2022 07:00,126000,752.655,8.553,-56.378
19/07/2022 08:00,129600,752.98,8.553,-60.801
19/07/2022 09:00,133200,752.492,8.553,-54.168
19/07/2022 10:00,136800,752.127,8.553,-49.193
19/07/2022 11:00,140400,752.167,8.553,-49.746
19/07/2022 12:00,144000,751.551,8.501,-41.353
19/07/2022 13:00,147600,751.477,8.553,-40.35
19/07/2022 14:00,151200,751.477,8.553,-40.35
19/07/2022 15:00,154800,751.03,8.553,-34.271
19/07/2022 16:00,158400,751.517,8.553,-40.902
19/07/2022 17:00,162000,751.517,8.553,-40.902
19/07/2022 18:00,165600,751.071,8.553,-34.821
19/07/2022 19:00,169200,751.2,8.605,-36.584
19/07/2022 20:00,172800,750.868,8.553,-32.06
19/07/2022 21:00,176400,751.477,8.553,-40.35
19/07/2022 22:00,180000,751.721,8.553,-43.665
19/07/2022 23:00,183600,751.802,8.553,-44.771
20/07/2022 00:00,187200,752.459,8.605,-53.72
20/07/2022 01:00,190800,752.297,8.605,-51.509
20/07/2022 02:00,194400,752.54,8.605,-54.821
20/07/2022 03:00,198000,752.094,8.605,-48.743
20/07/2022 04:00,201600,752.094,8.605,-48.743
20/07/2022 05:00,205200,752.175,8.605,-49.849
20/07/2022 06:00,208800,752.744,8.605,-57.588
20/07/2022 07:00,212400,753.15,8.605,-63.116
20/07/2022 08:00,216000,753.434,8.605,-66.981
20/07/2022 09:00,219600,753.921,8.605,-73.617
20/07/2022 10:00,223200,754.328,8.605,-79.146
20/07/2022 11:00,226800,754.483,8.553,-81.252
20/07/2022 12:00,230400,755.018,8.605,-88.542
20/07/2022 13:00,234000,755.627,8.605,-96.832
20/07/2022 14:00,237600,755.384,8.605,-93.515
20/07/2022 15:00,241200,755.96,8.658,-101.36
20/07/2022 16:00,244800,756.448,8.658,-107.993
20/07/2022 17:00,248400,756.196,8.605,-104.573
20/07/2022 18:00,252000,756.683,8.605,-111.205
20/07/2022 19:00,255600,757.26,8.658,-119.052
20/07/2022 20:00,259200,757.334,8.605,-120.051
20/07/2022 21:00,262800,757.781,8.605,-126.133
20/07/2022 22:00,266400,758.22,8.553,-132.108
20/07/2022 23:00,270000,758.235,8.658,-132.318
21/07/2022 00:00,273600,758.69,8.71,-138.504
21/07/2022 01:00,277200,758.641,8.658,-137.847
21/07/2022 02:00,280800,758.87,8.553,-140.954
21/07/2022 03:00,284400,759.251,8.658,-146.139
21/07/2022 04:00,288000,759.291,8.658,-146.693
21/07/2022 05:00,291600,759.372,8.658,-147.798
21/07/2022 06:00,295200,759.73,8.605,-152.67
21/07/2022 07:00,298800,759.901,8.658,-154.986
21/07/2022 08:00,302400,760.152,8.71,-158.411
