Date and Time,Seconds,Pressure (mmHg),Temperature (C),Level Depth To Water (mm)
17/07/2022 20:00,0,749.868,8.18,51.812
17/07/2022 21:00,3600,750.067,8.18,49.114
17/07/2022 22:00,7200,750.106,8.18,48.573
17/07/2022 23:00,10800,750.496,8.126,43.277
18/07/2022 00:00,14400,750.773,8.126,39.501
18/07/2022 01:00,18000,750.694,8.126,40.578
18/07/2022 02:00,21600,750.931,8.126,37.345
18/07/2022 03:00,25200,750.694,8.126,40.578
18/07/2022 04:00,28800,750.694,8.126,40.578
18/07/2022 05:00,32400,750.496,8.126,43.277
18/07/2022 06:00,36000,750.859,8.18,38.332
18/07/2022 07:00,39600,750.938,8.18,37.252
18/07/2022 08:00,43200,751.13,8.126,34.649
18/07/2022 09:00,46800,751.526,8.126,29.257
18/07/2022 10:00,50400,751.763,8.126,26.022
18/07/2022 11:00,54000,752.041,8.126,22.247
18/07/2022 12:00,57600,752.041,8.126,22.247
18/07/2022 13:00,61200,751.929,8.18,23.774
18/07/2022 14:00,64800,752.199,8.126,20.091
18/07/2022 15:00,68400,752.041,8.126,22.247
18/07/2022 16:00,72000,752.001,8.126,22.787
18/07/2022 17:00,75600,752.008,8.18,22.693
18/07/2022 18:00,79200,751.612,8.18,28.087
18/07/2022 19:00,82800,751.691,8.18,27.009
18/07/2022 20:00,86400,751.447,8.126,30.334
18/07/2022 21:00,90000,751.407,8.126,30.874
18/07/2022 22:00,93600,751.612,8.18,28.087
18/07/2022 23:00,97200,751.572,8.18,28.626
19/07/2022 00:00,100800,751.572,8.18,28.626
19/07/2022 01:00,104400,751.572,8.18,28.626
19/07/2022 02:00,108000,751.05,8.126,35.726
19/07/2022 03:00,111600,751.017,8.18,36.174
19/07/2022 04:00,115200,750.819,8.18,38.87
19/07/2022 05:00,118800,750.978,8.18,36.713
19/07/2022 06:00,122400,750.106,8.18,48.573
19/07/2022 07:00,126000,750.463,8.18,43.721
19/07/2022 08:00,129600,750.819,8.18,38.87
19/07/2022 09:00,133200,750.582,8.18,42.104
19/07/2022 10:00,136800,750.146,8.18,48.036
19/07/2022 11:00,140400,749.868,8.18,51.812
19/07/2022 12:00,144000,749.433,8.18,57.741
19/07/2022 13:00,147600,749.868,8.18,51.812
19/07/2022 14:00,151200,749.116,8.18,62.052
19/07/2022 15:00,154800,749.037,8.18,63.132
19/07/2022 16:00,158400,749.472,8.18,57.199
19/07/2022 17:00,162000,749.36,8.234,58.727
19/07/2022 18:00,165600,749.076,8.18,62.593
19/07/2022 19:00,169200,748.918,8.18,64.75
19/07/2022 20:00,172800,749.004,8.234,63.58
19/07/2022 21:00,176400,749.393,8.18,58.279
19/07/2022 22:00,180000,749.796,8.234,52.797
19/07/2022 23:00,183600,749.987,8.18,50.191
20/07/2022 00:00,187200,750.146,8.18,48.036
20/07/2022 01:00,190800,750.272,8.234,46.325
20/07/2022 02:00,194400,750.47,8.234,43.628
20/07/2022 03:00,198000,749.908,8.18,51.271
20/07/2022 04:00,201600,749.948,8.18,50.729
20/07/2022 05:00,205200,750.232,8.234,46.863
20/07/2022 06:00,208800,750.589,8.234,42.011
20/07/2022 07:00,212400,751.103,8.234,35.004
20/07/2022 08:00,216000,751.539,8.234,29.072
20/07/2022 09:00,219600,752.054,8.234,22.063
20/07/2022 10:00,223200,752.292,8.234,18.827
20/07/2022 11:00,226800,752.728,8.234,12.896
20/07/2022 12:00,230400,753.005,8.234,9.121
20/07/2022 13:00,234000,753.64,8.234,0.491
20/07/2022 14:00,237600,754.036,8.234,-4.901
20/07/2022 15:00,241200,753.917,8.234,-3.281
20/07/2022 16:00,244800,754.511,8.234,-11.372
20/07/2022 17:00,248400,754.828,8.234,-15.687
20/07/2022 18:00,252000,754.993,8.288,-17.934
20/07/2022 19:00,255600,755.304,8.234,-22.157
20/07/2022 20:00,259200,755.581,8.234,-25.932
20/07/2022 21:00,262800,756.057,8.234,-32.403
20/07/2022 22:00,266400,756.493,8.234,-38.338
20/07/2022 23:00,270000,756.691,8.234,-41.033
21/07/2022 00:00,273600,756.651,8.234,-40.495
21/07/2022 01:00,277200,756.73,8.234,-41.571
21/07/2022 02:00,280800,756.817,8.288,-42.744
21/07/2022 03:00,284400,756.936,8.288,-44.364
21/07/2022 04:00,288000,757.292,8.288,-49.218
21/07/2022 05:00,291600,757.332,8.288,-49.755
21/07/2022 06:00,295200,757.807,8.288,-56.229
21/07/2022 07:00,298800,757.966,8.288,-58.387
21/07/2022 08:00,302400,758.164,8.288,-61.084
21/07/2022 09:00,306000,758.719,8.288,-68.636
21/07/2022 10:00,309600,758.64,8.288,-67.557
21/07/2022 11:00,313200,758.64,8.288,-67.557
21/07/2022 12:00,316800,759.036,8.288,-72.951
21/07/2022 13:00,320400,759.314,8.288,-76.728
21/07/2022 14:00,324000,759.195,8.288,-75.108
21/07/2022 15:00,327600,759.195,8.288,-75.108
21/07/2022 16:00,331200,759.433,8.288,-78.346
21/07/2022 17:00,334800,759.155,8.288,-74.57
21/07/2022 18:00,338400,759.44,8.343,-78.438
21/07/2022 19:00,342000,759.519,8.343,-79.519
21/07/2022 20:00,345600,759.677,8.343,-81.677
21/07/2022 21:00,349200,759.479,8.343,-78.977
21/07/2022 22:00,352800,759.479,8.343,-78.977
