Date and Time,Seconds,Pressure (mmHg),Temperature (C),Level Depth To Water (mm)
06/09/2022 22:00,0,783.048,11.001,-811.388
06/09/2022 23:00,3600.001,782.817,10.949,-808.241
07/09/2022 00:00,7200.001,782.345,11.001,-801.821
07/09/2022 01:00,10800.001,781.894,10.949,-795.685
07/09/2022 02:00,14400.001,781.971,10.897,-796.727
07/09/2022 03:00,18000.001,781.653,11.053,-792.407
07/09/2022 04:00,21600.001,781.531,10.897,-790.748
07/09/2022 05:00,25200.001,781.674,10.949,-792.696
07/09/2022 06:00,28800.001,781.355,10.897,-788.355
07/09/2022 07:00,32400.001,781.334,11.001,-788.068
07/09/2022 08:00,36000.001,781.268,10.897,-787.16
07/09/2022 09:00,39600.001,781.455,10.949,-789.708
07/09/2022 10:00,43200.001,781.378,11.001,-788.665
07/09/2022 11:00,46800.001,781.598,11.001,-791.656
07/09/2022 12:00,50400.001,781.862,11.001,-795.245
07/09/2022 13:00,54000.001,781.63,10.949,-792.097
07/09/2022 14:00,57600.001,781.642,11.001,-792.253
07/09/2022 15:00,61200.001,781.246,11.001,-786.873
07/09/2022 16:00,64800.001,780.96,10.897,-782.975
07/09/2022 17:00,68400.001,780.675,11.001,-779.1
07/09/2022 18:00,72000.001,780.708,10.949,-779.542
07/09/2022 19:00,75600.001,780.664,10.949,-778.944
07/09/2022 20:00,79200.001,780.532,10.949,-777.151
07/09/2022 21:00,82800.001,780.983,11.001,-783.283
07/09/2022 22:00,86400.001,780.488,10.949,-776.552
07/09/2022 23:00,90000.001,780.181,10.949,-772.367
08/09/2022 00:00,93600.001,780.137,10.949,-771.77
08/09/2022 01:00,97200.001,779.829,10.949,-767.586
08/09/2022 02:00,100800.001,779.357,11.001,-761.163
08/09/2022 03:00,104400.001,778.874,11.001,-754.588
08/09/2022 04:00,108000.001,778.775,10.949,-753.234
08/09/2022 05:00,111600.001,778.698,11.001,-752.194
08/09/2022 06:00,115200.001,778.479,11.001,-749.206
08/09/2022 07:00,118800.001,778.819,10.949,-753.832
08/09/2022 08:00,122400.001,778.479,11.001,-749.206
08/09/2022 09:00,126000.001,778.479,11.001,-749.206
08/09/2022 10:00,129600.001,778.335,10.949,-747.256
08/09/2022 11:00,133200.001,778.292,10.949,-746.659
08/09/2022 12:00,136800.001,778.248,10.949,-746.062
08/09/2022 13:00,140400.001,778.171,11.001,-745.02
08/09/2022 14:00,144000.001,778.16,10.949,-744.865
08/09/2022 15:00,147600.001,779.126,10.949,-758.021
08/09/2022 16:00,151200.001,780.368,11.001,-774.914
08/09/2022 17:00,154800.001,780.708,10.949,-779.542
08/09/2022 18:00,158400.001,780.5,11.001,-776.708
08/09/2022 19:00,162000.001,780.236,11.001,-773.122
08/09/2022 20:00,165600.001,780.324,11.001,-774.316
08/09/2022 21:00,169200.001,780.192,11.001,-772.521
08/09/2022 22:00,172800.001,780.664,10.949,-778.944
08/09/2022 23:00,176400.001,780.444,10.949,-775.957
09/09/2022 00:00,180000.001,780.488,10.949,-776.552
09/09/2022 01:00,183600.001,780.62,10.949,-778.349
09/09/2022 02:00,187200.001,780.851,11.001,-781.492
09/09/2022 03:00,190800.001,780.62,10.949,-778.349
09/09/2022 04:00,194400.001,780.796,10.949,-780.74
09/09/2022 05:00,198000.001,781.246,11.001,-786.873
09/09/2022 06:00,201600.001,780.983,11.001,-783.283
09/09/2022 07:00,205200.001,781.422,11.001,-789.264
09/09/2022 08:00,208800.001,781.246,11.001,-786.873
09/09/2022 09:00,212400.001,781.73,11.001,-793.45
09/09/2022 10:00,216000.001,782.169,11.001,-799.429
09/09/2022 11:00,219600.001,782.904,10.949,-809.437
09/09/2022 12:00,223200.001,783.224,11.001,-813.78
09/09/2022 13:00,226800.001,783.619,11.001,-819.162
09/09/2022 14:00,230400.001,783.695,10.949,-820.201
09/09/2022 15:00,234000.001,783.871,10.949,-822.595
09/09/2022 16:00,237600.001,783.795,11.001,-821.552
09/09/2022 17:00,241200.001,784.19,11.001,-826.934
09/09/2022 18:00,244800.001,784.223,10.949,-827.375
09/09/2022 19:00,248400.001,784.047,10.949,-824.983
09/09/2022 20:00,252000.001,784.53,10.949,-831.563
09/09/2022 21:00,255600.001,785.421,11.001,-843.679
09/09/2022 22:00,259200.001,785.684,11.001,-847.265
09/09/2022 23:00,262800.001,785.805,10.949,-848.901
10/09/2022 00:00,266400.001,786.068,10.949,-852.489
10/09/2022 01:00,270000.001,785.992,11.001,-851.45
10/09/2022 02:00,273600.001,786.343,11.001,-856.234
10/09/2022 03:00,277200.001,786.651,11.001,-860.419
10/09/2022 04:00,280800.001,787.046,11.001,-865.8
10/09/2022 05:00,284400.001,787.09,11.001,-866.398
10/09/2022 06:00,288000.001,787.123,10.949,-866.84
10/09/2022 07:00,291600.001,787.881,11.001,-877.167
10/09/2022 08:00,295200.001,787.958,10.949,-878.204
10/09/2022 09:00,298800.001,788.233,11.001,-881.946
10/09/2022 10:00,302400.001,788.453,11.001,-884.938
10/09/2022 11:00,306000.001,789.068,11.001,-893.313
10/09/2022 12:00,309600.001,789.156,11.001,-894.506
10/09/2022 13:00,313200.001,789.156,11.001,-894.506
10/09/2022 14:00,316800.001,789.188,10.949,-894.948
10/09/2022 15:00,320400.001,789.112,11.001,-893.905
10/09/2022 16:00,324000.001,788.705,10.949,-888.37
10/09/2022 17:00,327600.001,788.792,10.949,-889.564
10/09/2022 18:00,331200.001,788.804,11.001,-889.721
10/09/2022 19:00,334800.001,789.156,11.001,-894.506
10/09/2022 20:00,338400.001,789.156,11.001,-894.506
10/09/2022 21:00,342000.001,789.639,11.001,-901.087
10/09/2022 22:00,345600.001,789.551,11.001,-899.887
10/09/2022 23:00,349200.001,789.156,11.001,-894.506
11/09/2022 00:00,352800.001,789.112,11.001,-893.905
11/09/2022 01:00,356400.001,789.243,11.001,-895.7
11/09/2022 02:00,360000.001,789.024,11.001,-892.711
11/09/2022 03:00,363600.001,788.76,11.001,-889.123
11/09/2022 04:00,367200.001,788.453,11.001,-884.938
11/09/2022 05:00,370800.001,787.826,10.949,-876.408
