Date and Time,Seconds,Pressure (mmHg),Temperature (C),Level Depth To Water (mm),,,
06/09/2022 22:00,0,783.335,10.697,-724.063,,,
06/09/2022 23:00,3600.001,783.149,10.749,-721.521,,,
07/09/2022 00:00,7200.001,782.711,10.697,-715.558,,,S
07/09/2022 01:00,10800.001,782.133,10.749,-707.698,,,
07/09/2022 02:00,14400.001,781.851,10.697,-703.865,,,
07/09/2022 03:00,18000.001,781.461,10.697,-698.548,,,
07/09/2022 04:00,21600.001,781.156,10.749,-694.408,,,
07/09/2022 05:00,25200.001,781.383,10.697,-697.485,,,
07/09/2022 06:00,28800.001,781.343,10.697,-696.952,,,
07/09/2022 07:00,32400.001,781.078,10.749,-693.348,,,
07/09/2022 08:00,36000.001,781.226,10.697,-695.361,,,
07/09/2022 09:00,39600.001,781.187,10.697,-694.828,,,
07/09/2022 10:00,43200.001,781.156,10.749,-694.408,,,
07/09/2022 11:00,46800.001,781.265,10.697,-695.891,,,
07/09/2022 12:00,50400.001,781.812,10.697,-703.332,,,
07/09/2022 13:00,54000.001,781.773,10.697,-702.801,,,
07/09/2022 14:00,57600.001,781.5,10.697,-699.08,,,
07/09/2022 15:00,61200.001,781.265,10.697,-695.891,,,
07/09/2022 16:00,64800.001,780.25,10.697,-682.073,,,
07/09/2022 17:00,68400.001,780.414,10.749,-684.311,,,
07/09/2022 18:00,72000.001,779.985,10.749,-678.461,,,
07/09/2022 19:00,75600.001,780.141,10.749,-680.59,,,
07/09/2022 20:00,79200.001,779.937,10.697,-677.819,,,
07/09/2022 21:00,82800.001,779.976,10.697,-678.35,,,
07/09/2022 22:00,86400.001,779.633,10.749,-673.679,,,
07/09/2022 23:00,90000.001,779.477,10.749,-671.554,,,
08/09/2022 00:00,93600.001,779.117,10.697,-666.656,,,
08/09/2022 01:00,97200.001,778.688,10.697,-660.812,,,
08/09/2022 02:00,100800.001,778.11,10.749,-652.95,,,
08/09/2022 03:00,104400.001,777.876,10.749,-649.764,,,
08/09/2022 04:00,108000.001,777.789,10.697,-648.588,,,
08/09/2022 05:00,111600.001,777.446,10.749,-643.918,,,
08/09/2022 06:00,115200.001,777.321,10.697,-642.212,,,
08/09/2022 07:00,118800.001,777.29,10.749,-641.792,,,
08/09/2022 08:00,122400.001,777.29,10.749,-641.792,,,
08/09/2022 09:00,126000.001,777.204,10.697,-640.617,,,
08/09/2022 10:00,129600.001,777.008,10.697,-637.96,,,
08/09/2022 11:00,133200.001,777.134,10.749,-639.665,,,
08/09/2022 12:00,136800.001,776.86,10.749,-635.945,,,
08/09/2022 13:00,140400.001,776.891,10.697,-636.365,,,
08/09/2022 14:00,144000.001,776.626,10.749,-632.756,,,
08/09/2022 15:00,147600.001,778.188,10.749,-654.014,,,
08/09/2022 16:00,151200.001,781.898,10.749,-704.507,,,
08/09/2022 17:00,154800.001,781.343,10.697,-696.952,,,
08/09/2022 18:00,158400.001,780.61,10.749,-686.969,,,
08/09/2022 19:00,162000.001,780.531,10.749,-685.904,,,
08/09/2022 20:00,165600.001,780.367,10.697,-683.666,,,
08/09/2022 21:00,169200.001,780.367,10.697,-683.666,,,
08/09/2022 22:00,172800.001,780.523,10.697,-685.794,,,
08/09/2022 23:00,176400.001,780.258,10.749,-682.184,,,
09/09/2022 00:00,180000.001,780.453,10.749,-684.842,,,
09/09/2022 01:00,183600.001,780.336,10.749,-683.246,,,
09/09/2022 02:00,187200.001,780.258,10.749,-682.184,,,
09/09/2022 03:00,190800.001,780.18,10.749,-681.119,,,
09/09/2022 04:00,194400.001,780.172,10.697,-681.008,,,
09/09/2022 05:00,198000.001,780.375,10.749,-683.777,,,
09/09/2022 06:00,201600.001,780.367,10.697,-683.666,,,
09/09/2022 07:00,205200.001,780.453,10.749,-684.842,,,
09/09/2022 08:00,208800.001,780.961,10.749,-691.751,,,
09/09/2022 09:00,212400.001,780.727,10.749,-688.563,,,
09/09/2022 10:00,216000.001,781.391,10.749,-697.6,,,
09/09/2022 11:00,219600.001,781.929,10.697,-704.928,,,
09/09/2022 12:00,223200.001,782.258,10.801,-709.405,,,
09/09/2022 13:00,226800.001,782.445,10.749,-711.95,,,
09/09/2022 14:00,230400.001,782.407,10.749,-711.422,,,
09/09/2022 15:00,234000.001,782.563,10.749,-713.546,,,
09/09/2022 16:00,237600.001,782.524,10.749,-713.017,,,
09/09/2022 17:00,241200.001,782.602,10.749,-714.075,,,
09/09/2022 18:00,244800.001,782.758,10.749,-716.204,,,
09/09/2022 19:00,248400.001,782.797,10.749,-716.733,,,
09/09/2022 20:00,252000.001,783.188,10.749,-722.051,,,
09/09/2022 21:00,255600.001,783.617,10.749,-727.898,,,
09/09/2022 22:00,259200.001,784.039,10.697,-733.634,,,
09/09/2022 23:00,262800.001,784.399,10.749,-738.531,,,
10/09/2022 00:00,266400.001,784.438,10.749,-739.063,,,
10/09/2022 01:00,270000.001,784.516,10.749,-740.129,,,
10/09/2022 02:00,273600.001,784.664,10.697,-742.142,,,
10/09/2022 03:00,277200.001,785.063,10.749,-747.571,,,
10/09/2022 04:00,280800.001,785.493,10.749,-753.419,,,
10/09/2022 05:00,284400.001,785.883,10.749,-758.735,,,
10/09/2022 06:00,288000.001,786.118,10.749,-761.926,,,
10/09/2022 07:00,291600.001,786.508,10.749,-767.242,,,
10/09/2022 08:00,295200.001,786.665,10.749,-769.369,,,
10/09/2022 09:00,298800.001,786.969,10.697,-773.511,,,
10/09/2022 10:00,302400.001,787.134,10.749,-775.751,,,
10/09/2022 11:00,306000.001,787.641,10.749,-782.662,,,
