Date and Time,Seconds,Pressure (mmHg),Temperature (C),Level Depth To Water (mm)
06/09/2022 22:00,0,783.27,10.632,-802.26
06/09/2022 23:00,3600,782.895,10.684,-797.155
07/09/2022 00:00,7200,782.536,10.632,-792.265
07/09/2022 01:00,10800,782.458,10.632,-791.212
07/09/2022 02:00,14400,781.84,10.632,-782.799
07/09/2022 03:00,18000,781.608,10.632,-779.643
07/09/2022 04:00,21600,781.685,10.632,-780.694
07/09/2022 05:00,25200,781.183,10.632,-773.856
07/09/2022 06:00,28800,781.106,10.632,-772.807
07/09/2022 07:00,32400,780.951,10.632,-770.7
07/09/2022 08:00,36000,781.028,10.632,-771.754
07/09/2022 09:00,39600,781.028,10.632,-771.754
07/09/2022 10:00,43200,781.106,10.632,-772.807
07/09/2022 11:00,46800,780.835,10.632,-769.123
07/09/2022 12:00,50400,780.874,10.632,-769.649
07/09/2022 13:00,54000,780.642,10.632,-766.494
07/09/2022 14:00,57600,780.526,10.632,-764.918
07/09/2022 15:00,61200,779.83,10.632,-755.451
07/09/2022 16:00,64800,779.83,10.632,-755.451
07/09/2022 17:00,68400,779.599,10.632,-752.298
07/09/2022 18:00,72000,779.56,10.632,-751.771
07/09/2022 19:00,75600,779.444,10.632,-750.192
07/09/2022 20:00,79200,779.328,10.632,-748.614
07/09/2022 21:00,82800,779.289,10.632,-748.088
07/09/2022 22:00,86400,779.262,10.684,-747.718
07/09/2022 23:00,90000,778.787,10.632,-741.252
08/09/2022 00:00,93600,778.632,10.632,-739.147
08/09/2022 01:00,97200,778.296,10.684,-734.571
08/09/2022 02:00,100800,778.014,10.632,-730.733
08/09/2022 03:00,104400,777.523,10.684,-724.056
08/09/2022 04:00,108000,777.319,10.632,-721.269
08/09/2022 05:00,111600,777.164,10.632,-719.166
08/09/2022 06:00,115200,777.048,10.632,-717.589
08/09/2022 07:00,118800,777.125,10.632,-718.639
08/09/2022 08:00,122400,777.087,10.632,-718.114
08/09/2022 09:00,126000,776.855,10.632,-714.959
08/09/2022 10:00,129600,776.778,10.632,-713.906
08/09/2022 11:00,133200,777.203,10.632,-719.69
08/09/2022 12:00,136800,776.778,10.632,-713.906
08/09/2022 13:00,140400,776.739,10.632,-713.38
08/09/2022 14:00,144000,776.932,10.632,-716.013
08/09/2022 15:00,147600,777.666,10.632,-726.002
08/09/2022 16:00,151200,779.367,10.632,-749.14
08/09/2022 17:00,154800,779.135,10.632,-745.984
08/09/2022 18:00,158400,778.942,10.632,-743.355
08/09/2022 19:00,162000,778.864,10.632,-742.304
08/09/2022 20:00,165600,779.057,10.632,-744.931
08/09/2022 21:00,169200,779.289,10.632,-748.088
08/09/2022 22:00,172800,779.521,10.632,-751.243
08/09/2022 23:00,176400,779.803,10.684,-755.081
09/09/2022 00:00,180000,779.88,10.684,-756.133
09/09/2022 01:00,183600,780.383,10.684,-762.97
09/09/2022 02:00,187200,780.538,10.684,-765.074
09/09/2022 03:00,190800,780.565,10.632,-765.443
09/09/2022 04:00,194400,780.874,10.632,-769.649
09/09/2022 05:00,198000,780.796,10.632,-768.597
09/09/2022 06:00,201600,780.603,10.632,-765.97
09/09/2022 07:00,205200,780.758,10.632,-768.072
09/09/2022 08:00,208800,781.106,10.632,-772.807
09/09/2022 09:00,212400,781.26,10.632,-774.909
09/09/2022 10:00,216000,781.813,10.684,-782.427
09/09/2022 11:00,219600,782.226,10.632,-788.058
09/09/2022 12:00,223200,782.381,10.632,-790.159
09/09/2022 13:00,226800,782.768,10.632,-795.421
09/09/2022 14:00,230400,782.818,10.684,-796.103
09/09/2022 15:00,234000,782.922,10.632,-797.524
09/09/2022 16:00,237600,782.663,10.684,-793.999
09/09/2022 17:00,241200,783.166,10.684,-800.838
09/09/2022 18:00,244800,783.243,10.684,-801.889
09/09/2022 19:00,248400,783.386,10.632,-803.837
09/09/2022 20:00,252000,783.9,10.684,-810.829
09/09/2022 21:00,255600,784.43,10.632,-818.039
09/09/2022 22:00,259200,784.739,10.632,-822.247
09/09/2022 23:00,262800,784.866,10.684,-823.982
10/09/2022 00:00,266400,785.407,10.684,-831.345
10/09/2022 01:00,270000,785.601,10.684,-833.976
10/09/2022 02:00,273600,785.369,10.684,-830.818
10/09/2022 03:00,277200,785.485,10.684,-832.397
10/09/2022 04:00,280800,785.716,10.684,-835.552
10/09/2022 05:00,284400,786.026,10.684,-839.759
10/09/2022 06:00,288000,785.948,10.684,-838.708
10/09/2022 07:00,291600,786.501,10.736,-846.229
10/09/2022 08:00,295200,786.71,10.632,-849.072
10/09/2022 09:00,298800,787.352,10.736,-857.804
10/09/2022 10:00,302400,787.224,10.684,-856.068
10/09/2022 11:00,306000,787.56,10.632,-860.645
10/09/2022 12:00,309600,787.92,10.684,-865.535
10/09/2022 13:00,313200,787.958,10.684,-866.063
10/09/2022 14:00,316800,787.92,10.684,-865.535
10/09/2022 15:00,320400,787.986,10.632,-866.432
10/09/2022 16:00,324000,787.804,10.684,-863.961
10/09/2022 17:00,327600,788.074,10.684,-867.64
10/09/2022 18:00,331200,787.688,10.684,-862.38
10/09/2022 19:00,334800,788.152,10.684,-868.691
10/09/2022 20:00,338400,788.306,10.684,-870.796
10/09/2022 21:00,342000,788.538,10.684,-873.954
10/09/2022 22:00,345600,788.616,10.684,-875.006
10/09/2022 23:00,349200,788.268,10.684,-870.271
11/09/2022 00:00,352800,788.318,10.736,-870.954
11/09/2022 01:00,356400,788.461,10.684,-872.901
11/09/2022 02:00,360000,788.036,10.684,-867.114
11/09/2022 03:00,363600,788.074,10.684,-867.64
11/09/2022 04:00,367200,788.086,10.736,-867.8
11/09/2022 05:00,370800,787.367,10.632,-858.014
11/09/2022 06:00,374400,787.108,10.684,-854.49
11/09/2022 07:00,378000,787.185,10.684,-855.543
11/09/2022 08:00,381600,786.799,10.684,-850.281
11/09/2022 09:00,385200,786.644,10.684,-848.178
11/09/2022 10:00,388800,786.799,10.684,-850.281
11/09/2022 11:00,392400,786.451,10.684,-845.547
11/09/2022 12:00,396000,786.103,10.684,-840.813
11/09/2022 13:00,399600,785.639,10.684,-834.5
11/09/2022 14:00,403200,785.369,10.684,-830.818
11/09/2022 15:00,406800,784.943,10.684,-825.03
11/09/2022 16:00,410400,784.402,10.684,-817.67
11/09/2022 17:00,414000,783.834,10.736,-809.936
11/09/2022 18:00,417600,783.359,10.684,-803.467
11/09/2022 19:00,421200,784.221,10.736,-815.195
11/09/2022 20:00,424800,787.367,10.632,-858.014
11/09/2022 21:00,428400,787.881,10.684,-865.011
11/09/2022 22:00,432000,787.727,10.684,-862.908
11/09/2022 23:00,435600,788.19,10.684,-869.221
12/09/2022 00:00,439200,788.395,10.736,-872.008
12/09/2022 01:00,442800,788.047,10.736,-867.271
12/09/2022 02:00,446400,787.804,10.684,-863.961
12/09/2022 03:00,450000,787.274,10.736,-856.751
12/09/2022 04:00,453600,787.274,10.736,-856.751
12/09/2022 05:00,457200,787.185,10.684,-855.543
12/09/2022 06:00,460800,787.506,10.736,-859.907
12/09/2022 07:00,464400,787.738,10.736,-863.064
12/09/2022 08:00,468000,787.777,10.736,-863.591
12/09/2022 09:00,471600,788.125,10.736,-868.325
12/09/2022 10:00,475200,787.533,10.684,-860.275
12/09/2022 11:00,478800,787.661,10.736,-862.013
12/09/2022 12:00,482400,787.34,10.684,-857.647
12/09/2022 13:00,486000,787.699,10.736,-862.538
12/09/2022 14:00,489600,787.378,10.684,-858.17
12/09/2022 15:00,493200,787.688,10.684,-862.38
