Report Date:,04/08/2023 11:09:02
Report User Name:,s0678844
Report Computer Name:,SCE-CHEM-C01300
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,Morven_Dam_1_Tea_2023-08-04_11-08-53-735.wsl
Create Date,04/08/2023 11:08:51

Device Properties
Device,Rugged TROLL 100
Site,Langwell
Device Name, 
Serial Number,923600
Firmware Version,1.06
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,0

Log Configuration
,Log Name,Morven_Dam_1_Tea
,Created By,s0678844
,Computer Name,SCE-CHEM-C01300
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,02/08/2022 23:14:49 GMT Daylight Time
,Log Setup Time Zone,GMT Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,03/08/2022 22:00:00 GMT Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Level Depth To Water
,              Specific Gravity,0.999
,                Level Reminder:,Enabled
,          Level Reference Mode:,Unknown
,         Level Reference Value:,3.40282e+38 (mm)
, Level Reference Head Pressure,0 (mmHg)


Other Log Settings
,Depth of Probe:,10009.1 (mm)
,Head Pressure:,735.491 (mmHg)
,Temperature:,25.7182 (C)



Log Notes:
Date and Time,Note
02/08/2022 23:15:02,Used Battery: 0% Used Memory: 3%   User Name: s0678844
03/08/2022 12:28:03,Sensor SN: 923600 Level calibration.
,Set new reference: 900
,Depth: 9903.25(mm)
,Level Reference Head Pressure: 727.714(mmHg)
,Pressure Offset: 0(mmHg)
,Temperature: 17.3524(C)
,User Name: s0678844
04/08/2023 11:06:52,Log Download - Used Battery: 7% Used Memory: 9%   User Name: s0678844


Log Data:
Record Count,8774

Sensors,1

 ,1,923600,Pressure/Temp PSIA (9m/30ft)

Time Zone: GMT Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 923600                             ,SN#: 923600                             ,SN#: 923600                             ,
Date and Time,Seconds     ,Pressure (mmHg)                         ,Temperature (C)                         ,Level Depth To Water (mm)               ,
03/08/2022 22:00:00,       0.000,                                 733.511,                                  11.093,                                 821.111,
03/08/2022 23:00:00,    3600.000,                                 733.639,                                  11.093,                                 819.373,
04/08/2022 00:00:00,    7200.000,                                 733.894,                                  11.093,                                 815.895,
04/08/2022 01:00:00,   10800.000,                                 734.064,                                  11.093,                                 813.581,
04/08/2022 02:00:00,   14400.000,                                 734.235,                                  11.093,                                 811.261,
04/08/2022 03:00:00,   18000.000,                                 733.852,                                  11.093,                                 816.476,
04/08/2022 04:00:00,   21600.000,                                 733.852,                                  11.093,                                 816.476,
04/08/2022 05:00:00,   25200.000,                                 733.681,                                  11.093,                                 818.791,
04/08/2022 06:00:00,   28800.000,                                 733.852,                                  11.093,                                 816.476,
04/08/2022 07:00:00,   32400.000,                                 734.107,                                  11.093,                                 813.000,
04/08/2022 08:00:00,   36000.000,                                 734.405,                                  11.093,                                 808.946,
04/08/2022 09:00:00,   39600.000,                                 735.086,                                  11.093,                                 799.677,
04/08/2022 10:00:00,   43200.000,                                 735.350,                                  11.145,                                 796.081,
04/08/2022 11:00:00,   46800.000,                                 735.512,                                  11.093,                                 793.886,
04/08/2022 12:00:00,   50400.000,                                 735.691,                                  11.145,                                 791.447,
04/08/2022 13:00:00,   54000.000,                                 736.023,                                  11.093,                                 786.932,
04/08/2022 14:00:00,   57600.000,                                 736.831,                                  11.093,                                 775.928,
04/08/2022 15:00:00,   61200.000,                                 737.308,                                  11.145,                                 769.433,
04/08/2022 16:00:00,   64800.000,                                 736.789,                                  11.093,                                 776.505,
04/08/2022 17:00:00,   68400.000,                                 737.001,                                  11.093,                                 773.609,
04/08/2022 18:00:00,   72000.000,                                 737.129,                                  11.093,                                 771.871,
04/08/2022 19:00:00,   75600.000,                                 737.768,                                  11.093,                                 763.181,
04/08/2022 20:00:00,   79200.000,                                 738.023,                                  11.093,                                 759.706,
04/08/2022 21:00:00,   82800.000,                                 738.236,                                  11.093,                                 756.811,
04/08/2022 22:00:00,   86400.000,                                 738.747,                                  11.093,                                 749.859,
