Report Date:,04/08/2023 14:50,,,,
Report User Name:,s0678844,,,,
Report Computer Name:,SCE-CHEM-C01553,,,,
Application:,WinSitu.exe,,,,
Application Version:,5.7.8.0,,,,
,,,,,
,,,,,
Log File Properties,,,,,
File Name,Strathy_Res_1_2023-08-04_14-50-42-809.wsl,,,,
Create Date,04/08/2023 14:50,,,,
,,,,,
Device Properties,,,,,
Device,Rugged TROLL 100,,,,
Site,Langwell,,,,
Device Name, ,,,,
Serial Number,923906,,,,
Firmware Version,1.06,,,,
Hardware Version,0,,,,
Device Address,1,,,,
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0,,,,
Used Battery,0,,,,
,,,,,
Log Configuration,,,,,
,Log Name,Strathy_Res_1,,,
,Created By,s0678844,,,
,Computer Name,SCE-CHEM-C01300,,,
,Application,WinSitu.exe,,,
,Application Version,5.7.6.1,,,
,Create Date,02/08/2022 23:25:15 GMT Daylight Time,,,
,Log Setup Time Zone,GMT Daylight Time,,,
,Notes Size(bytes),4096,,,
,Overwrite when full,Disabled,,,
,Scheduled Start Time,03/08/2022 22:00:00 GMT Daylight Time,,,
,Scheduled Stop Time,No Stop Time,,,
,Type,Linear,,,
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00,,,
,,,,,
,,,,,
,,,,,
Level Reference Settings At Log Creation,,,,,
,        Level Measurement Mode,Level Depth To Water,,,
,              Specific Gravity,0.999,,,
,                Level Reminder:,Enabled,,,
,          Level Reference Mode:,Unknown,,,
,         Level Reference Value:,3.40282e+38 (mm),,,
, Level Reference Head Pressure,0 (mmHg),,,
,,,,,
,,,,,
Other Log Settings,,,,,
,Depth of Probe:,10013.4 (mm),,,
,Head Pressure:,735.807 (mmHg),,,
,Temperature:,25.5703 (C),,,
,,,,,
,,,,,
,,,,,
Log Notes:,,,,,
Date and Time,Note,,,,
02/08/2022 23:25,Used Battery: 0% Used Memory: 3%   User Name: s0678844,,,,
03/08/2022 15:40,Sensor SN: 923906 Level calibration.,,,,
,Set new reference: 290,,,,
,Depth: 10087.4(mm),,,,
,Level Reference Head Pressure: 741.245(mmHg),,,,
,Pressure Offset: 0(mmHg),,,,
,Temperature: 17.7945(C),,,,
,User Name: s0678844,,,,
04/08/2023 14:43,Log Download - Used Battery: 7% Used Memory: 9%   User Name: s0678844,,,,
04/08/2023 14:46,Log Download - Used Battery: 7% Used Memory: 9%   User Name: s0678844,,,,
04/08/2023 14:49,Log Download - Used Battery: 7% Used Memory: 9%   User Name: s0678844,,,,
Log Data:,,,,,
Record Count,8777,,,,
,,,,,
Sensors,1,,,,
,,,,,
 ,1,923906,Pressure/Temp PSIA (9m/30ft),,
,,,,,
Time Zone: GMT Daylight Time,,,,,
,,,,,
,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 923906                             ,SN#: 923906                             ,SN#: 923906                             ,
Date and Time,Seconds     ,Pressure (mmHg)                         ,Temperature (C)                         ,Level Depth To Water (mm)               ,
03/08/2022 22:00,0,800.29,10.251,-513.536,
03/08/2022 23:00,3600,800.729,10.251,-519.508,
04/08/2022 00:00,7200,800.739,10.303,-519.637,
04/08/2022 01:00,10800,801.218,10.303,-526.154,
04/08/2022 02:00,14400,801.537,10.303,-530.499,
04/08/2022 03:00,18000,801.776,10.303,-533.757,
04/08/2022 04:00,21600,802.335,10.303,-541.361,
04/08/2022 05:00,25200,802.973,10.303,-550.047,
04/08/2022 06:00,28800,803.833,10.198,-561.742,
04/08/2022 07:00,32400,804.37,10.303,-569.059,
