Report Date:,04/08/2023 14:28:29
Report User Name:,s0678844
Report Computer Name:,SCE-CHEM-C01300
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,Strathy_Res_2_2023-08-04_14-28-23-532.wsl
Create Date,04/08/2023 14:28:21

Device Properties
Device,Rugged TROLL 100
Site,Langwell
Device Name, 
Serial Number,924937
Firmware Version,1.06
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,0

Log Configuration
,Log Name,Strathy_Res_2
,Created By,s0678844
,Computer Name,SCE-CHEM-C01300
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,02/08/2022 23:27:13 GMT Daylight Time
,Log Setup Time Zone,GMT Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,03/08/2022 22:00:00 GMT Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Level Depth To Water
,              Specific Gravity,0.999
,                Level Reminder:,Enabled
,          Level Reference Mode:,Unknown
,         Level Reference Value:,3.40282e+38 (mm)
, Level Reference Head Pressure,0 (mmHg)


Other Log Settings
,Depth of Probe:,10015.6 (mm)
,Head Pressure:,735.972 (mmHg)
,Temperature:,25.5577 (C)



Log Notes:
Date and Time,Note
02/08/2022 23:27:26,Used Battery: 0% Used Memory: 3%   User Name: s0678844
03/08/2022 15:39:17,Sensor SN: 924937 Level calibration.
,Set new reference: 830
,Depth: 10091.2(mm)
,Level Reference Head Pressure: 741.522(mmHg)
,Pressure Offset: 0(mmHg)
,Temperature: 17.0912(C)
,User Name: s0678844
04/08/2023 14:26:13,Log Download - Used Battery: 7% Used Memory: 9%   User Name: s0678844


Log Data:
Record Count,8777

Sensors,1

 ,1,924937,Pressure/Temp PSIA (9m/30ft)

Time Zone: GMT Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 924937                             ,SN#: 924937                             ,SN#: 924937                             ,
Date and Time,Seconds     ,Pressure (mmHg)                         ,Temperature (C)                         ,Level Depth To Water (mm)               ,
03/08/2022 22:00:00,       0.000,                                 761.944,                                  10.079,                                 552.077,
03/08/2022 23:00:00,    3600.000,                                 762.564,                                  10.027,                                 543.646,
04/08/2022 00:00:00,    7200.000,                                 763.235,                                  10.027,                                 534.511,
04/08/2022 01:00:00,   10800.000,                                 764.000,                                  10.079,                                 524.100,
04/08/2022 02:00:00,   14400.000,                                 764.788,                                  10.027,                                 513.382,
04/08/2022 03:00:00,   18000.000,                                 765.207,                                  10.027,                                 507.672,
04/08/2022 04:00:00,   21600.000,                                 766.047,                                  10.027,                                 496.253,
04/08/2022 05:00:00,   25200.000,                                 767.096,                                  10.027,                                 481.976,
04/08/2022 06:00:00,   28800.000,                                 768.281,                                  10.079,                                 465.851,
04/08/2022 07:00:00,   32400.000,                                 769.698,                                  10.027,                                 446.564,
04/08/2022 08:00:00,   36000.000,                                 771.460,                                  10.027,                                 422.577,
04/08/2022 09:00:00,   39600.000,                                 773.139,                                  10.027,                                 399.726,
04/08/2022 10:00:00,   43200.000,                                 774.818,                                  10.027,                                 376.876,
04/08/2022 11:00:00,   46800.000,                                 776.330,                                  10.027,                                 356.306,
04/08/2022 12:00:00,   50400.000,                                 778.019,                                  10.079,                                 333.318,
04/08/2022 13:00:00,   54000.000,                                 779.269,                                  10.027,                                 316.308,
04/08/2022 14:00:00,   57600.000,                                 781.127,                                  10.079,                                 291.028,
04/08/2022 15:00:00,   61200.000,                                 782.755,                                  10.027,                                 268.876,
04/08/2022 16:00:00,   64800.000,                                 784.318,                                  10.079,                                 247.594,
04/08/2022 17:00:00,   68400.000,                                 786.073,                                  10.027,                                 223.720,
04/08/2022 18:00:00,   72000.000,                                 788.225,                                  10.079,                                 194.428,
04/08/2022 19:00:00,   75600.000,                                 789.906,                                  10.079,                                 171.559,
04/08/2022 20:00:00,   79200.000,                                 792.122,                                  10.027,                                 141.393,
04/08/2022 21:00:00,   82800.000,                                 793.982,                                  10.079,                                 116.091,
04/08/2022 22:00:00,   86400.000,                                 795.999,                                  10.079,                                  88.640,
04/08/2022 23:00:00,   90000.000,                                 797.554,                                  10.079,                                  67.479,
05/08/2022 00:00:00,   93600.000,                                 798.899,                                  10.079,                                  49.174,
05/08/2022 01:00:00,   97200.000,                                 800.076,                                  10.079,                                  33.156,
05/08/2022 02:00:00,  100800.000,                                 801.537,                                  10.027,                                  13.270,
05/08/2022 03:00:00,  104400.000,                                 802.084,                                  10.027,                                   5.834,
05/08/2022 04:00:00,  108000.000,                                 802.851,                                  10.079,                                  -4.604,
05/08/2022 05:00:00,  111600.000,                                 803.607,                                  10.079,                                 -14.897,
05/08/2022 06:00:00,  115200.000,                                 804.196,                                  10.079,                                 -22.912,
05/08/2022 07:00:00,  118800.000,                                 805.037,                                  10.079,                                 -34.355,
05/08/2022 08:00:00,  122400.000,                                 805.709,                                  10.079,                                 -43.510,
05/08/2022 09:00:00,  126000.000,                                 806.088,                                  10.079,                                 -48.662,
05/08/2022 10:00:00,  129600.000,                                 807.013,                                  10.079,                                 -61.249,
05/08/2022 11:00:00,  133200.000,                                 806.887,                                  10.079,                                 -59.532,
05/08/2022 12:00:00,  136800.000,                                 807.518,                                  10.079,                                 -68.116,
05/08/2022 13:00:00,  140400.000,                                 807.728,                                  10.079,                                 -70.980,
05/08/2022 14:00:00,  144000.000,                                 808.359,                                  10.079,                                 -79.563,
05/08/2022 15:00:00,  147600.000,                                 808.401,                                  10.079,                                 -80.137,
05/08/2022 16:00:00,  151200.000,                                 808.779,                                  10.079,                                 -85.287,
05/08/2022 17:00:00,  154800.000,                                 808.737,                                  10.079,                                 -84.716,
05/08/2022 18:00:00,  158400.000,                                 809.158,                                  10.079,                                 -90.438,
05/08/2022 19:00:00,  162000.000,                                 809.284,                                  10.079,                                 -92.154,
05/08/2022 20:00:00,  165600.000,                                 809.789,                                  10.079,                                 -99.021,
05/08/2022 21:00:00,  169200.000,                                 810.009,                                  10.132,                                -102.025,
05/08/2022 22:00:00,  172800.000,                                 810.209,                                  10.079,                                -104.745,
05/08/2022 23:00:00,  176400.000,                                 810.251,                                  10.079,                                -105.318,
06/08/2022 00:00:00,  180000.000,                                 810.083,                                  10.079,                                -103.030,
06/08/2022 01:00:00,  183600.000,                                 810.209,                                  10.079,                                -104.745,
06/08/2022 02:00:00,  187200.000,                                 810.209,                                  10.079,                                -104.745,
06/08/2022 03:00:00,  190800.000,                                 810.115,                                  10.027,                                -103.460,
06/08/2022 04:00:00,  194400.000,                                 809.705,                                  10.079,                                 -97.879,
06/08/2022 05:00:00,  198000.000,                                 809.536,                                  10.079,                                 -95.589,
06/08/2022 06:00:00,  201600.000,                                 809.326,                                  10.079,                                 -92.728,
06/08/2022 07:00:00,  205200.000,                                 809.336,                                  10.132,                                 -92.867,
06/08/2022 08:00:00,  208800.000,                                 809.410,                                  10.079,                                 -93.872,
06/08/2022 09:00:00,  212400.000,                                 809.200,                                  10.079,                                 -91.012,
06/08/2022 10:00:00,  216000.000,                                 809.368,                                  10.079,                                 -93.299,
06/08/2022 11:00:00,  219600.000,                                 809.116,                                  10.079,                                 -89.867,
06/08/2022 12:00:00,  223200.000,                                 809.074,                                  10.079,                                 -89.293,
06/08/2022 13:00:00,  226800.000,                                 808.948,                                  10.079,                                 -87.577,
06/08/2022 14:00:00,  230400.000,                                 808.906,                                  10.079,                                 -87.005,
06/08/2022 15:00:00,  234000.000,                                 808.821,                                  10.079,                                 -85.858,
06/08/2022 16:00:00,  237600.000,                                 808.653,                                  10.079,                                 -83.570,
06/08/2022 17:00:00,  241200.000,                                 808.453,                                  10.132,                                 -80.848,
06/08/2022 18:00:00,  244800.000,                                 808.874,                                  10.132,                                 -86.571,
06/08/2022 19:00:00,  248400.000,                                 809.200,                                  10.079,                                 -91.012,
06/08/2022 20:00:00,  252000.000,                                 809.452,                                  10.079,                                 -94.445,
06/08/2022 21:00:00,  255600.000,                                 809.841,                                  10.132,                                 -99.735,
06/08/2022 22:00:00,  259200.000,                                 809.589,                                  10.132,                                 -96.303,
06/08/2022 23:00:00,  262800.000,                                 809.494,                                  10.079,                                 -95.015,
07/08/2022 00:00:00,  266400.000,                                 809.084,                                  10.132,                                 -89.434,
07/08/2022 01:00:00,  270000.000,                                 809.158,                                  10.079,                                 -90.438,
07/08/2022 02:00:00,  273600.000,                                 809.505,                                  10.132,                                 -95.156,
07/08/2022 03:00:00,  277200.000,                                 809.673,                                  10.132,                                 -97.447,
07/08/2022 04:00:00,  280800.000,                                 809.452,                                  10.079,                                 -94.445,
07/08/2022 05:00:00,  284400.000,                                 809.715,                                  10.132,                                 -98.019,
07/08/2022 06:00:00,  288000.000,                                 809.967,                                  10.132,                                -101.452,
07/08/2022 07:00:00,  291600.000,                                 810.377,                                  10.079,                                -107.035,
07/08/2022 08:00:00,  295200.000,                                 810.556,                                  10.132,                                -109.466,
07/08/2022 09:00:00,  298800.000,                                 810.851,                                  10.132,                                -113.474,
07/08/2022 10:00:00,  302400.000,                                 811.103,                                  10.132,                                -116.908,
07/08/2022 11:00:00,  306000.000,                                 811.355,                                  10.132,                                -120.343,
07/08/2022 12:00:00,  309600.000,                                 811.523,                                  10.132,                                -122.631,
07/08/2022 13:00:00,  313200.000,                                 811.397,                                  10.132,                                -120.912,
07/08/2022 14:00:00,  316800.000,                                 811.523,                                  10.132,                                -122.631,
07/08/2022 15:00:00,  320400.000,                                 811.481,                                  10.132,                                -122.061,
07/08/2022 16:00:00,  324000.000,                                 811.481,                                  10.132,                                -122.061,
07/08/2022 17:00:00,  327600.000,                                 811.355,                                  10.132,                                -120.343,
07/08/2022 18:00:00,  331200.000,                                 811.145,                                  10.132,                                -117.479,
07/08/2022 19:00:00,  334800.000,                                 811.481,                                  10.132,                                -122.061,
07/08/2022 20:00:00,  338400.000,                                 811.397,                                  10.132,                                -120.912,
07/08/2022 21:00:00,  342000.000,                                 811.860,                                  10.132,                                -127.211,
07/08/2022 22:00:00,  345600.000,                                 811.944,                                  10.132,                                -128.355,
07/08/2022 23:00:00,  349200.000,                                 811.986,                                  10.132,                                -128.928,
08/08/2022 00:00:00,  352800.000,                                 811.902,                                  10.132,                                -127.785,
08/08/2022 01:00:00,  356400.000,                                 811.650,                                  10.132,                                -124.348,
08/08/2022 02:00:00,  360000.000,                                 811.692,                                  10.132,                                -124.922,
08/08/2022 03:00:00,  363600.000,                                 811.734,                                  10.132,                                -125.493,
08/08/2022 04:00:00,  367200.000,                                 811.397,                                  10.132,                                -120.912,
08/08/2022 05:00:00,  370800.000,                                 811.397,                                  10.132,                                -120.912,
08/08/2022 06:00:00,  374400.000,                                 811.439,                                  10.132,                                -121.488,
08/08/2022 07:00:00,  378000.000,                                 811.355,                                  10.132,                                -120.343,
08/08/2022 08:00:00,  381600.000,                                 811.650,                                  10.132,                                -124.348,
08/08/2022 09:00:00,  385200.000,                                 811.429,                                  10.079,                                -121.347,
08/08/2022 10:00:00,  388800.000,                                 811.439,                                  10.132,                                -121.488,
08/08/2022 11:00:00,  392400.000,                                 811.618,                                  10.184,                                -123.916,
08/08/2022 12:00:00,  396000.000,                                 811.229,                                  10.132,                                -118.626,
08/08/2022 13:00:00,  399600.000,                                 811.313,                                  10.132,                                -119.771,
08/08/2022 14:00:00,  403200.000,                                 811.355,                                  10.132,                                -120.343,
08/08/2022 15:00:00,  406800.000,                                 811.650,                                  10.132,                                -124.348,
08/08/2022 16:00:00,  410400.000,                                 811.776,                                  10.132,                                -126.065,
08/08/2022 17:00:00,  414000.000,                                 811.565,                                  10.132,                                -123.203,
08/08/2022 18:00:00,  417600.000,                                 811.492,                                  10.184,                                -122.200,
08/08/2022 19:00:00,  421200.000,                                 811.355,                                  10.132,                                -120.343,
08/08/2022 20:00:00,  424800.000,                                 811.734,                                  10.132,                                -125.493,
08/08/2022 21:00:00,  428400.000,                                 811.944,                                  10.132,                                -128.355,
08/08/2022 22:00:00,  432000.000,                                 811.870,                                  10.184,                                -127.352,
08/08/2022 23:00:00,  435600.000,                                 812.028,                                  10.132,                                -129.501,
09/08/2022 00:00:00,  439200.000,                                 811.902,                                  10.132,                                -127.785,
09/08/2022 01:00:00,  442800.000,                                 811.818,                                  10.132,                                -126.639,
09/08/2022 02:00:00,  446400.000,                                 811.355,                                  10.132,                                -120.343,
09/08/2022 03:00:00,  450000.000,                                 811.408,                                  10.184,                                -121.053,
09/08/2022 04:00:00,  453600.000,                                 811.492,                                  10.184,                                -122.200,
09/08/2022 05:00:00,  457200.000,                                 811.113,                                  10.184,                                -117.048,
09/08/2022 06:00:00,  460800.000,                                 811.313,                                  10.132,                                -119.771,
09/08/2022 07:00:00,  464400.000,                                 811.145,                                  10.132,                                -117.479,
09/08/2022 08:00:00,  468000.000,                                 811.271,                                  10.132,                                -119.199,
09/08/2022 09:00:00,  471600.000,                                 811.313,                                  10.132,                                -119.771,
09/08/2022 10:00:00,  475200.000,                                 811.313,                                  10.132,                                -119.771,
09/08/2022 11:00:00,  478800.000,                                 811.271,                                  10.132,                                -119.199,
09/08/2022 12:00:00,  482400.000,                                 810.808,                                  10.132,                                -112.900,
09/08/2022 13:00:00,  486000.000,                                 810.724,                                  10.132,                                -111.757,
09/08/2022 14:00:00,  489600.000,                                 810.935,                                  10.132,                                -114.619,
09/08/2022 15:00:00,  493200.000,                                 810.693,                                  10.184,                                -111.324,
09/08/2022 16:00:00,  496800.000,                                 810.566,                                  10.184,                                -109.607,
09/08/2022 17:00:00,  500400.000,                                 810.146,                                  10.184,                                -103.882,
09/08/2022 18:00:00,  504000.000,                                 809.599,                                  10.184,                                 -96.441,
09/08/2022 19:00:00,  507600.000,                                 809.473,                                  10.184,                                 -94.728,
09/08/2022 20:00:00,  511200.000,                                 809.589,                                  10.132,                                 -96.303,
09/08/2022 21:00:00,  514800.000,                                 809.389,                                  10.184,                                 -93.581,
09/08/2022 22:00:00,  518400.000,                                 809.420,                                  10.132,                                 -94.011,
09/08/2022 23:00:00,  522000.000,                                 809.263,                                  10.184,                                 -91.863,
10/08/2022 00:00:00,  525600.000,                                 808.916,                                  10.132,                                 -87.145,
10/08/2022 01:00:00,  529200.000,                                 808.674,                                  10.184,                                 -83.849,
10/08/2022 02:00:00,  532800.000,                                 808.337,                                  10.184,                                 -79.271,
10/08/2022 03:00:00,  536400.000,                                 808.285,                                  10.132,                                 -78.560,
10/08/2022 04:00:00,  540000.000,                                 808.075,                                  10.132,                                 -75.697,
10/08/2022 05:00:00,  543600.000,                                 807.833,                                  10.184,                                 -72.405,
10/08/2022 06:00:00,  547200.000,                                 807.370,                                  10.184,                                 -66.108,
10/08/2022 07:00:00,  550800.000,                                 807.034,                                  10.184,                                 -61.529,
10/08/2022 08:00:00,  554400.000,                                 806.813,                                  10.132,                                 -58.528,
10/08/2022 09:00:00,  558000.000,                                 806.403,                                  10.184,                                 -52.946,
10/08/2022 10:00:00,  561600.000,                                 806.351,                                  10.132,                                 -52.234,
10/08/2022 11:00:00,  565200.000,                                 805.982,                                  10.184,                                 -47.224,
10/08/2022 12:00:00,  568800.000,                                 805.394,                                  10.184,                                 -39.211,
10/08/2022 13:00:00,  572400.000,                                 804.931,                                  10.184,                                 -32.918,
10/08/2022 14:00:00,  576000.000,                                 804.847,                                  10.184,                                 -31.772,
10/08/2022 15:00:00,  579600.000,                                 804.669,                                  10.132,                                 -29.345,
10/08/2022 16:00:00,  583200.000,                                 804.469,                                  10.184,                                 -26.622,
10/08/2022 17:00:00,  586800.000,                                 804.763,                                  10.184,                                 -30.630,
10/08/2022 18:00:00,  590400.000,                                 804.721,                                  10.184,                                 -30.059,
10/08/2022 19:00:00,  594000.000,                                 804.427,                                  10.184,                                 -26.051,
10/08/2022 20:00:00,  597600.000,                                 804.595,                                  10.184,                                 -28.340,
10/08/2022 21:00:00,  601200.000,                                 805.015,                                  10.184,                                 -34.061,
10/08/2022 22:00:00,  604800.000,                                 804.973,                                  10.184,                                 -33.490,
10/08/2022 23:00:00,  608400.000,                                 804.711,                                  10.132,                                 -29.917,
11/08/2022 00:00:00,  612000.000,                                 804.216,                                  10.184,                                 -23.192,
11/08/2022 01:00:00,  615600.000,                                 804.216,                                  10.184,                                 -23.192,
11/08/2022 02:00:00,  619200.000,                                 804.132,                                  10.184,                                 -22.047,
11/08/2022 03:00:00,  622800.000,                                 803.964,                                  10.184,                                 -19.756,
11/08/2022 04:00:00,  626400.000,                                 803.880,                                  10.184,                                 -18.612,
11/08/2022 05:00:00,  630000.000,                                 803.502,                                  10.184,                                 -13.464,
11/08/2022 06:00:00,  633600.000,                                 803.375,                                  10.184,                                 -11.745,
11/08/2022 07:00:00,  637200.000,                                 803.207,                                  10.184,                                  -9.457,
11/08/2022 08:00:00,  640800.000,                                 803.081,                                  10.184,                                  -7.742,
11/08/2022 09:00:00,  644400.000,                                 803.039,                                  10.184,                                  -7.170,
11/08/2022 10:00:00,  648000.000,                                 802.955,                                  10.184,                                  -6.023,
11/08/2022 11:00:00,  651600.000,                                 802.650,                                  10.132,                                  -1.880,
11/08/2022 12:00:00,  655200.000,                                 802.450,                                  10.184,                                   0.842,
11/08/2022 13:00:00,  658800.000,                                 802.282,                                  10.184,                                   3.131,
11/08/2022 14:00:00,  662400.000,                                 802.398,                                  10.132,                                   1.555,
11/08/2022 15:00:00,  666000.000,                                 802.524,                                  10.132,                                  -0.164,
11/08/2022 16:00:00,  669600.000,                                 802.692,                                  10.132,                                  -2.452,
11/08/2022 17:00:00,  673200.000,                                 802.703,                                  10.184,                                  -2.591,
11/08/2022 18:00:00,  676800.000,                                 802.787,                                  10.184,                                  -3.735,
11/08/2022 19:00:00,  680400.000,                                 802.619,                                  10.184,                                  -1.447,
11/08/2022 20:00:00,  684000.000,                                 802.997,                                  10.184,                                  -6.596,
11/08/2022 21:00:00,  687600.000,                                 803.502,                                  10.184,                                 -13.464,
11/08/2022 22:00:00,  691200.000,                                 803.796,                                  10.184,                                 -17.469,
11/08/2022 23:00:00,  694800.000,                                 803.828,                                  10.132,                                 -17.900,
12/08/2022 00:00:00,  698400.000,                                 804.048,                                  10.184,                                 -20.899,
12/08/2022 01:00:00,  702000.000,                                 804.048,                                  10.184,                                 -20.899,
12/08/2022 02:00:00,  705600.000,                                 804.090,                                  10.184,                                 -21.474,
12/08/2022 03:00:00,  709200.000,                                 804.006,                                  10.184,                                 -20.329,
12/08/2022 04:00:00,  712800.000,                                 803.796,                                  10.184,                                 -17.469,
12/08/2022 05:00:00,  716400.000,                                 803.459,                                  10.184,                                 -12.889,
12/08/2022 06:00:00,  720000.000,                                 803.585,                                  10.184,                                 -14.604,
12/08/2022 07:00:00,  723600.000,                                 803.754,                                  10.184,                                 -16.894,
12/08/2022 08:00:00,  727200.000,                                 803.796,                                  10.184,                                 -17.469,
12/08/2022 09:00:00,  730800.000,                                 803.754,                                  10.184,                                 -16.894,
12/08/2022 10:00:00,  734400.000,                                 803.670,                                  10.184,                                 -15.754,
12/08/2022 11:00:00,  738000.000,                                 803.627,                                  10.184,                                 -15.177,
12/08/2022 12:00:00,  741600.000,                                 803.375,                                  10.184,                                 -11.745,
12/08/2022 13:00:00,  745200.000,                                 802.965,                                  10.236,                                  -6.163,
12/08/2022 14:00:00,  748800.000,                                 802.829,                                  10.184,                                  -4.309,
12/08/2022 15:00:00,  752400.000,                                 802.913,                                  10.184,                                  -5.452,
12/08/2022 16:00:00,  756000.000,                                 802.408,                                  10.184,                                   1.415,
12/08/2022 17:00:00,  759600.000,                                 802.450,                                  10.184,                                   0.842,
12/08/2022 18:00:00,  763200.000,                                 801.946,                                  10.184,                                   7.706,
12/08/2022 19:00:00,  766800.000,                                 801.904,                                  10.184,                                   8.279,
12/08/2022 20:00:00,  770400.000,                                 801.904,                                  10.184,                                   8.279,
12/08/2022 21:00:00,  774000.000,                                 802.030,                                  10.184,                                   6.563,
12/08/2022 22:00:00,  777600.000,                                 802.030,                                  10.184,                                   6.563,
12/08/2022 23:00:00,  781200.000,                                 801.526,                                  10.184,                                  13.428,
13/08/2022 00:00:00,  784800.000,                                 801.273,                                  10.184,                                  16.861,
13/08/2022 01:00:00,  788400.000,                                 801.031,                                  10.236,                                  20.156,
13/08/2022 02:00:00,  792000.000,                                 801.073,                                  10.236,                                  19.583,
13/08/2022 03:00:00,  795600.000,                                 800.811,                                  10.184,                                  23.152,
13/08/2022 04:00:00,  799200.000,                                 800.653,                                  10.236,                                  25.303,
13/08/2022 05:00:00,  802800.000,                                 800.348,                                  10.184,                                  29.446,
13/08/2022 06:00:00,  806400.000,                                 800.485,                                  10.236,                                  27.591,
13/08/2022 07:00:00,  810000.000,                                 800.432,                                  10.184,                                  28.303,
13/08/2022 08:00:00,  813600.000,                                 800.401,                                  10.236,                                  28.735,
13/08/2022 09:00:00,  817200.000,                                 800.559,                                  10.184,                                  26.585,
13/08/2022 10:00:00,  820800.000,                                 800.485,                                  10.236,                                  27.591,
13/08/2022 11:00:00,  824400.000,                                 800.274,                                  10.236,                                  30.453,
13/08/2022 12:00:00,  828000.000,                                 800.317,                                  10.236,                                  29.881,
13/08/2022 13:00:00,  831600.000,                                 799.844,                                  10.184,                                  36.313,
13/08/2022 14:00:00,  835200.000,                                 799.802,                                  10.184,                                  36.884,
13/08/2022 15:00:00,  838800.000,                                 799.350,                                  10.236,                                  43.040,
13/08/2022 16:00:00,  842400.000,                                 799.013,                                  10.236,                                  47.613,
13/08/2022 17:00:00,  846000.000,                                 798.845,                                  10.236,                                  49.902,
13/08/2022 18:00:00,  849600.000,                                 798.173,                                  10.236,                                  59.054,
13/08/2022 19:00:00,  853200.000,                                 798.005,                                  10.236,                                  61.343,
13/08/2022 20:00:00,  856800.000,                                 797.962,                                  10.236,                                  61.917,
13/08/2022 21:00:00,  860400.000,                                 797.794,                                  10.236,                                  64.203,
13/08/2022 22:00:00,  864000.000,                                 797.458,                                  10.236,                                  68.779,
13/08/2022 23:00:00,  867600.000,                                 796.954,                                  10.236,                                  75.644,
14/08/2022 00:00:00,  871200.000,                                 796.744,                                  10.236,                                  78.503,
14/08/2022 01:00:00,  874800.000,                                 796.239,                                  10.236,                                  85.369,
14/08/2022 02:00:00,  878400.000,                                 795.903,                                  10.236,                                  89.943,
14/08/2022 03:00:00,  882000.000,                                 795.483,                                  10.236,                                  95.663,
14/08/2022 04:00:00,  885600.000,                                 795.357,                                  10.236,                                  97.376,
14/08/2022 05:00:00,  889200.000,                                 794.862,                                  10.289,                                 104.104,
14/08/2022 06:00:00,  892800.000,                                 794.264,                                  10.236,                                 112.250,
14/08/2022 07:00:00,  896400.000,                                 793.970,                                  10.236,                                 116.251,
14/08/2022 08:00:00,  900000.000,                                 793.508,                                  10.236,                                 122.541,
14/08/2022 09:00:00,  903600.000,                                 793.129,                                  10.236,                                 127.688,
14/08/2022 10:00:00,  907200.000,                                 793.171,                                  10.236,                                 127.118,
14/08/2022 11:00:00,  910800.000,                                 792.751,                                  10.236,                                 132.838,
14/08/2022 12:00:00,  914400.000,                                 792.079,                                  10.236,                                 141.988,
14/08/2022 13:00:00,  918000.000,                                 791.701,                                  10.236,                                 147.132,
14/08/2022 14:00:00,  921600.000,                                 791.491,                                  10.236,                                 149.990,
14/08/2022 15:00:00,  925200.000,                                 790.734,                                  10.236,                                 160.285,
14/08/2022 16:00:00,  928800.000,                                 790.440,                                  10.236,                                 164.287,
14/08/2022 17:00:00,  932400.000,                                 791.575,                                  10.236,                                 148.848,
14/08/2022 18:00:00,  936000.000,                                 790.356,                                  10.236,                                 165.430,
14/08/2022 19:00:00,  939600.000,                                 789.936,                                  10.236,                                 171.147,
14/08/2022 20:00:00,  943200.000,                                 789.978,                                  10.236,                                 170.575,
14/08/2022 21:00:00,  946800.000,                                 790.912,                                  10.289,                                 157.859,
14/08/2022 22:00:00,  950400.000,                                 790.744,                                  10.289,                                 160.146,
14/08/2022 23:00:00,  954000.000,                                 791.070,                                  10.236,                                 155.711,
15/08/2022 00:00:00,  957600.000,                                 791.333,                                  10.289,                                 152.141,
15/08/2022 01:00:00,  961200.000,                                 791.197,                                  10.236,                                 153.992,
15/08/2022 02:00:00,  964800.000,                                 791.375,                                  10.289,                                 151.568,
