Report Date:,04/08/2023 12:11:29
Report User Name:,s0678844
Report Computer Name:,SCE-CHEM-C01300
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,Wag_Res_1_tea_2023-08-04_12-11-21-667.wsl
Create Date,04/08/2023 12:11:19

Device Properties
Device,Rugged TROLL 100
Site,Langwell
Device Name, 
Serial Number,919950
Firmware Version,1.06
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,0

Log Configuration
,Log Name,Wag_Res_1_tea
,Created By,s0678844
,Computer Name,SCE-CHEM-C01300
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,02/08/2022 23:20:10 GMT Daylight Time
,Log Setup Time Zone,GMT Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,03/08/2022 22:00:00 GMT Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Level Depth To Water
,              Specific Gravity,0.999
,                Level Reminder:,Enabled
,          Level Reference Mode:,Unknown
,         Level Reference Value:,3.40282e+38 (mm)
, Level Reference Head Pressure,0 (mmHg)


Other Log Settings
,Depth of Probe:,10005 (mm)
,Head Pressure:,735.193 (mmHg)
,Temperature:,25.6001 (C)



Log Notes:
Date and Time,Note
02/08/2022 23:20:22,Used Battery: 0% Used Memory: 3%   User Name: s0678844
03/08/2022 13:45:46,Sensor SN: 919950 Level calibration.
,Set new reference: 415
,Depth: 9918.85(mm)
,Level Reference Head Pressure: 728.86(mmHg)
,Pressure Offset: 0(mmHg)
,Temperature: 18.8742(C)
,User Name: s0678844
04/08/2023 12:07:40,Log Download - Used Battery: 7% Used Memory: 9%   User Name: s0678844


Log Data:
Record Count,8775

Sensors,1

 ,1,919950,Pressure/Temp PSIA (9m/30ft)

Time Zone: GMT Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 919950                             ,SN#: 919950                             ,SN#: 919950                             ,
Date and Time,Seconds     ,Pressure (mmHg)                         ,Temperature (C)                         ,Level Depth To Water (mm)               ,
03/08/2022 22:00:00,       0.000,                                 778.739,                                  10.705,                                -263.782,
03/08/2022 23:00:00,    3600.000,                                 779.147,                                  10.705,                                -269.334,
04/08/2022 00:00:00,    7200.000,                                 779.514,                                  10.705,                                -274.330,
04/08/2022 01:00:00,   10800.000,                                 780.044,                                  10.705,                                -281.546,
04/08/2022 02:00:00,   14400.000,                                 780.289,                                  10.705,                                -284.876,
04/08/2022 03:00:00,   18000.000,                                 780.737,                                  10.705,                                -290.981,
04/08/2022 04:00:00,   21600.000,                                 780.607,                                  10.653,                                -289.203,
04/08/2022 05:00:00,   25200.000,                                 781.268,                                  10.705,                                -298.197,
04/08/2022 06:00:00,   28800.000,                                 781.879,                                  10.705,                                -306.524,
04/08/2022 07:00:00,   32400.000,                                 782.043,                                  10.705,                                -308.744,
04/08/2022 08:00:00,   36000.000,                                 782.655,                                  10.705,                                -317.071,
04/08/2022 09:00:00,   39600.000,                                 783.144,                                  10.705,                                -323.732,
04/08/2022 10:00:00,   43200.000,                                 783.919,                                  10.705,                                -334.277,
04/08/2022 11:00:00,   46800.000,                                 784.449,                                  10.705,                                -341.496,
04/08/2022 12:00:00,   50400.000,                                 784.898,                                  10.705,                                -347.604,
04/08/2022 13:00:00,   54000.000,                                 785.836,                                  10.705,                                -360.369,
04/08/2022 14:00:00,   57600.000,                                 786.489,                                  10.705,                                -369.251,
04/08/2022 15:00:00,   61200.000,                                 787.019,                                  10.705,                                -376.467,
04/08/2022 16:00:00,   64800.000,                                 787.232,                                  10.758,                                -379.360,
04/08/2022 17:00:00,   68400.000,                                 787.640,                                  10.758,                                -384.912,
04/08/2022 18:00:00,   72000.000,                                 788.284,                                  10.705,                                -393.676,
04/08/2022 19:00:00,   75600.000,                                 788.569,                                  10.705,                                -397.563,
04/08/2022 20:00:00,   79200.000,                                 789.466,                                  10.705,                                -409.773,
04/08/2022 21:00:00,   82800.000,                                 789.997,                                  10.705,                                -416.994,
04/08/2022 22:00:00,   86400.000,                                 790.731,                                  10.705,                                -426.984,
