Report Date:,04/08/2023 12:26:20
Report User Name:,s0678844
Report Computer Name:,SCE-CHEM-C01300
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,Wag_Res_2_2023-08-04_12-26-11-599.wsl
Create Date,04/08/2023 12:26:08

Device Properties
Device,Rugged TROLL 100
Site,Langwell
Device Name, 
Serial Number,922208
Firmware Version,1.06
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,0

Log Configuration
,Log Name,Wag_Res_2
,Created By,s0678844
,Computer Name,SCE-CHEM-C01300
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,02/08/2022 23:22:46 GMT Daylight Time
,Log Setup Time Zone,GMT Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,03/08/2022 22:00:00 GMT Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Level Depth To Water
,              Specific Gravity,0.999
,                Level Reminder:,Enabled
,          Level Reference Mode:,Unknown
,         Level Reference Value:,3.40282e+38 (mm)
, Level Reference Head Pressure,0 (mmHg)


Other Log Settings
,Depth of Probe:,10008.8 (mm)
,Head Pressure:,735.467 (mmHg)
,Temperature:,25.7319 (C)



Log Notes:
Date and Time,Note
02/08/2022 23:22:59,Used Battery: 0% Used Memory: 3%   User Name: s0678844
03/08/2022 13:46:31,Sensor SN: 922208 Level calibration.
,Set new reference: 420
,Depth: 9922.83(mm)
,Level Reference Head Pressure: 729.152(mmHg)
,Pressure Offset: 0(mmHg)
,Temperature: 18.7796(C)
,User Name: s0678844
04/08/2023 12:24:32,Log Download - Used Battery: 7% Used Memory: 9%   User Name: s0678844


Log Data:
Record Count,8775

Sensors,1

 ,1,922208,Pressure/Temp PSIA (9m/30ft)

Time Zone: GMT Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 922208                             ,SN#: 922208                             ,SN#: 922208                             ,
Date and Time,Seconds     ,Pressure (mmHg)                         ,Temperature (C)                         ,Level Depth To Water (mm)               ,
03/08/2022 22:00:00,       0.000,                                 781.288,                                  10.300,                                -289.502,
03/08/2022 23:00:00,    3600.001,                                 781.792,                                  10.300,                                -296.363,
04/08/2022 00:00:00,    7200.001,                                 782.296,                                  10.300,                                -303.220,
04/08/2022 01:00:00,   10800.001,                                 783.262,                                  10.300,                                -316.361,
04/08/2022 02:00:00,   14400.001,                                 783.640,                                  10.300,                                -321.505,
04/08/2022 03:00:00,   18000.001,                                 783.505,                                  10.247,                                -319.678,
04/08/2022 04:00:00,   21600.001,                                 784.102,                                  10.300,                                -327.794,
04/08/2022 05:00:00,   25200.001,                                 784.513,                                  10.247,                                -333.393,
04/08/2022 06:00:00,   28800.001,                                 784.984,                                  10.300,                                -339.793,
04/08/2022 07:00:00,   32400.001,                                 785.740,                                  10.300,                                -350.082,
04/08/2022 08:00:00,   36000.001,                                 786.453,                                  10.300,                                -359.796,
04/08/2022 09:00:00,   39600.001,                                 786.789,                                  10.300,                                -364.367,
04/08/2022 10:00:00,   43200.001,                                 787.671,                                  10.300,                                -376.369,
04/08/2022 11:00:00,   46800.001,                                 788.259,                                  10.300,                                -384.373,
04/08/2022 12:00:00,   50400.001,                                 788.805,                                  10.300,                                -391.801,
04/08/2022 13:00:00,   54000.001,                                 789.603,                                  10.300,                                -402.660,
04/08/2022 14:00:00,   57600.001,                                 790.317,                                  10.300,                                -412.379,
04/08/2022 15:00:00,   61200.001,                                 790.947,                                  10.300,                                -420.949,
04/08/2022 16:00:00,   64800.001,                                 791.325,                                  10.300,                                -426.096,
04/08/2022 17:00:00,   68400.001,                                 791.997,                                  10.300,                                -435.240,
04/08/2022 18:00:00,   72000.001,                                 792.543,                                  10.300,                                -442.671,
04/08/2022 19:00:00,   75600.001,                                 793.089,                                  10.300,                                -450.102,
04/08/2022 20:00:00,   79200.001,                                 793.728,                                  10.352,                                -458.790,
04/08/2022 21:00:00,   82800.001,                                 794.391,                                  10.300,                                -467.821,
04/08/2022 22:00:00,   86400.001,                                 795.021,                                  10.300,                                -476.396,
04/08/2022 23:00:00,   90000.001,                                 795.366,                                  10.352,                                -481.085,
05/08/2022 00:00:00,   93600.001,                                 795.567,                                  10.300,                                -483.826,
05/08/2022 01:00:00,   97200.001,                                 795.819,                                  10.300,                                -487.254,
05/08/2022 02:00:00,  100800.001,                                 796.197,                                  10.300,                                -492.399,
05/08/2022 03:00:00,  104400.001,                                 796.408,                                  10.300,                                -495.259,
05/08/2022 04:00:00,  108000.001,                                 796.374,                                  10.352,                                -494.804,
05/08/2022 05:00:00,  111600.001,                                 796.828,                                  10.300,                                -500.978,
05/08/2022 06:00:00,  115200.001,                                 797.256,                                  10.352,                                -506.807,
05/08/2022 07:00:00,  118800.001,                                 797.550,                                  10.352,                                -510.808,
05/08/2022 08:00:00,  122400.001,                                 797.962,                                  10.300,                                -516.411,
05/08/2022 09:00:00,  126000.001,                                 798.180,                                  10.352,                                -519.385,
05/08/2022 10:00:00,  129600.001,                                 798.718,                                  10.300,                                -526.699,
05/08/2022 11:00:00,  133200.001,                                 798.844,                                  10.300,                                -528.413,
05/08/2022 12:00:00,  136800.001,                                 799.272,                                  10.352,                                -534.245,
05/08/2022 13:00:00,  140400.001,                                 799.818,                                  10.352,                                -541.678,
05/08/2022 14:00:00,  144000.001,                                 799.860,                                  10.352,                                -542.247,
05/08/2022 15:00:00,  147600.001,                                 800.491,                                  10.352,                                -550.826,
05/08/2022 16:00:00,  151200.001,                                 800.776,                                  10.300,                                -554.712,
05/08/2022 17:00:00,  154800.001,                                 801.079,                                  10.352,                                -558.829,
05/08/2022 18:00:00,  158400.001,                                 801.583,                                  10.352,                                -565.689,
05/08/2022 19:00:00,  162000.001,                                 801.826,                                  10.300,                                -569.004,
05/08/2022 20:00:00,  165600.001,                                 802.507,                                  10.352,                                -578.267,
05/08/2022 21:00:00,  169200.001,                                 802.507,                                  10.352,                                -578.267,
05/08/2022 22:00:00,  172800.001,                                 803.171,                                  10.300,                                -587.302,
05/08/2022 23:00:00,  176400.001,                                 803.137,                                  10.352,                                -586.842,
06/08/2022 00:00:00,  180000.001,                                 803.179,                                  10.352,                                -587.417,
06/08/2022 01:00:00,  183600.001,                                 803.423,                                  10.300,                                -590.730,
06/08/2022 02:00:00,  187200.001,                                 803.431,                                  10.352,                                -590.846,
06/08/2022 03:00:00,  190800.001,                                 803.305,                                  10.352,                                -589.130,
06/08/2022 04:00:00,  194400.001,                                 803.305,                                  10.352,                                -589.130,
06/08/2022 05:00:00,  198000.001,                                 803.137,                                  10.352,                                -586.842,
06/08/2022 06:00:00,  201600.001,                                 802.978,                                  10.405,                                -584.671,
06/08/2022 07:00:00,  205200.001,                                 802.969,                                  10.352,                                -584.556,
06/08/2022 08:00:00,  208800.001,                                 803.095,                                  10.352,                                -586.271,
06/08/2022 09:00:00,  212400.001,                                 803.305,                                  10.352,                                -589.130,
06/08/2022 10:00:00,  216000.001,                                 803.347,                                  10.352,                                -589.699,
06/08/2022 11:00:00,  219600.001,                                 803.473,                                  10.352,                                -591.417,
06/08/2022 12:00:00,  223200.001,                                 803.809,                                  10.352,                                -595.990,
06/08/2022 13:00:00,  226800.001,                                 803.725,                                  10.352,                                -594.847,
06/08/2022 14:00:00,  230400.001,                                 803.818,                                  10.405,                                -596.105,
06/08/2022 15:00:00,  234000.001,                                 804.104,                                  10.352,                                -599.993,
06/08/2022 16:00:00,  237600.001,                                 808.398,                                  10.405,                                -658.429,
06/08/2022 17:00:00,  241200.001,                                 812.053,                                  10.405,                                -708.178,
06/08/2022 18:00:00,  244800.001,                                 811.507,                                  10.405,                                -700.742,
06/08/2022 19:00:00,  248400.001,                                 811.507,                                  10.405,                                -700.742,
06/08/2022 20:00:00,  252000.001,                                 811.297,                                  10.405,                                -697.885,
06/08/2022 21:00:00,  255600.001,                                 811.255,                                  10.405,                                -697.311,
06/08/2022 22:00:00,  259200.001,                                 810.784,                                  10.352,                                -690.905,
06/08/2022 23:00:00,  262800.001,                                 810.288,                                  10.405,                                -684.160,
07/08/2022 00:00:00,  266400.001,                                 809.818,                                  10.352,                                -677.754,
07/08/2022 01:00:00,  270000.001,                                 809.700,                                  10.405,                                -676.155,
07/08/2022 02:00:00,  273600.001,                                 808.734,                                  10.405,                                -663.003,
07/08/2022 03:00:00,  277200.001,                                 808.734,                                  10.405,                                -663.003,
07/08/2022 04:00:00,  280800.001,                                 809.028,                                  10.405,                                -667.005,
07/08/2022 05:00:00,  284400.001,                                 809.112,                                  10.405,                                -668.149,
07/08/2022 06:00:00,  288000.001,                                 809.238,                                  10.405,                                -669.862,
07/08/2022 07:00:00,  291600.001,                                 809.532,                                  10.405,                                -673.868,
07/08/2022 08:00:00,  295200.001,                                 809.835,                                  10.457,                                -677.987,
07/08/2022 09:00:00,  298800.001,                                 810.070,                                  10.352,                                -681.183,
07/08/2022 10:00:00,  302400.001,                                 810.036,                                  10.405,                                -680.729,
07/08/2022 11:00:00,  306000.001,                                 810.490,                                  10.352,                                -686.902,
07/08/2022 12:00:00,  309600.001,                                 810.675,                                  10.457,                                -689.423,
07/08/2022 13:00:00,  313200.001,                                 810.499,                                  10.405,                                -687.020,
07/08/2022 14:00:00,  316800.001,                                 810.793,                                  10.405,                                -691.023,
07/08/2022 15:00:00,  320400.001,                                 810.372,                                  10.405,                                -685.304,
07/08/2022 16:00:00,  324000.001,                                 810.372,                                  10.405,                                -685.304,
07/08/2022 17:00:00,  327600.001,                                 810.330,                                  10.405,                                -684.730,
07/08/2022 18:00:00,  331200.001,                                 810.255,                                  10.457,                                -683.706,
07/08/2022 19:00:00,  334800.001,                                 810.414,                                  10.405,                                -685.875,
07/08/2022 20:00:00,  338400.001,                                 810.540,                                  10.405,                                -687.591,
07/08/2022 21:00:00,  342000.001,                                 810.750,                                  10.405,                                -690.449,
07/08/2022 22:00:00,  345600.001,                                 810.667,                                  10.405,                                -689.306,
07/08/2022 23:00:00,  349200.001,                                 811.213,                                  10.405,                                -696.741,
08/08/2022 00:00:00,  352800.001,                                 811.432,                                  10.457,                                -699.717,
08/08/2022 01:00:00,  356400.001,                                 810.969,                                  10.457,                                -693.427,
08/08/2022 02:00:00,  360000.001,                                 810.961,                                  10.405,                                -693.309,
08/08/2022 03:00:00,  363600.001,                                 811.003,                                  10.405,                                -693.883,
08/08/2022 04:00:00,  367200.001,                                 810.885,                                  10.457,                                -692.284,
08/08/2022 05:00:00,  370800.001,                                 810.793,                                  10.405,                                -691.023,
08/08/2022 06:00:00,  374400.001,                                 810.877,                                  10.405,                                -692.166,
08/08/2022 07:00:00,  378000.001,                                 810.750,                                  10.405,                                -690.449,
08/08/2022 08:00:00,  381600.001,                                 810.793,                                  10.405,                                -691.023,
08/08/2022 09:00:00,  385200.001,                                 811.011,                                  10.457,                                -693.999,
08/08/2022 10:00:00,  388800.001,                                 811.255,                                  10.405,                                -697.311,
08/08/2022 11:00:00,  392400.001,                                 811.213,                                  10.405,                                -696.741,
08/08/2022 12:00:00,  396000.001,                                 810.919,                                  10.405,                                -692.738,
08/08/2022 13:00:00,  399600.001,                                 811.045,                                  10.405,                                -694.453,
08/08/2022 14:00:00,  403200.001,                                 810.801,                                  10.457,                                -691.141,
08/08/2022 15:00:00,  406800.001,                                 811.213,                                  10.405,                                -696.741,
08/08/2022 16:00:00,  410400.001,                                 811.348,                                  10.457,                                -698.575,
08/08/2022 17:00:00,  414000.001,                                 811.927,                                  10.405,                                -706.463,
08/08/2022 18:00:00,  417600.001,                                 812.020,                                  10.457,                                -707.725,
08/08/2022 19:00:00,  421200.001,                                 811.852,                                  10.457,                                -705.435,
08/08/2022 20:00:00,  424800.001,                                 812.305,                                  10.405,                                -711.606,
08/08/2022 21:00:00,  428400.001,                                 812.524,                                  10.457,                                -714.585,
08/08/2022 22:00:00,  432000.001,                                 812.440,                                  10.457,                                -713.441,
08/08/2022 23:00:00,  435600.001,                                 812.692,                                  10.457,                                -716.873,
09/08/2022 00:00:00,  439200.001,                                 812.524,                                  10.457,                                -714.585,
09/08/2022 01:00:00,  442800.001,                                 812.482,                                  10.457,                                -714.014,
09/08/2022 02:00:00,  446400.001,                                 812.146,                                  10.457,                                -709.437,
09/08/2022 03:00:00,  450000.001,                                 812.188,                                  10.457,                                -710.010,
09/08/2022 04:00:00,  453600.001,                                 812.053,                                  10.405,                                -708.178,
09/08/2022 05:00:00,  457200.001,                                 811.969,                                  10.405,                                -707.032,
09/08/2022 06:00:00,  460800.001,                                 811.852,                                  10.457,                                -705.435,
09/08/2022 07:00:00,  464400.001,                                 812.314,                                  10.457,                                -711.725,
09/08/2022 08:00:00,  468000.001,                                 811.978,                                  10.457,                                -707.150,
09/08/2022 09:00:00,  471600.001,                                 811.978,                                  10.457,                                -707.150,
09/08/2022 10:00:00,  475200.001,                                 812.389,                                  10.405,                                -712.752,
09/08/2022 11:00:00,  478800.001,                                 812.011,                                  10.405,                                -707.605,
09/08/2022 12:00:00,  482400.001,                                 812.104,                                  10.457,                                -708.867,
09/08/2022 13:00:00,  486000.001,                                 811.936,                                  10.457,                                -706.581,
09/08/2022 14:00:00,  489600.001,                                 812.020,                                  10.457,                                -707.725,
09/08/2022 15:00:00,  493200.001,                                 811.927,                                  10.405,                                -706.463,
09/08/2022 16:00:00,  496800.001,                                 811.558,                                  10.457,                                -701.433,
09/08/2022 17:00:00,  500400.001,                                 811.180,                                  10.457,                                -696.288,
09/08/2022 18:00:00,  504000.001,                                 810.969,                                  10.457,                                -693.427,
09/08/2022 19:00:00,  507600.001,                                 811.011,                                  10.457,                                -693.999,
09/08/2022 20:00:00,  511200.001,                                 810.759,                                  10.457,                                -690.565,
09/08/2022 21:00:00,  514800.001,                                 810.591,                                  10.457,                                -688.279,
09/08/2022 22:00:00,  518400.001,                                 810.582,                                  10.405,                                -688.162,
09/08/2022 23:00:00,  522000.001,                                 810.759,                                  10.457,                                -690.565,
10/08/2022 00:00:00,  525600.001,                                 810.499,                                  10.405,                                -687.020,
10/08/2022 01:00:00,  529200.001,                                 809.793,                                  10.457,                                -677.415,
10/08/2022 02:00:00,  532800.001,                                 809.877,                                  10.457,                                -678.559,
10/08/2022 03:00:00,  536400.001,                                 809.532,                                  10.405,                                -673.868,
10/08/2022 04:00:00,  540000.001,                                 809.204,                                  10.457,                                -669.409,
10/08/2022 05:00:00,  543600.001,                                 808.742,                                  10.457,                                -663.120,
10/08/2022 06:00:00,  547200.001,                                 808.322,                                  10.457,                                -657.402,
10/08/2022 07:00:00,  550800.001,                                 808.364,                                  10.457,                                -657.976,
10/08/2022 08:00:00,  554400.001,                                 808.112,                                  10.457,                                -654.544,
10/08/2022 09:00:00,  558000.001,                                 807.566,                                  10.457,                                -647.108,
10/08/2022 10:00:00,  561600.001,                                 807.599,                                  10.405,                                -647.565,
10/08/2022 11:00:00,  565200.001,                                 807.314,                                  10.457,                                -643.681,
10/08/2022 12:00:00,  568800.001,                                 807.356,                                  10.457,                                -644.250,
10/08/2022 13:00:00,  572400.001,                                 806.767,                                  10.457,                                -636.245,
10/08/2022 14:00:00,  576000.001,                                 806.767,                                  10.457,                                -636.245,
10/08/2022 15:00:00,  579600.001,                                 806.600,                                  10.457,                                -633.960,
10/08/2022 16:00:00,  583200.001,                                 806.641,                                  10.457,                                -634.529,
10/08/2022 17:00:00,  586800.001,                                 806.641,                                  10.457,                                -634.529,
10/08/2022 18:00:00,  590400.001,                                 806.305,                                  10.457,                                -629.959,
10/08/2022 19:00:00,  594000.001,                                 806.516,                                  10.457,                                -632.817,
10/08/2022 20:00:00,  597600.001,                                 806.473,                                  10.457,                                -632.244,
10/08/2022 21:00:00,  601200.001,                                 806.683,                                  10.457,                                -635.102,
10/08/2022 22:00:00,  604800.001,                                 806.894,                                  10.457,                                -637.962,
10/08/2022 23:00:00,  608400.001,                                 806.423,                                  10.405,                                -631.556,
11/08/2022 00:00:00,  612000.001,                                 806.179,                                  10.457,                                -628.241,
11/08/2022 01:00:00,  615600.001,                                 806.095,                                  10.457,                                -627.098,
11/08/2022 02:00:00,  619200.001,                                 805.591,                                  10.457,                                -620.237,
11/08/2022 03:00:00,  622800.001,                                 805.885,                                  10.457,                                -624.239,
11/08/2022 04:00:00,  626400.001,                                 805.558,                                  10.509,                                -619.782,
11/08/2022 05:00:00,  630000.001,                                 805.423,                                  10.457,                                -617.949,
11/08/2022 06:00:00,  633600.001,                                 805.255,                                  10.457,                                -615.661,
11/08/2022 07:00:00,  637200.001,                                 805.087,                                  10.457,                                -613.378,
11/08/2022 08:00:00,  640800.001,                                 804.961,                                  10.457,                                -611.661,
11/08/2022 09:00:00,  644400.001,                                 805.003,                                  10.457,                                -612.231,
11/08/2022 10:00:00,  648000.001,                                 804.709,                                  10.457,                                -608.230,
