ID,Site,Region,Datetime,Date,Hour,Day,Week,Month,Quarter,Year,Temperature(Logger),Temperature(Baro),mmHg(Logger),mmHg(Baro),mmH2O,A,B,C,E,WTD(mm)
FFNNE,FF,NN,2021-06-29 09:00:00,2021-06-29,9,180,26,6,2,2021,9.068069,11.83365,797.8688,748.9008,665.7248567999995,20,75,980,925,259.27514320000046
FFNNE,FF,NN,2021-06-29 10:00:00,2021-06-29,10,180,26,6,2,2021,9.068069,13.3849,797.9823,749.0449,665.3088467400004,20,75,980,925,259.6911532599996
FFNNE,FF,NN,2021-06-29 11:00:00,2021-06-29,11,180,26,6,2,2021,9.068069,14.259479999999998,798.702,749.2086,672.8677223399993,20,75,980,925,252.13227766000068
FFNNE,FF,NN,2021-06-29 12:00:00,2021-06-29,12,180,26,6,2,2021,9.068069,15.079670000000002,798.3231,749.3637,665.6079389399995,20,75,980,925,259.3920610600005
FFNNE,FF,NN,2021-06-29 13:00:00,2021-06-29,13,180,26,6,2,2021,9.068069,16.508329999999997,798.8157,749.5903,669.2242355400006,20,75,980,925,255.77576445999944
FFNNE,FF,NN,2021-06-29 14:00:00,2021-06-29,14,180,26,6,2,2021,9.068069,15.846079999999999,798.2853,749.2272,666.9497753099996,20,75,980,925,258.0502246900004
FFNNE,FF,NN,2021-06-29 15:00:00,2021-06-29,15,180,26,6,2,2021,9.068069,16.66089,798.3989999999999,749.5727,663.7984311299978,20,75,980,925,261.20156887000223
FFNNE,FF,NN,2021-06-29 16:00:00,2021-06-29,16,180,26,6,2,2021,9.068069,16.101010000000002,798.8157,749.4648,670.9304205900004,20,75,980,925,254.06957940999962
FFNNE,FF,NN,2021-06-29 17:00:00,2021-06-29,17,180,26,6,2,2021,9.068069,13.02383,798.0959,749.308,663.2763792900005,20,75,980,925,261.7236207099995
FFNNE,FF,NN,2021-06-29 18:00:00,2021-06-29,18,180,26,6,2,2021,9.068069,11.937380000000001,798.6262,749.5796,666.7934316600002,20,75,980,925,258.20656833999976
FFNNE,FF,NN,2021-06-29 19:00:00,2021-06-29,19,180,26,6,2,2021,9.068069,10.79382,798.2853,749.7025,660.4880242800003,20,75,980,925,264.51197571999967
FFNNE,FF,NN,2021-06-29 20:00:00,2021-06-29,20,180,26,6,2,2021,9.068069,9.958649000000001,798.3611,749.6949,661.62185562,20,75,980,925,263.37814438
