ID,Site,Region,Datetime,Date,Hour,Day,Week,Month,Quarter,Year,Temperature(Logger),Temperature(Baro),mmHg(Logger),mmHg(Baro),mmH2O,A,B,C,E,WTD(mm)
FFRESH,FF,RES,2021-06-29 09:00:00,2021-06-29,9,180,26,6,2,2021,9.082214,11.83365,801.4036,748.9008,713.7808162799997,20,55,985,950,236.21918372000027
FFRESH,FF,RES,2021-06-29 10:00:00,2021-06-29,10,180,26,6,2,2021,9.134995,13.3849,801.2507,749.0449,709.7430715800009,20,55,985,950,240.2569284199991
FFRESH,FF,RES,2021-06-29 11:00:00,2021-06-29,11,180,26,6,2,2021,9.134995,14.259479999999998,801.7774,749.2086,714.6780928799986,20,55,985,950,235.32190712000136
FFRESH,FF,RES,2021-06-29 12:00:00,2021-06-29,12,180,26,6,2,2021,9.082214,15.079670000000002,801.5658,749.3637,709.6927697099997,20,55,985,950,240.30723029000035
FFRESH,FF,RES,2021-06-29 13:00:00,2021-06-29,13,180,26,6,2,2021,9.134995,16.508329999999997,801.4532,749.5903,705.0813117900011,20,55,985,950,244.9186882099989
FFRESH,FF,RES,2021-06-29 14:00:00,2021-06-29,14,180,26,6,2,2021,9.134995,15.846079999999999,801.818,749.2272,714.9771850799992,20,55,985,950,235.02281492000077
FFRESH,FF,RES,2021-06-29 15:00:00,2021-06-29,15,180,26,6,2,2021,9.134995,16.66089,801.4938,749.5727,705.8725466099988,20,55,985,950,244.12745339000116
FFRESH,FF,RES,2021-06-29 16:00:00,2021-06-29,16,180,26,6,2,2021,9.134995,16.101010000000002,801.6964,749.4648,710.093825160001,20,55,985,950,239.90617483999904
FFRESH,FF,RES,2021-06-29 17:00:00,2021-06-29,17,180,26,6,2,2021,9.134995,13.02383,801.5748,749.308,710.5723726799998,20,55,985,950,239.42762732000017
FFRESH,FF,RES,2021-06-29 18:00:00,2021-06-29,18,180,26,6,2,2021,9.134995,11.937380000000001,801.5342,749.5796,706.3279824600004,20,55,985,950,243.67201753999962
FFRESH,FF,RES,2021-06-29 19:00:00,2021-06-29,19,180,26,6,2,2021,9.134995,10.79382,802.0612,749.7025,711.82176237,20,55,985,950,238.17823763
FFRESH,FF,RES,2021-06-29 20:00:00,2021-06-29,20,180,26,6,2,2021,9.134995,9.958649000000001,801.7774,749.6949,708.0667957499998,20,55,985,950,241.93320425000024
FFRESH,FF,RES,2021-06-29 21:00:00,2021-06-29,21,180,26,6,2,2021,9.134995,9.330322,801.6964,749.7255,706.5495825900005,20,55,985,950,243.45041740999955
FFRESH,FF,RES,2021-06-29 22:00:00,2021-06-29,22,180,26,6,2,2021,9.134995,8.857971000000001,802.0612,749.8784,709.4303842799991,20,55,985,950,240.5696157200009
FFRESH,FF,RES,2021-06-29 23:00:00,2021-06-29,23,180,26,6,2,2021,9.134995,8.752884,801.98,750.0485,706.0139356500003,20,55,985,950,243.98606434999965
FFRESH,FF,RES,2021-06-30 00:00:00,2021-06-30,0,181,26,6,2,2021,9.134995,8.647736,801.3723,749.9832,698.6399534099999,20,55,985,950,251.36004659000014
