ID,Site,Region,Datetime,Date,Hour,Day,Week,Month,Quarter,Year,Temperature(Logger),Temperature(Baro),mmHg(Logger),mmHg(Baro),mmH2O,A,B,C,E,WTD(mm)
FFRESI,FF,RES,2021-06-29 09:00:00,2021-06-29,9,180,26,6,2,2021,9.810226,11.83365,780.7247,748.9008,432.64910288999977,20,180,835,675,242.35089711000023
FFRESI,FF,RES,2021-06-29 10:00:00,2021-06-29,10,180,26,6,2,2021,9.757675,13.3849,780.3777,749.0449,425.9725492800003,20,180,835,675,249.0274507199997
FFRESI,FF,RES,2021-06-29 11:00:00,2021-06-29,11,180,26,6,2,2021,9.810226,14.259479999999998,780.7247,749.2086,428.46453110999914,20,180,835,675,246.53546889000086
FFRESI,FF,RES,2021-06-29 12:00:00,2021-06-29,12,180,26,6,2,2021,9.810226,15.079670000000002,780.7247,749.3637,426.35593109999985,20,180,835,675,248.64406890000015
FFRESI,FF,RES,2021-06-29 13:00:00,2021-06-29,13,180,26,6,2,2021,9.810226,16.508329999999997,780.8755,749.5903,425.3254225200004,20,180,835,675,249.67457747999958
FFRESI,FF,RES,2021-06-29 14:00:00,2021-06-29,14,180,26,6,2,2021,9.810226,15.846079999999999,780.4612,749.2272,424.629353399999,20,180,835,675,250.370646600001
FFRESI,FF,RES,2021-06-29 15:00:00,2021-06-29,15,180,26,6,2,2021,9.810226,16.66089,780.4612,749.5727,419.93224634999876,20,180,835,675,255.06775365000124
FFRESI,FF,RES,2021-06-29 16:00:00,2021-06-29,16,180,26,6,2,2021,9.810226,16.101010000000002,780.8,749.4648,426.00517751999985,20,180,835,675,248.99482248000015
FFRESI,FF,RES,2021-06-29 17:00:00,2021-06-29,17,180,26,6,2,2021,9.810226,13.02383,780.7247,749.308,427.1131781699999,20,180,835,675,247.8868218300001
FFRESI,FF,RES,2021-06-29 18:00:00,2021-06-29,18,180,26,6,2,2021,9.810226,11.937380000000001,780.9883,749.5796,427.0044173699994,20,180,835,675,247.99558263000063
FFRESI,FF,RES,2021-06-29 19:00:00,2021-06-29,19,180,26,6,2,2021,9.810226,10.79382,780.8,749.7025,422.77362224999956,20,180,835,675,252.22637775000044
FFRESI,FF,RES,2021-06-29 20:00:00,2021-06-29,20,180,26,6,2,2021,9.810226,9.958649000000001,780.6118,749.6949,420.31834719000074,20,180,835,675,254.68165280999926
FFRESI,FF,RES,2021-06-29 21:00:00,2021-06-29,21,180,26,6,2,2021,9.810226,9.330322,780.8,749.7255,422.4609349499992,20,180,835,675,252.53906505000077
FFRESI,FF,RES,2021-06-29 22:00:00,2021-06-29,22,180,26,6,2,2021,9.810226,8.857971000000001,780.7624,749.8784,419.87106839999865,20,180,835,675,255.12893160000135
FFRESI,FF,RES,2021-06-29 23:00:00,2021-06-29,23,180,26,6,2,2021,9.810226,8.752884,780.9506,750.0485,420.1171397100003,20,180,835,675,254.8828602899997
FFRESI,FF,RES,2021-06-30 00:00:00,2021-06-30,0,181,26,6,2,2021,9.810226,8.647736,780.8378,749.9832,419.47137246000005,20,180,835,675,255.52862753999995
FFRESI,FF,RES,2021-06-30 01:00:00,2021-06-30,1,181,26,6,2,2021,9.862778,8.174026,780.5448,749.5716,421.08375132000026,20,180,835,675,253.91624867999974
FFRESI,FF,RES,2021-06-30 02:00:00,2021-06-30,2,181,26,6,2,2021,9.810226,7.804932000000001,780.1978,749.4614,417.8644316400001,20,180,835,675,257.1355683599999
FFRESI,FF,RES,2021-06-30 03:00:00,2021-06-30,3,181,26,6,2,2021,9.862778,8.174026,780.3188,749.3833,420.57121605000066,20,180,835,675,254.42878394999934
