ID,Site,Region,Datetime,Date,Hour,Day,Week,Month,Quarter,Year,Temperature(Logger),Temperature(Baro),mmHg(Logger),mmHg(Baro),mmHg(Baro Adj),mmH2O,A,B,C,E,WTD(mm)
MHDAM1,MH,DAM,2022-07-17 20:00:00,2022-07-17,20,198,28,7,3,2022,7.724,20.991999999999997,726.084,716.955,717.3925,118.16181164999871,20,50,880,850,731.8381883500012
MHDAM1,MH,DAM,2022-07-17 21:00:00,2022-07-17,21,198,28,7,3,2022,7.724,18.634,726.4810000000001,716.551,716.9885,129.05148675000086,20,50,880,850,720.9485132499991
MHDAM1,MH,DAM,2022-07-17 22:00:00,2022-07-17,22,198,28,7,3,2022,7.672000000000001,16.885,726.778,716.535,716.9725,133.3067530500007,20,50,880,850,716.6932469499993
MHDAM1,MH,DAM,2022-07-17 23:00:00,2022-07-17,23,198,28,7,3,2022,7.672000000000001,16.178,726.9110000000001,716.42,716.8575,136.67833785000136,20,50,880,850,713.3216621499987
MHDAM1,MH,DAM,2022-07-18 00:00:00,2022-07-18,0,199,29,7,3,2022,7.619,16.026,727.296,716.425,716.8625,141.8444758500013,20,50,880,850,708.1555241499987
MHDAM1,MH,DAM,2022-07-18 01:00:00,2022-07-18,1,199,29,7,3,2022,7.672000000000001,15.568,727.352,716.404,716.8415,142.89129854999973,20,50,880,850,707.1087014500002
MHDAM1,MH,DAM,2022-07-18 02:00:00,2022-07-18,2,199,29,7,3,2022,7.619,15.109000000000002,727.5169999999999,715.971,716.4085,151.02116834999913,20,50,880,850,698.9788316500009
MHDAM1,MH,DAM,2022-07-18 03:00:00,2022-07-18,3,199,29,7,3,2022,7.619,15.16,727.737,715.6439999999999,716.0814999999999,158.45768805000102,20,50,880,850,691.542311949999
MHDAM1,MH,DAM,2022-07-18 04:00:00,2022-07-18,4,199,29,7,3,2022,7.672000000000001,14.852,727.793,715.581,716.0185,160.07550494999987,20,50,880,850,689.9244950500001
MHDAM1,MH,DAM,2022-07-18 05:00:00,2022-07-18,5,199,29,7,3,2022,7.672000000000001,14.647,727.705,715.202,715.6395,164.03167905000058,20,50,880,850,685.9683209499995
MHDAM1,MH,DAM,2022-07-18 06:00:00,2022-07-18,6,199,29,7,3,2022,7.619,14.595999999999998,728.2669999999999,714.967,715.4045,174.86697374999937,20,50,880,850,675.1330262500006
MHDAM1,MH,DAM,2022-07-18 07:00:00,2022-07-18,7,199,29,7,3,2022,7.619,15.364,728.355,715.2739999999999,715.7114999999999,171.88964685000178,20,50,880,850,678.1103531499982
MHDAM1,MH,DAM,2022-07-18 08:00:00,2022-07-18,8,199,29,7,3,2022,7.672000000000001,17.588,728.543,715.49,715.9275,171.50898404999998,20,50,880,850,678.49101595
MHDAM1,MH,DAM,2022-07-18 09:00:00,2022-07-18,9,199,29,7,3,2022,7.619,22.06,729.1489999999999,715.674,716.1115,177.24611624999878,20,50,880,850,672.7538837500013
MHDAM1,MH,DAM,2022-07-18 10:00:00,2022-07-18,10,199,29,7,3,2022,7.619,28.381999999999998,729.635,716.3910000000001,716.8285000000001,174.10564814999884,20,50,880,850,675.8943518500012
MHDAM1,MH,DAM,2022-07-18 11:00:00,2022-07-18,11,199,29,7,3,2022,7.672000000000001,32.546,729.9989999999999,716.618,717.0555,175.9681768499981,20,50,880,850,674.0318231500019
MHDAM1,MH,DAM,2022-07-18 12:00:00,2022-07-18,12,199,29,7,3,2022,7.619,37.135999999999996,730.297,716.691,717.1285,179.02707434999994,20,50,880,850,670.9729256500001
MHDAM1,MH,DAM,2022-07-18 13:00:00,2022-07-18,13,199,29,7,3,2022,7.619,34.461999999999996,730.385,716.118,716.5555,188.01343544999918,20,50,880,850,661.9865645500008
MHDAM1,MH,DAM,2022-07-18 14:00:00,2022-07-18,14,199,29,7,3,2022,7.672000000000001,37.042,730.573,716.408,716.8455,186.6267352499995,20,50,880,850,663.3732647500005
MHDAM1,MH,DAM,2022-07-18 15:00:00,2022-07-18,15,199,29,7,3,2022,7.619,31.845,730.605,716.2260000000001,716.6635000000001,189.5360866499987,20,50,880,850,660.4639133500013
MHDAM1,MH,DAM,2022-07-18 16:00:00,2022-07-18,16,199,29,7,3,2022,7.619,34.696,730.6489999999999,715.831,716.2685,195.50433554999825,20,50,880,850,654.4956644500018
MHDAM1,MH,DAM,2022-07-18 17:00:00,2022-07-18,17,199,29,7,3,2022,7.619,31.004,731.002,715.533,715.9705,204.35474564999916,20,50,880,850,645.6452543500009
MHDAM1,MH,DAM,2022-07-18 18:00:00,2022-07-18,18,199,29,7,3,2022,7.672000000000001,27.819000000000003,730.97,715.12,715.5575,209.53447875000032,20,50,880,850,640.4655212499997
MHDAM1,MH,DAM,2022-07-18 19:00:00,2022-07-18,19,199,29,7,3,2022,7.672000000000001,26.924,730.794,714.82,715.2575,211.2202711499991,20,50,880,850,638.7797288500009
MHDAM1,MH,DAM,2022-07-18 20:00:00,2022-07-18,20,199,29,7,3,2022,7.672000000000001,23.551,731.1030000000001,714.314,714.7515,222.3002776500014,20,50,880,850,627.6997223499986
MHDAM1,MH,DAM,2022-07-18 21:00:00,2022-07-18,21,199,29,7,3,2022,7.672000000000001,18.782,731.323,713.921,714.3585,230.63407394999905,20,50,880,850,619.365926050001
MHDAM1,MH,DAM,2022-07-18 22:00:00,2022-07-18,22,199,29,7,3,2022,7.672000000000001,15.312999999999999,731.4110000000001,713.539,713.9765,237.02377095000097,20,50,880,850,612.976229049999
MHDAM1,MH,DAM,2022-07-18 23:00:00,2022-07-18,23,199,29,7,3,2022,7.672000000000001,17.688,731.5880000000001,713.674,714.1115,237.5947651500014,20,50,880,850,612.4052348499986
MHDAM1,MH,DAM,2022-07-19 00:00:00,2022-07-19,0,200,29,7,3,2022,7.672000000000001,20.015,731.72,713.6439999999999,714.0814999999999,239.79717135000186,20,50,880,850,610.2028286499981
MHDAM1,MH,DAM,2022-07-19 01:00:00,2022-07-19,1,200,29,7,3,2022,7.672000000000001,20.895,731.676,713.477,713.9145,241.46936865000094,20,50,880,850,608.5306313499991
MHDAM1,MH,DAM,2022-07-19 02:00:00,2022-07-19,2,200,29,7,3,2022,7.672000000000001,20.406,731.544,713.0980000000001,713.5355000000001,244.82735834999883,20,50,880,850,605.1726416500012
MHDAM1,MH,DAM,2022-07-19 03:00:00,2022-07-19,3,200,29,7,3,2022,7.672000000000001,19.72,731.456,712.7489999999999,713.1864999999999,248.37567945000146,20,50,880,850,601.6243205499985
MHDAM1,MH,DAM,2022-07-19 04:00:00,2022-07-19,4,200,29,7,3,2022,7.619,19.769000000000002,731.311,712.648,713.0855,247.77749505000017,20,50,880,850,602.2225049499998
MHDAM1,MH,DAM,2022-07-19 05:00:00,2022-07-19,5,200,29,7,3,2022,7.672000000000001,20.064,731.4989999999999,712.717,713.1545,249.39531194999898,20,50,880,850,600.604688050001
MHDAM1,MH,DAM,2022-07-19 06:00:00,2022-07-19,6,200,29,7,3,2022,7.672000000000001,21.138,730.705,711.6210000000001,712.0585000000001,253.50103214999928,20,50,880,850,596.4989678500008
MHDAM1,MH,DAM,2022-07-19 07:00:00,2022-07-19,7,200,29,7,3,2022,7.672000000000001,22.541999999999998,731.544,712.1489999999999,712.5864999999999,257.72910825000133,20,50,880,850,592.2708917499987
MHDAM1,MH,DAM,2022-07-19 08:00:00,2022-07-19,8,200,29,7,3,2022,7.619,26.688000000000002,731.4,712.693,713.1305,248.37567944999992,20,50,880,850,601.6243205500001
MHDAM1,MH,DAM,2022-07-19 09:00:00,2022-07-19,9,200,29,7,3,2022,7.619,28.523000000000003,731.444,712.2869999999999,712.7244999999999,254.49347445000055,20,50,880,850,595.5065255499994
MHDAM1,MH,DAM,2022-07-19 10:00:00,2022-07-19,10,200,29,7,3,2022,7.619,31.612,731.2230000000001,712.0269999999999,712.4644999999999,255.0236833500019,20,50,880,850,594.9763166499981
MHDAM1,MH,DAM,2022-07-19 11:00:00,2022-07-19,11,200,29,7,3,2022,7.672000000000001,36.806999999999995,731.235,711.947,712.3845,256.27443255000014,20,50,880,850,593.7255674499999
MHDAM1,MH,DAM,2022-07-19 12:00:00,2022-07-19,12,200,29,7,3,2022,7.672000000000001,38.222,730.75,711.285,711.7225,258.68076525000043,20,50,880,850,591.3192347499996
MHDAM1,MH,DAM,2022-07-19 13:00:00,2022-07-19,13,200,29,7,3,2022,7.672000000000001,35.727,731.058,711.5319999999999,711.9694999999999,259.5100663500009,20,50,880,850,590.4899336499991
MHDAM1,MH,DAM,2022-07-19 14:00:00,2022-07-19,14,200,29,7,3,2022,7.619,38.033,731.002,711.06,711.4975,265.1656279500001,20,50,880,850,584.83437205
MHDAM1,MH,DAM,2022-07-19 15:00:00,2022-07-19,15,200,29,7,3,2022,7.672000000000001,35.773,730.617,710.562,710.9995,266.7018742499993,20,50,880,850,583.2981257500007
MHDAM1,MH,DAM,2022-07-19 16:00:00,2022-07-19,16,200,29,7,3,2022,7.672000000000001,33.76,731.544,711.0219999999999,711.4594999999999,273.05078595000066,20,50,880,850,576.9492140499993
MHDAM1,MH,DAM,2022-07-19 17:00:00,2022-07-19,17,200,29,7,3,2022,7.619,28.476,731.444,710.4689999999999,710.9064999999999,279.2093662500003,20,50,880,850,570.7906337499996
MHDAM1,MH,DAM,2022-07-19 18:00:00,2022-07-19,18,200,29,7,3,2022,7.672000000000001,26.783,731.1030000000001,709.97,710.4075,281.35739205000056,20,50,880,850,568.6426079499995
MHDAM1,MH,DAM,2022-07-19 19:00:00,2022-07-19,19,200,29,7,3,2022,7.672000000000001,25.553,731.544,709.814,710.2515,289.47366675000023,20,50,880,850,560.5263332499998
MHDAM1,MH,DAM,2022-07-19 20:00:00,2022-07-19,20,200,29,7,3,2022,7.672000000000001,22.975,731.4110000000001,709.475,709.9125,292.2742573500005,20,50,880,850,557.7257426499996
MHDAM1,MH,DAM,2022-07-19 21:00:00,2022-07-19,21,200,29,7,3,2022,7.724,20.26,731.952,709.573,710.0105,298.29688665000026,20,50,880,850,551.7031133499997
