ID,Site,Region,Datetime,Date,Hour,Day,Week,Month,Quarter,Year,Temperature(Logger),Temperature(Baro),mmHg(Logger),mmHg(Baro),mmHg(Baro Adj),mmH2O,A,B,C,E,WTD(mm)
MHDAM2,MH,DAM,2022-07-17 20:00:00,2022-07-17,20,198,28,7,3,2022,7.518,20.991999999999997,751.2139999999999,716.955,717.3925,459.8066746499987,20,50,880,850,390.1933253500013
MHDAM2,MH,DAM,2022-07-17 21:00:00,2022-07-17,21,198,28,7,3,2022,7.518,18.634,751.711,716.551,716.9885,472.05585974999957,20,50,880,850,377.94414025000043
MHDAM2,MH,DAM,2022-07-17 22:00:00,2022-07-17,22,198,28,7,3,2022,7.465,16.885,752.073,716.535,716.9725,477.1948075500002,20,50,880,850,372.8051924499998
MHDAM2,MH,DAM,2022-07-17 23:00:00,2022-07-17,23,198,28,7,3,2022,7.465,16.178,752.197,716.42,716.8575,480.4440364500006,20,50,880,850,369.5559635499994
MHDAM2,MH,DAM,2022-07-18 00:00:00,2022-07-18,0,199,29,7,3,2022,7.518,16.026,752.414,716.425,716.8625,483.32619765000044,20,50,880,850,366.67380234999956
MHDAM2,MH,DAM,2022-07-18 01:00:00,2022-07-18,1,199,29,7,3,2022,7.465,15.568,752.8589999999999,716.404,716.8415,489.661514249999,20,50,880,850,360.338485750001
MHDAM2,MH,DAM,2022-07-18 02:00:00,2022-07-18,2,199,29,7,3,2022,7.465,15.109000000000002,753.066,715.971,716.4085,498.3623782500004,20,50,880,850,351.6376217499996
MHDAM2,MH,DAM,2022-07-18 03:00:00,2022-07-18,3,199,29,7,3,2022,7.571000000000001,15.16,752.383,715.6439999999999,716.0814999999999,493.52252265000203,20,50,880,850,356.47747734999797
MHDAM2,MH,DAM,2022-07-18 04:00:00,2022-07-18,4,199,29,7,3,2022,7.412999999999999,14.852,752.643,715.581,716.0185,497.91373995000015,20,50,880,850,352.08626004999985
MHDAM2,MH,DAM,2022-07-18 05:00:00,2022-07-18,5,199,29,7,3,2022,7.412999999999999,14.647,752.684,715.202,715.6395,503.6236819499996,20,50,880,850,346.3763180500004
MHDAM2,MH,DAM,2022-07-18 06:00:00,2022-07-18,6,199,29,7,3,2022,7.518,14.595999999999998,752.7860000000001,714.967,715.4045,508.205230650001,20,50,880,850,341.794769349999
MHDAM2,MH,DAM,2022-07-18 07:00:00,2022-07-18,7,199,29,7,3,2022,7.412999999999999,15.364,752.9739999999999,715.2739999999999,715.7114999999999,506.5874137500006,20,50,880,850,343.4125862499994
MHDAM2,MH,DAM,2022-07-18 08:00:00,2022-07-18,8,199,29,7,3,2022,7.518,17.588,753.035,715.49,715.9275,504.48017324999944,20,50,880,850,345.51982675000056
MHDAM2,MH,DAM,2022-07-18 09:00:00,2022-07-18,9,199,29,7,3,2022,7.465,22.06,753.48,715.674,716.1115,508.0284943500006,20,50,880,850,341.9715056499994
MHDAM2,MH,DAM,2022-07-18 10:00:00,2022-07-18,10,199,29,7,3,2022,7.571000000000001,28.381999999999998,753.955,716.3910000000001,716.8285000000001,504.73848014999953,20,50,880,850,345.26151985000047
MHDAM2,MH,DAM,2022-07-18 11:00:00,2022-07-18,11,199,29,7,3,2022,7.518,32.546,754.069,716.618,717.0555,503.2022338499988,20,50,880,850,346.7977661500012
MHDAM2,MH,DAM,2022-07-18 12:00:00,2022-07-18,12,199,29,7,3,2022,7.412999999999999,37.135999999999996,754.34,716.691,717.1285,505.89406365,20,50,880,850,344.10593635
MHDAM2,MH,DAM,2022-07-18 13:00:00,2022-07-18,13,199,29,7,3,2022,7.412999999999999,34.461999999999996,754.133,716.118,716.5555,510.86987024999985,20,50,880,850,339.13012975000015
MHDAM2,MH,DAM,2022-07-18 14:00:00,2022-07-18,14,199,29,7,3,2022,7.571000000000001,37.042,754.328,716.408,716.8455,509.57833574999944,20,50,880,850,340.42166425000056
MHDAM2,MH,DAM,2022-07-18 15:00:00,2022-07-18,15,199,29,7,3,2022,7.571000000000001,31.845,754.617,716.2260000000001,716.6635000000001,515.981627849998,20,50,880,850,334.01837215000205
MHDAM2,MH,DAM,2022-07-18 16:00:00,2022-07-18,16,199,29,7,3,2022,7.571000000000001,34.696,754.079,715.831,716.2685,514.0375285499991,20,50,880,850,335.96247145000086
MHDAM2,MH,DAM,2022-07-18 17:00:00,2022-07-18,17,199,29,7,3,2022,7.465,31.004,754.018,715.533,715.9705,517.2595672500001,20,50,880,850,332.74043274999985
MHDAM2,MH,DAM,2022-07-18 18:00:00,2022-07-18,18,199,29,7,3,2022,7.518,27.819000000000003,753.821,715.12,715.5575,520.1961088500003,20,50,880,850,329.8038911499997
MHDAM2,MH,DAM,2022-07-18 19:00:00,2022-07-18,19,199,29,7,3,2022,7.465,26.924,753.77,714.82,715.2575,523.5812887499991,20,50,880,850,326.4187112500009
MHDAM2,MH,DAM,2022-07-18 20:00:00,2022-07-18,20,199,29,7,3,2022,7.571000000000001,23.551,753.5830000000001,714.314,714.7515,527.9181256500017,20,50,880,850,322.0818743499983
MHDAM2,MH,DAM,2022-07-18 21:00:00,2022-07-18,21,199,29,7,3,2022,7.571000000000001,18.782,753.293,713.921,714.3585,529.3184209499994,20,50,880,850,320.68157905000055
MHDAM2,MH,DAM,2022-07-18 22:00:00,2022-07-18,22,199,29,7,3,2022,7.571000000000001,15.312999999999999,753.4169999999999,713.539,713.9765,536.1975415499991,20,50,880,850,313.8024584500009
MHDAM2,MH,DAM,2022-07-18 23:00:00,2022-07-18,23,199,29,7,3,2022,7.518,17.688,753.3660000000001,713.674,714.1115,533.6688529500017,20,50,880,850,316.3311470499983
MHDAM2,MH,DAM,2022-07-19 00:00:00,2022-07-19,0,200,29,7,3,2022,7.571000000000001,20.015,753.2510000000001,713.6439999999999,714.0814999999999,532.5132694500027,20,50,880,850,317.48673054999733
MHDAM2,MH,DAM,2022-07-19 01:00:00,2022-07-19,1,200,29,7,3,2022,7.518,20.895,753.035,713.477,713.9145,531.8471095499999,20,50,880,850,318.1528904500001
MHDAM2,MH,DAM,2022-07-19 02:00:00,2022-07-19,2,200,29,7,3,2022,7.465,20.406,752.446,713.0980000000001,713.5355000000001,528.9921385499994,20,50,880,850,321.00786145000063
MHDAM2,MH,DAM,2022-07-19 03:00:00,2022-07-19,3,200,29,7,3,2022,7.518,19.72,752.704,712.7489999999999,713.1864999999999,537.2443642500006,20,50,880,850,312.75563574999944
MHDAM2,MH,DAM,2022-07-19 04:00:00,2022-07-19,4,200,29,7,3,2022,7.518,19.769000000000002,752.207,712.648,713.0855,531.8607046499995,20,50,880,850,318.13929535000045
MHDAM2,MH,DAM,2022-07-19 05:00:00,2022-07-19,5,200,29,7,3,2022,7.518,20.064,752.207,712.717,713.1545,530.9226427500001,20,50,880,850,319.07735724999986
MHDAM2,MH,DAM,2022-07-19 06:00:00,2022-07-19,6,200,29,7,3,2022,7.518,21.138,751.173,711.6210000000001,712.0585000000001,531.7655389499987,20,50,880,850,318.2344610500013
MHDAM2,MH,DAM,2022-07-19 07:00:00,2022-07-19,7,200,29,7,3,2022,7.518,22.541999999999998,751.3380000000001,712.1489999999999,712.5864999999999,526.8305176500027,20,50,880,850,323.16948234999734
MHDAM2,MH,DAM,2022-07-19 08:00:00,2022-07-19,8,200,29,7,3,2022,7.412999999999999,26.688000000000002,751.65,712.693,713.1305,523.6764544499999,20,50,880,850,326.32354555000006
MHDAM2,MH,DAM,2022-07-19 09:00:00,2022-07-19,9,200,29,7,3,2022,7.465,28.523000000000003,751.08,712.2869999999999,712.7244999999999,521.4468580500017,20,50,880,850,328.55314194999835
MHDAM2,MH,DAM,2022-07-19 10:00:00,2022-07-19,10,200,29,7,3,2022,7.571000000000001,31.612,750.7689999999999,712.0269999999999,712.4644999999999,520.7535079499995,20,50,880,850,329.2464920500005
