ID,Site,Region,Datetime,Date,Hour,Day,Week,Month,Quarter,Year,Temperature(Logger),Temperature(Baro),mmHg(Logger),mmHg(Baro),mmHg(Baro Adj),mmH2O,A,B,C,E,WTD(mm)
MHNN2,MH,NN,2022-07-17 20:00:00,2022-07-17,20,198,28,7,3,2022,7.935,20.991999999999997,734.828,716.955,717.0425,241.7956510499994,20,100,880,800,558.2043489500006
MHNN2,MH,NN,2022-07-17 21:00:00,2022-07-17,21,198,28,7,3,2022,7.99,18.634,735.166,716.551,716.6385,251.88321525000043,20,100,880,800,548.1167847499996
MHNN2,MH,NN,2022-07-17 22:00:00,2022-07-17,22,198,28,7,3,2022,7.881,16.885,735.558,716.535,716.6225,257.43001605000063,20,100,880,800,542.5699839499994
MHNN2,MH,NN,2022-07-17 23:00:00,2022-07-17,23,198,28,7,3,2022,7.99,16.178,735.822,716.42,716.5074999999999,262.58255895000093,20,100,880,800,537.4174410499991
MHNN2,MH,NN,2022-07-18 00:00:00,2022-07-18,0,199,29,7,3,2022,7.935,16.026,736.5110000000001,716.425,716.5124999999999,271.881607350002,20,100,880,800,528.118392649998
MHNN2,MH,NN,2022-07-18 01:00:00,2022-07-18,1,199,29,7,3,2022,7.99,15.568,736.643,716.404,716.4915,273.96165765000075,20,100,880,800,526.0383423499993
MHNN2,MH,NN,2022-07-18 02:00:00,2022-07-18,2,199,29,7,3,2022,7.935,15.109000000000002,736.88,715.971,716.0585,283.0703746500002,20,100,880,800,516.9296253499998
MHNN2,MH,NN,2022-07-18 03:00:00,2022-07-18,3,199,29,7,3,2022,7.935,15.16,736.8389999999999,715.6439999999999,715.7314999999999,286.958573250001,20,100,880,800,513.041426749999
MHNN2,MH,NN,2022-07-18 04:00:00,2022-07-18,4,199,29,7,3,2022,7.935,14.852,737.003,715.581,715.6685,290.04466095000066,20,100,880,800,509.95533904999934
MHNN2,MH,NN,2022-07-18 05:00:00,2022-07-18,5,199,29,7,3,2022,7.935,14.647,737.29,715.202,715.2895,299.09899754999986,20,100,880,800,500.90100245000014
MHNN2,MH,NN,2022-07-18 06:00:00,2022-07-18,6,199,29,7,3,2022,7.935,14.595999999999998,737.66,714.967,715.0545,307.3240330500001,20,100,880,800,492.6759669499999
MHNN2,MH,NN,2022-07-18 07:00:00,2022-07-18,7,199,29,7,3,2022,7.935,15.364,737.947,715.2739999999999,715.3614999999999,307.0521310500019,20,100,880,800,492.9478689499981
MHNN2,MH,NN,2022-07-18 08:00:00,2022-07-18,8,199,29,7,3,2022,7.935,17.588,738.398,715.49,715.5775,310.2469795500005,20,100,880,800,489.7530204499995
MHNN2,MH,NN,2022-07-18 09:00:00,2022-07-18,9,199,29,7,3,2022,7.99,22.06,738.817,715.674,715.7615,313.4418280500007,20,100,880,800,486.5581719499993
MHNN2,MH,NN,2022-07-18 10:00:00,2022-07-18,10,199,29,7,3,2022,7.935,28.381999999999998,739.5060000000001,716.3910000000001,716.4785,313.06116525000044,20,100,880,800,486.93883474999956
MHNN2,MH,NN,2022-07-18 11:00:00,2022-07-18,11,199,29,7,3,2022,7.935,32.546,739.67,716.618,716.7055,312.20467394999906,20,100,880,800,487.79532605000094
MHNN2,MH,NN,2022-07-18 12:00:00,2022-07-18,12,199,29,7,3,2022,7.935,37.135999999999996,740.245,716.691,716.7785,319.02941415,20,100,880,800,480.97058585
MHNN2,MH,NN,2022-07-18 13:00:00,2022-07-18,13,199,29,7,3,2022,7.935,34.461999999999996,740.368,716.118,716.2055,328.4916037500003,20,100,880,800,471.5083962499997
MHNN2,MH,NN,2022-07-18 14:00:00,2022-07-18,14,199,29,7,3,2022,7.935,37.042,740.409,716.408,716.4955,325.10642385,20,100,880,800,474.89357615
MHNN2,MH,NN,2022-07-18 15:00:00,2022-07-18,15,199,29,7,3,2022,7.935,31.845,740.819,716.2260000000001,716.3135000000001,333.15472304999827,20,100,880,800,466.84527695000173
MHNN2,MH,NN,2022-07-18 16:00:00,2022-07-18,16,199,29,7,3,2022,7.935,34.696,740.86,715.831,715.9185,339.08218665000027,20,100,880,800,460.91781334999973
MHNN2,MH,NN,2022-07-18 17:00:00,2022-07-18,17,199,29,7,3,2022,7.99,31.004,741.1560000000001,715.533,715.6205,347.157676050001,20,100,880,800,452.842323949999
MHNN2,MH,NN,2022-07-18 18:00:00,2022-07-18,18,199,29,7,3,2022,7.935,27.819000000000003,741.0239999999999,715.12,715.2075,350.97789914999873,20,100,880,800,449.02210085000127
MHNN2,MH,NN,2022-07-18 19:00:00,2022-07-18,19,199,29,7,3,2022,7.935,26.924,740.9830000000001,714.82,714.9075,354.49903005000044,20,100,880,800,445.50096994999956
MHNN2,MH,NN,2022-07-18 20:00:00,2022-07-18,20,199,29,7,3,2022,7.935,23.551,740.9830000000001,714.314,714.4014999999999,361.37815065000166,20,100,880,800,438.62184934999834
MHNN2,MH,NN,2022-07-18 21:00:00,2022-07-18,21,199,29,7,3,2022,7.935,18.782,741.27,713.921,714.0085,370.62281864999943,20,100,880,800,429.37718135000057
MHNN2,MH,NN,2022-07-18 22:00:00,2022-07-18,22,199,29,7,3,2022,7.935,15.312999999999999,741.5160000000001,713.539,713.6265,379.1605414500015,20,100,880,800,420.8394585499985
MHNN2,MH,NN,2022-07-18 23:00:00,2022-07-18,23,199,29,7,3,2022,7.935,17.688,741.804,713.674,713.7615,381.24059175000025,20,100,880,800,418.75940824999975
MHNN2,MH,NN,2022-07-19 00:00:00,2022-07-19,0,200,29,7,3,2022,7.935,20.015,741.681,713.6439999999999,713.7314999999999,379.97624745000235,20,100,880,800,420.02375254999765
MHNN2,MH,NN,2022-07-19 01:00:00,2022-07-19,1,200,29,7,3,2022,7.935,20.895,742.0089999999999,713.477,713.5645,386.7058219499993,20,100,880,800,413.2941780500007
MHNN2,MH,NN,2022-07-19 02:00:00,2022-07-19,2,200,29,7,3,2022,7.935,20.406,741.8860000000001,713.0980000000001,713.1855,390.18616755000045,20,100,880,800,409.81383244999955
MHNN2,MH,NN,2022-07-19 03:00:00,2022-07-19,3,200,29,7,3,2022,7.99,19.72,741.8539999999999,712.7489999999999,712.8364999999999,394.4958142500006,20,100,880,800,405.5041857499994
MHNN2,MH,NN,2022-07-19 04:00:00,2022-07-19,4,200,29,7,3,2022,7.99,19.769000000000002,741.69,712.648,712.7355,393.63932295000075,20,100,880,800,406.36067704999925
MHNN2,MH,NN,2022-07-19 05:00:00,2022-07-19,5,200,29,7,3,2022,7.99,20.064,741.936,712.717,712.8045,396.04565565000104,20,100,880,800,403.95434434999896
MHNN2,MH,NN,2022-07-19 06:00:00,2022-07-19,6,200,29,7,3,2022,7.99,21.138,740.8689999999999,711.6210000000001,711.7085000000001,396.43991354999787,20,100,880,800,403.56008645000213
MHNN2,MH,NN,2022-07-19 07:00:00,2022-07-19,7,200,29,7,3,2022,7.99,22.541999999999998,741.6489999999999,712.1489999999999,712.2364999999999,399.8658787500003,20,100,880,800,400.1341212499997
MHNN2,MH,NN,2022-07-19 08:00:00,2022-07-19,8,200,29,7,3,2022,7.99,26.688000000000002,742.018,712.693,712.7805,397.48673625000094,20,100,880,800,402.51326374999906
MHNN2,MH,NN,2022-07-19 09:00:00,2022-07-19,9,200,29,7,3,2022,7.935,28.523000000000003,741.5160000000001,712.2869999999999,712.3744999999999,396.18160665000244,20,100,880,800,403.81839334999756
MHNN2,MH,NN,2022-07-19 10:00:00,2022-07-19,10,200,29,7,3,2022,7.99,31.612,741.567,712.0269999999999,712.1144999999999,400.40968275000137,20,100,880,800,399.59031724999863
MHNN2,MH,NN,2022-07-19 11:00:00,2022-07-19,11,200,29,7,3,2022,7.99,36.806999999999995,741.5260000000001,711.947,712.0345,400.9398916500012,20,100,880,800,399.0601083499988
MHNN2,MH,NN,2022-07-19 12:00:00,2022-07-19,12,200,29,7,3,2022,7.99,38.222,741.32,711.285,711.3725,407.13925725000144,20,100,880,800,392.86074274999856
MHNN2,MH,NN,2022-07-19 13:00:00,2022-07-19,13,200,29,7,3,2022,7.99,35.727,741.444,711.5319999999999,711.6194999999999,405.4670599500008,20,100,880,800,394.5329400499992
MHNN2,MH,NN,2022-07-19 14:00:00,2022-07-19,14,200,29,7,3,2022,7.99,38.033,740.992,711.06,711.1474999999999,405.73896195000054,20,100,880,800,394.26103804999946
MHNN2,MH,NN,2022-07-19 15:00:00,2022-07-19,15,200,29,7,3,2022,7.99,35.773,740.828,710.562,710.6495,410.2797253499998,20,100,880,800,389.7202746500002
MHNN2,MH,NN,2022-07-19 16:00:00,2022-07-19,16,200,29,7,3,2022,7.99,33.76,741.8539999999999,711.0219999999999,711.1094999999999,417.97455195000026,20,100,880,800,382.02544804999974
MHNN2,MH,NN,2022-07-19 17:00:00,2022-07-19,17,200,29,7,3,2022,7.99,28.476,741.6080000000001,710.4689999999999,710.5564999999999,422.148247650002,20,100,880,800,377.851752349998
MHNN2,MH,NN,2022-07-19 18:00:00,2022-07-19,18,200,29,7,3,2022,7.99,26.783,741.485,709.97,710.0575,427.2600052500001,20,100,880,800,372.7399947499999
MHNN2,MH,NN,2022-07-19 19:00:00,2022-07-19,19,200,29,7,3,2022,7.99,25.553,741.279,709.814,709.9014999999999,426.58025025000074,20,100,880,800,373.41974974999926
MHNN2,MH,NN,2022-07-19 20:00:00,2022-07-19,20,200,29,7,3,2022,7.99,22.975,741.485,709.475,709.5625,433.9895797500002,20,100,880,800,366.0104202499998
MHNN2,MH,NN,2022-07-19 21:00:00,2022-07-19,21,200,29,7,3,2022,7.99,20.26,742.018,709.573,709.6605,439.903448250001,20,100,880,800,360.096551749999
