ID,Site,Region,Datetime,Date,Hour,Day,Week,Month,Quarter,Year,Temperature(Logger),Temperature(Baro),mmHg(Logger),mmHg(Baro),mmHg(Baro Adj),mmH2O,A,B,C,E,WTD(mm)
MigDAM1,Mig,DAM,2022-09-06 22:00:00,2022-09-06,22,249,36,9,3,2022,11.001,11.499,783.048,714.635,714.285,934.8398613000005,20,50,1010,980,45.16013869999949
MigDAM1,Mig,DAM,2022-09-06 23:00:00,2022-09-06,23,249,36,9,3,2022,10.949000000000002,11.083,782.817,714.582,714.232,932.4199335000005,20,50,1010,980,47.580066499999475
MigDAM1,Mig,DAM,2022-09-07 00:00:00,2022-09-07,0,250,36,9,3,2022,11.001,10.614,782.345,714.1460000000001,713.796,931.9305098999997,20,50,1010,980,48.06949010000028
MigDAM1,Mig,DAM,2022-09-07 01:00:00,2022-09-07,1,250,36,9,3,2022,10.949000000000002,10.77,781.8939999999999,713.956,713.606,928.3821887999986,20,50,1010,980,51.61781120000137
MigDAM1,Mig,DAM,2022-09-07 02:00:00,2022-09-07,2,250,36,9,3,2022,10.897,11.135,781.971,713.6260000000001,713.2760000000001,933.9153944999991,20,50,1010,980,46.08460550000086
MigDAM1,Mig,DAM,2022-09-07 03:00:00,2022-09-07,3,250,36,9,3,2022,11.052999999999999,11.135,781.653,713.5419999999999,713.1919999999999,930.7341411000017,20,50,1010,980,49.26585889999831
MigDAM1,Mig,DAM,2022-09-07 04:00:00,2022-09-07,4,250,36,9,3,2022,10.897,10.823,781.5310000000001,713.377,713.0269999999999,931.3187304000019,20,50,1010,980,48.68126959999813
MigDAM1,Mig,DAM,2022-09-07 05:00:00,2022-09-07,5,250,36,9,3,2022,10.949000000000002,11.343,781.674,713.443,713.093,932.3655531000003,20,50,1010,980,47.634446899999716
MigDAM1,Mig,DAM,2022-09-07 06:00:00,2022-09-07,6,250,36,9,3,2022,10.897,10.979000000000001,781.355,713.564,713.2139999999999,926.383709100001,20,50,1010,980,53.616290899998944
MigDAM1,Mig,DAM,2022-09-07 07:00:00,2022-09-07,7,250,36,9,3,2022,11.001,10.614,781.334,713.477,713.127,927.2809857,20,50,1010,980,52.719014300000026
MigDAM1,Mig,DAM,2022-09-07 08:00:00,2022-09-07,8,250,36,9,3,2022,10.897,11.862,781.268,713.677,713.327,923.6646891000005,20,50,1010,980,56.33531089999951
MigDAM1,Mig,DAM,2022-09-07 09:00:00,2022-09-07,9,250,36,9,3,2022,10.949000000000002,12.38,781.455,713.745,713.395,925.2825060000008,20,50,1010,980,54.71749399999919
MigDAM1,Mig,DAM,2022-09-07 10:00:00,2022-09-07,10,250,36,9,3,2022,11.001,14.898,781.378,713.882,713.5319999999999,922.3731546000016,20,50,1010,980,57.62684539999839
MigDAM1,Mig,DAM,2022-09-07 11:00:00,2022-09-07,11,250,36,9,3,2022,11.001,15.357000000000001,781.5980000000001,714.158,713.808,921.6118290000011,20,50,1010,980,58.38817099999892
MigDAM1,Mig,DAM,2022-09-07 12:00:00,2022-09-07,12,250,36,9,3,2022,11.001,15.866,781.862,714.0219999999999,713.6719999999999,927.0498690000007,20,50,1010,980,52.95013099999926
MigDAM1,Mig,DAM,2022-09-07 13:00:00,2022-09-07,13,250,36,9,3,2022,10.949000000000002,19.047,781.63,714.003,713.653,924.1541126999997,20,50,1010,980,55.8458873000003
MigDAM1,Mig,DAM,2022-09-07 14:00:00,2022-09-07,14,250,36,9,3,2022,11.001,19.047,781.6419999999999,713.793,713.443,927.1722248999994,20,50,1010,980,52.82777510000062
MigDAM1,Mig,DAM,2022-09-07 15:00:00,2022-09-07,15,250,36,9,3,2022,11.001,17.083,781.2460000000001,713.701,713.351,923.0393145000013,20,50,1010,980,56.960685499998704
MigDAM1,Mig,DAM,2022-09-07 16:00:00,2022-09-07,16,250,36,9,3,2022,10.897,18.344,780.96,713.3480000000001,712.998,923.9501861999998,20,50,1010,980,56.04981380000015
MigDAM1,Mig,DAM,2022-09-07 17:00:00,2022-09-07,17,250,36,9,3,2022,11.001,16.425,780.675,712.8480000000001,712.498,926.8731326999988,20,50,1010,980,53.12686730000121
MigDAM1,Mig,DAM,2022-09-07 18:00:00,2022-09-07,18,250,36,9,3,2022,10.949000000000002,14.181,780.7080000000001,713.195,712.845,922.6042713000008,20,50,1010,980,57.395728699999154
MigDAM1,Mig,DAM,2022-09-07 19:00:00,2022-09-07,19,250,36,9,3,2022,10.949000000000002,14.898,780.664,713.422,713.072,918.9199991999998,20,50,1010,980,61.08000080000022
MigDAM1,Mig,DAM,2022-09-07 20:00:00,2022-09-07,20,250,36,9,3,2022,10.949000000000002,11.966,780.5319999999999,713.1469999999999,712.7969999999999,920.8640985000002,20,50,1010,980,59.13590149999982
MigDAM1,Mig,DAM,2022-09-07 21:00:00,2022-09-07,21,250,36,9,3,2022,11.001,10.405,780.9830000000001,713.2,712.85,926.2749483000006,20,50,1010,980,53.725051699999426
MigDAM1,Mig,DAM,2022-09-07 22:00:00,2022-09-07,22,250,36,9,3,2022,10.949000000000002,9.987,780.488,713.19,712.84,919.6813248000003,20,50,1010,980,60.31867519999969
MigDAM1,Mig,DAM,2022-09-07 23:00:00,2022-09-07,23,250,36,9,3,2022,10.949000000000002,9.673,780.181,713.278,712.928,914.3112603000006,20,50,1010,980,65.68873969999936
MigDAM1,Mig,DAM,2022-09-08 00:00:00,2022-09-08,0,251,36,9,3,2022,10.949000000000002,10.562000000000001,780.137,712.9680000000001,712.618,917.9275568999985,20,50,1010,980,62.072443100001465
MigDAM1,Mig,DAM,2022-09-08 01:00:00,2022-09-08,1,251,36,9,3,2022,10.949000000000002,10.353,779.829,713.0260000000001,712.676,912.9517502999987,20,50,1010,980,67.04824970000129
MigDAM1,Mig,DAM,2022-09-08 02:00:00,2022-09-08,2,251,36,9,3,2022,11.001,10.614,779.357,712.096,711.746,919.1783060999999,20,50,1010,980,60.82169390000013
MigDAM1,Mig,DAM,2022-09-08 03:00:00,2022-09-08,3,251,36,9,3,2022,11.001,10.197000000000001,778.8739999999999,711.961,711.611,914.4472112999989,20,50,1010,980,65.55278870000109
MigDAM1,Mig,DAM,2022-09-08 04:00:00,2022-09-08,4,251,36,9,3,2022,10.949000000000002,9.83,778.775,712.0,711.65,912.5710875,20,50,1010,980,67.42891250000002
MigDAM1,Mig,DAM,2022-09-08 05:00:00,2022-09-08,5,251,36,9,3,2022,11.001,9.83,778.698,711.875,711.525,913.2236523,20,50,1010,980,66.77634769999997
MigDAM1,Mig,DAM,2022-09-08 06:00:00,2022-09-08,6,251,36,9,3,2022,11.001,11.187000000000001,778.4789999999999,711.582,711.232,914.2296896999994,20,50,1010,980,65.77031030000057
MigDAM1,Mig,DAM,2022-09-08 07:00:00,2022-09-08,7,251,36,9,3,2022,10.949000000000002,11.499,778.819,711.956,711.606,913.7674562999996,20,50,1010,980,66.2325437000004
MigDAM1,Mig,DAM,2022-09-08 08:00:00,2022-09-08,8,251,36,9,3,2022,11.001,12.120999999999999,778.4789999999999,711.702,711.352,912.5982776999994,20,50,1010,980,67.40172230000064
MigDAM1,Mig,DAM,2022-09-08 09:00:00,2022-09-08,9,251,36,9,3,2022,11.001,13.102,778.4789999999999,711.707,711.357,912.5303021999995,20,50,1010,980,67.46969780000052
MigDAM1,Mig,DAM,2022-09-08 10:00:00,2022-09-08,10,251,36,9,3,2022,10.949000000000002,14.232999999999999,778.335,711.694,711.3439999999999,910.7493441000014,20,50,1010,980,69.2506558999986
MigDAM1,Mig,DAM,2022-09-08 11:00:00,2022-09-08,11,251,36,9,3,2022,10.949000000000002,15.51,778.2919999999999,711.8760000000001,711.5260000000001,907.6904465999979,20,50,1010,980,72.30955340000207
MigDAM1,Mig,DAM,2022-09-08 12:00:00,2022-09-08,12,251,36,9,3,2022,10.949000000000002,16.932000000000002,778.248,712.043,711.693,904.8218805000009,20,50,1010,980,75.17811949999907
MigDAM1,Mig,DAM,2022-09-08 13:00:00,2022-09-08,13,251,36,9,3,2022,11.001,16.222,778.171,711.812,711.462,906.9155259000008,20,50,1010,980,73.08447409999917
MigDAM1,Mig,DAM,2022-09-08 14:00:00,2022-09-08,14,251,36,9,3,2022,10.949000000000002,15.968,778.16,711.9010000000001,711.551,905.556015899999,20,50,1010,980,74.44398410000099
MigDAM1,Mig,DAM,2022-09-08 15:00:00,2022-09-08,15,251,36,9,3,2022,10.949000000000002,14.437999999999999,779.1260000000001,711.681,711.331,921.6798045000011,20,50,1010,980,58.32019549999893
MigDAM1,Mig,DAM,2022-09-08 16:00:00,2022-09-08,16,251,36,9,3,2022,11.001,14.898,780.368,711.704,711.3539999999999,938.2522314000017,20,50,1010,980,41.74776859999827
MigDAM1,Mig,DAM,2022-09-08 17:00:00,2022-09-08,17,251,36,9,3,2022,10.949000000000002,15.968,780.7080000000001,711.691,711.341,943.0513017000011,20,50,1010,980,36.94869829999891
