ID,Site,Region,Datetime,Date,Hour,Day,Week,Month,Quarter,Year,Temperature(Logger),Temperature(Baro),mmHg(Logger),mmHg(Baro),mmHg(Baro Adj),mmH2O,A,B,C,E,WTD(mm)
MigNN1,Mig,NN,2022-09-06 22:00:00,2022-09-06,22,249,36,9,3,2022,10.632,11.499,783.27,714.635,714.3725,936.6684022500006,20,50,1010,980,43.331597749999446
MigNN1,Mig,NN,2022-09-06 23:00:00,2022-09-06,23,249,36,9,3,2022,10.684000000000001,11.083,782.895,714.582,714.3195,932.2907800500005,20,50,1010,980,47.709219949999465
MigNN1,Mig,NN,2022-09-07 00:00:00,2022-09-07,0,250,36,9,3,2022,10.632,10.614,782.5360000000001,714.1460000000001,713.8835,933.3376027500004,20,50,1010,980,46.66239724999957
MigNN1,Mig,NN,2022-09-07 01:00:00,2022-09-07,1,250,36,9,3,2022,10.632,10.77,782.4580000000001,713.956,713.6935,934.8602539500015,20,50,1010,980,45.13974604999851
MigNN1,Mig,NN,2022-09-07 02:00:00,2022-09-07,2,250,36,9,3,2022,10.632,11.135,781.84,713.6260000000001,713.3635,930.9448651499998,20,50,1010,980,49.05513485000017
MigNN1,Mig,NN,2022-09-07 03:00:00,2022-09-07,3,250,36,9,3,2022,10.632,11.135,781.6080000000001,713.5419999999999,713.2794999999999,928.9327903500026,20,50,1010,980,51.06720964999738
MigNN1,Mig,NN,2022-09-07 04:00:00,2022-09-07,4,250,36,9,3,2022,10.632,10.823,781.685,713.377,713.1144999999999,932.2228045500005,20,50,1010,980,47.777195449999454
MigNN1,Mig,NN,2022-09-07 05:00:00,2022-09-07,5,250,36,9,3,2022,10.632,11.343,781.183,713.443,713.1804999999999,924.5007877500008,20,50,1010,980,55.49921224999923
MigNN1,Mig,NN,2022-09-07 06:00:00,2022-09-07,6,250,36,9,3,2022,10.632,10.979000000000001,781.1060000000001,713.564,713.3014999999999,921.8089579500027,20,50,1010,980,58.19104204999735
MigNN1,Mig,NN,2022-09-07 07:00:00,2022-09-07,7,250,36,9,3,2022,10.632,10.614,780.951,713.477,713.2144999999999,920.8844911500013,20,50,1010,980,59.11550884999872
MigNN1,Mig,NN,2022-09-07 08:00:00,2022-09-07,8,250,36,9,3,2022,10.632,11.862,781.028,713.677,713.4145,919.2122938500006,20,50,1010,980,60.787706149999394
MigNN1,Mig,NN,2022-09-07 09:00:00,2022-09-07,9,250,36,9,3,2022,10.632,12.38,781.028,713.745,713.4825,918.2878270500008,20,50,1010,980,61.71217294999917
MigNN1,Mig,NN,2022-09-07 10:00:00,2022-09-07,10,250,36,9,3,2022,10.632,14.898,781.1060000000001,713.882,713.6194999999999,917.4857161500029,20,50,1010,980,62.51428384999713
MigNN1,Mig,NN,2022-09-07 11:00:00,2022-09-07,11,250,36,9,3,2022,10.632,15.357000000000001,780.835,714.158,713.8955,910.049196450001,20,50,1010,980,69.95080354999902
MigNN1,Mig,NN,2022-09-07 12:00:00,2022-09-07,12,250,36,9,3,2022,10.632,15.866,780.8739999999999,714.0219999999999,713.7594999999999,912.4283389500004,20,50,1010,980,67.57166104999965
MigNN1,Mig,NN,2022-09-07 13:00:00,2022-09-07,13,250,36,9,3,2022,10.632,19.047,780.6419999999999,714.003,713.7405,909.5325826499992,20,50,1010,980,70.4674173500008
MigNN1,Mig,NN,2022-09-07 14:00:00,2022-09-07,14,250,36,9,3,2022,10.632,19.047,780.5260000000001,713.793,713.5305,910.8105220500015,20,50,1010,980,69.18947794999849
MigNN1,Mig,NN,2022-09-07 15:00:00,2022-09-07,15,250,36,9,3,2022,10.632,17.083,779.83,713.701,713.4385,902.5990816500009,20,50,1010,980,77.40091834999907
MigNN1,Mig,NN,2022-09-07 16:00:00,2022-09-07,16,250,36,9,3,2022,10.632,18.344,779.83,713.3480000000001,713.0855,907.3981519500003,20,50,1010,980,72.60184804999972
MigNN1,Mig,NN,2022-09-07 17:00:00,2022-09-07,17,250,36,9,3,2022,10.632,16.425,779.5989999999999,712.8480000000001,712.5855,911.0552338499988,20,50,1010,980,68.94476615000121
MigNN1,Mig,NN,2022-09-07 18:00:00,2022-09-07,18,250,36,9,3,2022,10.632,14.181,779.56,713.195,712.9325,905.8075252499992,20,50,1010,980,74.19247475000077
MigNN1,Mig,NN,2022-09-07 19:00:00,2022-09-07,19,250,36,9,3,2022,10.632,14.898,779.444,713.422,713.1595,901.1444059499997,20,50,1010,980,78.85559405000026
MigNN1,Mig,NN,2022-09-07 20:00:00,2022-09-07,20,250,36,9,3,2022,10.632,11.966,779.328,713.1469999999999,712.8844999999999,903.3060268500012,20,50,1010,980,76.69397314999878
MigNN1,Mig,NN,2022-09-07 21:00:00,2022-09-07,21,250,36,9,3,2022,10.632,10.405,779.289,713.2,712.9375,902.0552776499999,20,50,1010,980,77.94472235000012
MigNN1,Mig,NN,2022-09-07 22:00:00,2022-09-07,22,250,36,9,3,2022,10.684000000000001,9.987,779.262,713.19,712.9275,901.8241609499992,20,50,1010,980,78.17583905000083
MigNN1,Mig,NN,2022-09-07 23:00:00,2022-09-07,23,250,36,9,3,2022,10.632,9.673,778.7869999999999,713.278,713.0155,894.1701196499993,20,50,1010,980,85.82988035000074
MigNN1,Mig,NN,2022-09-08 00:00:00,2022-09-08,0,251,36,9,3,2022,10.632,10.562000000000001,778.632,712.9680000000001,712.7055,896.2773601499989,20,50,1010,980,83.72263985000109
MigNN1,Mig,NN,2022-09-08 01:00:00,2022-09-08,1,251,36,9,3,2022,10.684000000000001,10.353,778.296,713.0260000000001,712.7635,890.9208907500004,20,50,1010,980,89.07910924999965
MigNN1,Mig,NN,2022-09-08 02:00:00,2022-09-08,2,251,36,9,3,2022,10.632,10.614,778.0139999999999,712.096,711.8335,899.7305155499992,20,50,1010,980,80.26948445000085
MigNN1,Mig,NN,2022-09-08 03:00:00,2022-09-08,3,251,36,9,3,2022,10.684000000000001,10.197000000000001,777.523,711.961,711.6985,894.8906599500008,20,50,1010,980,85.10934004999922
MigNN1,Mig,NN,2022-09-08 04:00:00,2022-09-08,4,251,36,9,3,2022,10.632,9.83,777.319,712.0,711.7375,891.5870506500002,20,50,1010,980,88.41294934999985
MigNN1,Mig,NN,2022-09-08 05:00:00,2022-09-08,5,251,36,9,3,2022,10.632,9.83,777.164,711.875,711.6125,891.1791976500004,20,50,1010,980,88.82080234999955
MigNN1,Mig,NN,2022-09-08 06:00:00,2022-09-08,6,251,36,9,3,2022,10.632,11.187000000000001,777.048,711.582,711.3195,893.5855303500008,20,50,1010,980,86.4144696499992
MigNN1,Mig,NN,2022-09-08 07:00:00,2022-09-08,7,251,36,9,3,2022,10.632,11.499,777.125,711.956,711.6935,889.5477856500004,20,50,1010,980,90.45221434999962
MigNN1,Mig,NN,2022-09-08 08:00:00,2022-09-08,8,251,36,9,3,2022,10.632,12.120999999999999,777.087,711.702,711.4395,892.4843272500005,20,50,1010,980,87.51567274999945
MigNN1,Mig,NN,2022-09-08 09:00:00,2022-09-08,9,251,36,9,3,2022,10.632,13.102,776.855,711.707,711.4445,889.262288550001,20,50,1010,980,90.73771144999898
MigNN1,Mig,NN,2022-09-08 10:00:00,2022-09-08,10,251,36,9,3,2022,10.632,14.232999999999999,776.778,711.694,711.4314999999999,888.3922021500015,20,50,1010,980,91.60779784999852
MigNN1,Mig,NN,2022-09-08 11:00:00,2022-09-08,11,251,36,9,3,2022,10.632,15.51,777.203,711.8760000000001,711.6135,891.695811449999,20,50,1010,980,88.30418855000096
MigNN1,Mig,NN,2022-09-08 12:00:00,2022-09-08,12,251,36,9,3,2022,10.632,16.932000000000002,776.778,712.043,711.7805,883.6475122500009,20,50,1010,980,96.35248774999911
