ID,Site,Region,Datetime,Date,Hour,Day,Week,Month,Quarter,Year,Temperature(Logger),Temperature(Baro),mmHg(Logger),mmHg(Baro),mmH2O,A,B,C,E,WTD(mm)
MigRES1,Mig,RES,2022-09-06 22:00:00,2022-09-06,22,249,36,9,3,2022,11.327,11.499,777.953,714.635,860.8145417999998,20,50,1010,980,119.1854582000002
MigRES1,Mig,RES,2022-09-06 23:00:00,2022-09-06,23,249,36,9,3,2022,11.327,11.083,778.1560000000001,714.582,864.294887400001,20,50,1010,980,115.70511259999898
MigRES1,Mig,RES,2022-09-07 00:00:00,2022-09-07,0,250,36,9,3,2022,11.327,10.614,777.913,714.1460000000001,866.9187416999991,20,50,1010,980,113.08125830000085
MigRES1,Mig,RES,2022-09-07 01:00:00,2022-09-07,1,250,36,9,3,2022,11.327,10.77,777.426,713.956,862.8809970000004,20,50,1010,980,117.11900299999957
MigRES1,Mig,RES,2022-09-07 02:00:00,2022-09-07,2,250,36,9,3,2022,11.327,11.135,777.061,713.6260000000001,862.4051684999993,20,50,1010,980,117.59483150000074
MigRES1,Mig,RES,2022-09-07 03:00:00,2022-09-07,3,250,36,9,3,2022,11.327,11.135,776.655,713.5419999999999,858.0275463000008,20,50,1010,980,121.97245369999916
MigRES1,Mig,RES,2022-09-07 04:00:00,2022-09-07,4,250,36,9,3,2022,11.327,10.823,776.534,713.377,858.6257307000005,20,50,1010,980,121.37426929999947
MigRES1,Mig,RES,2022-09-07 05:00:00,2022-09-07,5,250,36,9,3,2022,11.327,11.343,776.331,713.443,854.9686488000004,20,50,1010,980,125.03135119999956
MigRES1,Mig,RES,2022-09-07 06:00:00,2022-09-07,6,250,36,9,3,2022,11.275,10.979000000000001,776.5239999999999,713.564,855.947495999999,20,50,1010,980,124.05250400000102
MigRES1,Mig,RES,2022-09-07 07:00:00,2022-09-07,7,250,36,9,3,2022,11.275,10.614,776.2,713.477,852.7254573000009,20,50,1010,980,127.27454269999907
MigRES1,Mig,RES,2022-09-07 08:00:00,2022-09-07,8,250,36,9,3,2022,11.378,11.862,776.421,713.677,853.0109544000004,20,50,1010,980,126.9890455999996
