ID,Site,Region,Datetime,Date,Hour,Day,Week,Month,Quarter,Year,Temperature(Logger),Temperature(Baro),mmHg(Logger),mmHg(Baro),mmHg(Baro Adj),mmH2O,A,B,C,E,WTD(mm)
MorvenDAM1,Morven,DAM,2022-08-03 22:00:00,2022-08-03,22,215,31,8,3,2022,11.093,9.127,733.5110000000001,730.7689999999999,732.0814999999999,19.434195450002573,20,51,840,809,789.5658045499974
MorvenDAM1,Morven,DAM,2022-08-03 23:00:00,2022-08-03,23,215,31,8,3,2022,11.093,8.185,733.6389999999999,731.143,732.4555,16.089800849998195,20,51,840,809,792.9101991500019
MorvenDAM1,Morven,DAM,2022-08-04 00:00:00,2022-08-04,0,216,31,8,3,2022,11.093,8.238,733.8939999999999,730.98,732.2925,21.772552649998282,20,51,840,809,787.2274473500017
MorvenDAM1,Morven,DAM,2022-08-04 01:00:00,2022-08-04,1,216,31,8,3,2022,11.093,8.343,734.064,731.335,732.6475,19.257459149999026,20,51,840,809,789.742540850001
MorvenDAM1,Morven,DAM,2022-08-04 02:00:00,2022-08-04,2,216,31,8,3,2022,11.093,8.657,734.235,731.3810000000001,732.6935000000001,20.956846649999022,20,51,840,809,788.0431533500009
MorvenDAM1,Morven,DAM,2022-08-04 03:00:00,2022-08-04,3,216,31,8,3,2022,11.093,8.709,733.852,731.091,732.4035,19.692502349999554,20,51,840,809,789.3074976500004
MorvenDAM1,Morven,DAM,2022-08-04 04:00:00,2022-08-04,4,216,31,8,3,2022,11.093,8.133,733.852,731.0930000000001,732.4055000000001,19.665312149998652,20,51,840,809,789.3346878500014
MorvenDAM1,Morven,DAM,2022-08-04 05:00:00,2022-08-04,5,216,31,8,3,2022,11.093,7.922999999999999,733.681,730.7230000000001,732.0355000000001,22.370737049999594,20,51,840,809,786.6292629500005
MorvenDAM1,Morven,DAM,2022-08-04 06:00:00,2022-08-04,6,216,31,8,3,2022,11.093,7.6610000000000005,733.852,731.0260000000001,732.3385000000001,20.576183849998753,20,51,840,809,788.4238161500012
MorvenDAM1,Morven,DAM,2022-08-04 07:00:00,2022-08-04,7,216,31,8,3,2022,11.093,7.555,734.107,731.436,732.7485,18.468943349999122,20,51,840,809,790.5310566500009
MorvenDAM1,Morven,DAM,2022-08-04 08:00:00,2022-08-04,8,216,31,8,3,2022,11.093,10.583,734.405,731.8810000000001,733.1935000000001,16.470463649998468,20,51,840,809,792.5295363500015
MorvenDAM1,Morven,DAM,2022-08-04 09:00:00,2022-08-04,9,216,31,8,3,2022,11.093,11.152000000000001,735.086,732.182,733.4945,21.63660164999995,20,51,840,809,787.36339835
